# Normalization constant A(k)
# Node type: a
# p0: 0.635766, alpha: 1.470588, gamma: 3.566894
# A_asymptotic: 18.232124
# Generated: 2026-02-15T17:57:42.231307
k,A_k,A_asymptotic
0,18.232123848929128,18.23212384892913
1,18.232123848929135,18.23212384892913
2,18.232123848929135,18.23212384892913
3,18.23212384892912,18.23212384892913
4,18.23212384892912,18.23212384892913
5,18.23212384892912,18.23212384892913
6,18.232123848929124,18.23212384892913
7,18.23212384892912,18.23212384892913
8,18.232123848929117,18.23212384892913
9,18.232123848929113,18.23212384892913
10,18.232123848929124,18.23212384892913
11,18.23212384892913,18.23212384892913
12,18.23212384892912,18.23212384892913
13,18.23212384892912,18.23212384892913
14,18.232123848929135,18.23212384892913
15,18.232123848929213,18.23212384892913
16,18.23212384892922,18.23212384892913
17,18.232123848929206,18.23212384892913
18,18.232123848929213,18.23212384892913
19,18.232123848929216,18.23212384892913
20,18.23212384892922,18.23212384892913
21,18.232123848929216,18.23212384892913
22,18.232123848929216,18.23212384892913
23,18.23212384892922,18.23212384892913
24,18.232123848929206,18.23212384892913
25,18.232123848929216,18.23212384892913
