# Normalization constant A(k)
# Node type: b
# p0: 0.258764, alpha: 15.625000, gamma: 6.454651
# A_asymptotic: 35922087.792794
# Generated: 2026-02-15T17:57:42.235298
k,A_k,A_asymptotic
0,35922087.79279392,35922087.79279392
1,35922087.79279391,35922087.79279392
2,35922087.79279391,35922087.79279392
3,35922087.7927939,35922087.79279392
4,35922087.79279391,35922087.79279392
5,35922087.79279392,35922087.79279392
6,35922087.79279392,35922087.79279392
7,35922087.7927939,35922087.79279392
8,35922087.79279389,35922087.79279392
9,35922087.79279391,35922087.79279392
10,35922087.79279394,35922087.79279392
11,35922087.79279395,35922087.79279392
12,35922087.792793624,35922087.79279392
13,35922087.79279362,35922087.79279392
14,35922087.79279361,35922087.79279392
15,35922087.79279408,35922087.79279392
16,35922087.79279394,35922087.79279392
17,35922087.79279385,35922087.79279392
18,35922087.79279364,35922087.79279392
19,35922087.79279392,35922087.79279392
20,35922087.79279407,35922087.79279392
21,35922087.792793766,35922087.79279392
22,35922087.792793415,35922087.79279392
23,35922087.79279354,35922087.79279392
24,35922087.7927942,35922087.79279392
25,35922087.7927945,35922087.79279392
