# margin grid for p_c=0.1
# Valid region: n0 > m
# Generated: 2026-02-15T18:02:07.170244
m,n0,margin,valid
1,10,0.28091097699793355,True
6,10,0.28091097699793355,True
11,10,,False
16,10,,False
21,10,,False
1,30,0.08091097699793356,True
6,30,0.28091097699793355,True
11,30,0.08091097699793356,True
16,30,0.08091097699793356,True
21,30,0.28091097699793355,True
1,50,0.9,True
6,50,0.5211145618000169,True
11,50,0.08091097699793356,True
16,50,0.28091097699793355,True
21,50,0.08091097699793356,True
1,70,0.9,True
6,70,0.08091097699793356,True
11,70,0.08091097699793356,True
16,70,,True
21,70,0.5211145618000169,True
1,90,0.28091097699793355,True
6,90,0.28091097699793355,True
11,90,0.08091097699793356,True
16,90,0.08091097699793356,True
21,90,0.28091097699793355,True
