# Network edge list with node attributes
# N: 10030, m: 3
# h: 0.2, f_a: 0.2
# Initial network nodes: 0 to 29
# Added nodes: 30 to 10029
# Total edges: 30029
# Type a nodes: 1980
# Type b nodes: 8050
# Generated: 2026-02-15T17:57:38.625592
source,target,source_type,target_type,source_in_degree,target_in_degree,source_is_initial,target_is_initial,source_order,target_order
29,7,b,a,31,30,True,True,29,7
29,19,b,b,31,25,True,True,29,19
29,20,b,b,31,39,True,True,29,20
29,28,b,b,31,50,True,True,29,28
29,12,b,a,31,79,True,True,29,12
29,25,b,b,31,32,True,True,29,25
29,8,b,b,31,54,True,True,29,8
29,14,b,b,31,36,True,True,29,14
29,13,b,b,31,50,True,True,29,13
29,2,b,a,31,25,True,True,29,2
29,17,b,b,31,54,True,True,29,17
29,18,b,a,31,59,True,True,29,18
29,6,b,b,31,42,True,True,29,6
29,26,b,b,31,52,True,True,29,26
29,21,b,b,31,36,True,True,29,21
29,4,b,a,31,27,True,True,29,4
29,1,b,b,31,27,True,True,29,1
29,15,b,b,31,26,True,True,29,15
29,24,b,a,31,42,True,True,29,24
29,10,b,a,31,15,True,True,29,10
29,27,b,a,31,45,True,True,29,27
29,22,b,b,31,26,True,True,29,22
29,0,b,b,31,38,True,True,29,0
29,16,b,b,31,35,True,True,29,16
29,11,b,b,31,42,True,True,29,11
29,9,b,b,31,59,True,True,29,9
29,3,b,b,31,26,True,True,29,3
29,23,b,b,31,27,True,True,29,23
29,5,b,b,31,43,True,True,29,5
30,24,b,a,34,42,False,True,30,24
30,0,b,b,34,38,False,True,30,0
30,18,b,a,34,59,False,True,30,18
31,0,b,b,17,38,False,True,31,0
31,27,b,a,17,45,False,True,31,27
31,7,b,a,17,30,False,True,31,7
32,22,a,b,3,26,False,True,32,22
32,27,a,a,3,45,False,True,32,27
32,26,a,b,3,52,False,True,32,26
33,25,b,b,19,32,False,True,33,25
33,17,b,b,19,54,False,True,33,17
33,2,b,a,19,25,False,True,33,2
34,27,a,a,13,45,False,True,34,27
34,28,a,b,13,50,False,True,34,28
34,15,a,b,13,26,False,True,34,15
35,28,b,b,19,50,False,True,35,28
35,3,b,b,19,26,False,True,35,3
35,15,b,b,19,26,False,True,35,15
36,25,b,b,28,32,False,True,36,25
36,18,b,a,28,59,False,True,36,18
36,35,b,b,28,19,False,False,36,35
37,18,a,a,21,59,False,True,37,18
37,9,a,b,21,59,False,True,37,9
37,34,a,a,21,13,False,False,37,34
38,18,b,a,26,59,False,True,38,18
38,9,b,b,26,59,False,True,38,9
38,25,b,b,26,32,False,True,38,25
39,3,a,b,9,26,False,True,39,3
39,16,a,b,9,35,False,True,39,16
39,25,a,b,9,32,False,True,39,25
40,16,b,b,16,35,False,True,40,16
40,13,b,b,16,50,False,True,40,13
40,8,b,b,16,54,False,True,40,8
41,14,b,b,31,36,False,True,41,14
41,15,b,b,31,26,False,True,41,15
41,1,b,b,31,27,False,True,41,1
42,16,b,b,24,35,False,True,42,16
42,35,b,b,24,19,False,False,42,35
42,30,b,b,24,34,False,False,42,30
43,6,b,b,26,42,False,True,43,6
43,21,b,b,26,36,False,True,43,21
43,22,b,b,26,26,False,True,43,22
44,38,b,b,41,26,False,False,44,38
44,21,b,b,41,36,False,True,44,21
44,41,b,b,41,31,False,False,44,41
45,26,a,b,7,52,False,True,45,26
45,44,a,b,7,41,False,False,45,44
45,11,a,b,7,42,False,True,45,11
46,17,b,b,24,54,False,True,46,17
46,25,b,b,24,32,False,True,46,25
46,2,b,a,24,25,False,True,46,2
47,20,b,b,22,39,False,True,47,20
47,8,b,b,22,54,False,True,47,8
47,46,b,b,22,24,False,False,47,46
48,14,b,b,25,36,False,True,48,14
48,22,b,b,25,26,False,True,48,22
48,29,b,b,25,31,False,True,48,29
49,17,b,b,24,54,False,True,49,17
49,6,b,b,24,42,False,True,49,6
49,5,b,b,24,43,False,True,49,5
50,26,b,b,34,52,False,True,50,26
50,19,b,b,34,25,False,True,50,19
50,15,b,b,34,26,False,True,50,15
51,20,b,b,18,39,False,True,51,20
51,50,b,b,18,34,False,False,51,50
51,28,b,b,18,50,False,True,51,28
52,42,b,b,45,24,False,False,52,42
52,48,b,b,45,25,False,False,52,48
52,13,b,b,45,50,False,True,52,13
53,36,b,b,25,28,False,False,53,36
53,41,b,b,25,31,False,False,53,41
53,26,b,b,25,52,False,True,53,26
54,0,b,b,25,38,False,True,54,0
54,17,b,b,25,54,False,True,54,17
54,26,b,b,25,52,False,True,54,26
55,11,b,b,19,42,False,True,55,11
55,5,b,b,19,43,False,True,55,5
55,30,b,b,19,34,False,False,55,30
56,19,b,b,9,25,False,True,56,19
56,49,b,b,9,24,False,False,56,49
56,53,b,b,9,25,False,False,56,53
57,8,a,b,3,54,False,True,57,8
57,23,a,b,3,27,False,True,57,23
57,3,a,b,3,26,False,True,57,3
58,5,b,b,12,43,False,True,58,5
58,57,b,a,12,3,False,False,58,57
58,17,b,b,12,54,False,True,58,17
59,47,b,b,19,22,False,False,59,47
59,7,b,a,19,30,False,True,59,7
59,18,b,a,19,59,False,True,59,18
60,27,b,a,26,45,False,True,60,27
60,52,b,b,26,45,False,False,60,52
60,6,b,b,26,42,False,True,60,6
61,8,b,b,23,54,False,True,61,8
61,22,b,b,23,26,False,True,61,22
61,29,b,b,23,31,False,True,61,29
62,27,b,a,13,45,False,True,62,27
62,54,b,b,13,25,False,False,62,54
