# frac_edges grid for p_c=0.2
# Valid region: n0 > m
# Generated: 2026-02-16T09:01:17.279520
m,n0,frac_edges,valid
1,10,1.0,True
3,10,1.0,True
5,10,1.0,True
7,10,1.0,True
9,10,0.9721107092226771,True
11,10,,False
13,10,,False
15,10,,False
17,10,,False
19,10,,False
21,10,,False
23,10,,False
25,10,,False
27,10,,False
29,10,,False
31,10,,False
33,10,,False
1,20,1.0,True
3,20,1.0,True
5,20,1.0,True
7,20,1.0,True
9,20,0.994976924449884,True
11,20,0.9544321467743544,True
13,20,0.38807971294081334,True
15,20,0.9163449890979569,True
17,20,0.006001657231803363,True
19,20,0.005347855951329605,True
21,20,,False
23,20,,False
25,20,,False
27,20,,False
29,20,,False
31,20,,False
33,20,,False
1,30,1.0,True
3,30,1.0,True
5,30,1.0,True
7,30,0.9944363618922765,True
9,30,0.9886606409202958,True
11,30,0.9773030420377781,True
13,30,0.22359826782830516,True
15,30,0.20423687585688383,True
17,30,0.8869773406171476,True
19,30,0.4033966007184601,True
21,30,0.004823161880297283,True
23,30,0.004373838975627031,True
25,30,0.2539023530004535,True
27,30,0.0031715567497540963,True
29,30,0.00310819237664666,True
31,30,,False
33,30,,False
1,40,1.0,True
3,40,1.0,True
5,40,1.0,True
7,40,0.9969472725238544,True
9,40,0.9711304072839392,True
11,40,1.0,True
13,40,0.9624771876785813,True
15,40,0.9280800666631207,True
17,40,0.8897174838498407,True
19,40,0.37592699002873076,True
21,40,0.21857284714104352,True
23,40,0.004499794023513008,True
25,40,0.003954688265644366,True
27,40,0.0035565815036871463,True
29,40,0.00299738435798949,True
31,40,0.0030455181496419456,True
33,40,0.0025579483261218014,True
1,50,1.0,True
3,50,1.0,True
5,50,1.0,True
7,50,1.0,True
9,50,1.0,True
11,50,0.942697167358482,True
13,50,0.9282210813596198,True
15,50,0.9348094379759991,True
17,50,0.9196474817363071,True
19,50,0.005281348576191537,True
21,50,0.20841298904116967,True
23,50,0.0043155564649640064,True
25,50,0.00384672970389395,True
27,50,0.0035617386040578958,True
29,50,0.0034835018898763917,True
31,50,0.003739190116678106,True
33,50,0.0025652975283295336,True
1,60,1.0,True
3,60,1.0,True
5,60,0.9748144569847613,True
7,60,0.9690523829829107,True
9,60,0.9736385347201378,True
11,60,0.9554270196296455,True
13,60,0.9374208999396406,True
15,60,0.9246320254506893,True
17,60,0.8804786058004942,True
19,60,0.005310942321386186,True
21,60,0.8484701875254002,True
23,60,0.004328341057953805,True
25,60,0.003863400790417436,True
27,60,0.00421183290050072,True
29,60,0.0034554789840501336,True
31,60,0.0031649693742669374,True
33,60,0.003166505835972088,True
1,70,1.0,True
3,70,1.0,True
5,70,0.9829679018677608,True
7,70,0.9698608222684371,True
9,70,0.9613378494983709,True
11,70,0.9355216627253596,True
13,70,0.9342952470147506,True
15,70,0.8955760710254553,True
17,70,0.8755647879468796,True
19,70,0.8656227115001608,True
21,70,0.8570097400348803,True
23,70,0.004361312736522117,True
25,70,0.7805705274300342,True
27,70,0.00367885379326393,True
29,70,0.003456792500974931,True
31,70,0.0029565225618149735,True
33,70,0.20765314940217136,True
1,80,1.0,True
3,80,1.0,True
5,80,0.9768882274408527,True
7,80,0.9555270129244602,True
9,80,0.9641619397463688,True
11,80,0.9253578155487633,True
13,80,0.9081827545173645,True
15,80,0.890701269824726,True
17,80,0.861042238554857,True
19,80,0.8460340834138634,True
21,80,0.799273634348565,True
23,80,0.793722367363344,True
25,80,0.004576497016587388,True
27,80,0.003929348874376567,True
29,80,0.0033398554405943332,True
31,80,0.0033695468506167565,True
33,80,0.0027726592440718728,True
1,90,1.0,True
3,90,1.0,True
5,90,0.9622410360744679,True
7,90,0.9567348644348371,True
9,90,0.940550133096717,True
11,90,0.9608900493841176,True
13,90,0.928349174823852,True
15,90,0.8752341226395461,True
17,90,0.870213620236154,True
19,90,0.849562958412588,True
21,90,0.8089203242579853,True
23,90,0.8027970405821165,True
25,90,0.7703531427143868,True
27,90,0.7600056438350833,True
29,90,0.003622228589655564,True
31,90,0.0035788167149358708,True
33,90,0.003123397083608119,True
1,100,1.0,True
3,100,0.9572232511753811,True
5,100,0.9534601813970605,True
7,100,0.9723339309075052,True
9,100,0.9294057141310379,True
11,100,0.9343697957997563,True
13,100,0.9180479664621427,True
15,100,0.8917282999946275,True
17,100,0.8628418791010974,True
19,100,0.8462691587691588,True
21,100,0.8195766321641753,True
23,100,0.7931680673343823,True
25,100,0.7508930528485868,True
27,100,0.004020242571598202,True
29,100,0.7321839817339889,True
31,100,0.7072922146238821,True
33,100,0.0028104538538132945,True
1,110,1.0,True
3,110,1.0,True
5,110,0.957297766211234,True
7,110,0.9582755914714575,True
9,110,0.9384438896011876,True
11,110,0.930492000400815,True
13,110,0.90792569236326,True
15,110,0.8747849095106746,True
17,110,0.8733155732293616,True
19,110,0.8319139691505539,True
21,110,0.7954522581456787,True
23,110,0.8070401959179715,True
25,110,0.7802269505228878,True
27,110,0.7387549839772403,True
29,110,0.7268110917679688,True
31,110,0.7086717196990217,True
33,110,0.0031531592143565178,True
1,120,1.0,True
3,120,0.9664847738074283,True
5,120,0.9468346183081768,True
7,120,0.9515323277932558,True
9,120,0.9506663730912199,True
11,120,0.9308379403298762,True
13,120,0.9212023355800462,True
15,120,0.8855194943540942,True
17,120,0.8678798257573238,True
19,120,0.824198166367153,True
21,120,0.798566426636718,True
23,120,0.808364629992389,True
25,120,0.7790431033453165,True
27,120,0.7339318305134909,True
29,120,0.7220796233970945,True
31,120,0.6945344331187835,True
33,120,0.0031465732866433217,True
1,130,1.0,True
3,130,0.9760916604590117,True
5,130,0.9486341912570702,True
7,130,0.9415483338098415,True
9,130,0.9248232532262223,True
11,130,0.9118809631985462,True
13,130,0.9118390237889806,True
15,130,0.8801355172504355,True
17,130,0.8481243779924929,True
19,130,0.8333046175051688,True
21,130,0.8146620715511399,True
23,130,0.7872103652478042,True
25,130,0.768183518982241,True
27,130,0.7392104266767634,True
29,130,0.7124233047287885,True
31,130,0.7126337590610977,True
33,130,0.0033701859788385974,True
1,140,1.0,True
3,140,0.9467756262213537,True
5,140,0.940989847715736,True
7,140,0.9453207150368034,True
9,140,0.9318275524403443,True
11,140,0.9141851620593745,True
13,140,0.8985501709613952,True
15,140,0.8776761868306814,True
17,140,0.8469615728328865,True
19,140,0.8144678021206635,True
21,140,0.8073209149431585,True
23,140,0.7773997947697379,True
25,140,0.7418159475004434,True
27,140,0.7313886546529664,True
29,140,0.7244981970527544,True
31,140,0.7099708753652899,True
33,140,0.6782073466397389,True
