# frac_nodes grid for p_c=0.1
# Valid region: n0 > m
# Generated: 2026-02-16T09:01:15.949223
m,n0,frac_nodes,valid
1,10,1.0,True
3,10,1.0,True
5,10,1.0,True
7,10,1.0,True
9,10,1.0,True
11,10,,False
13,10,,False
15,10,,False
17,10,,False
19,10,,False
21,10,,False
23,10,,False
25,10,,False
27,10,,False
29,10,,False
31,10,,False
33,10,,False
1,20,1.0,True
3,20,1.0,True
5,20,1.0,True
7,20,1.0,True
9,20,1.0,True
11,20,0.9992488733099649,True
13,20,0.9982489055659788,True
15,20,0.9982416478271791,True
17,20,0.7998260437375746,True
19,20,0.8033923486442986,True
21,20,,False
23,20,,False
25,20,,False
27,20,,False
29,20,,False
31,20,,False
33,20,,False
1,30,1.0,True
3,30,1.0,True
5,30,1.0,True
7,30,1.0,True
9,30,1.0,True
11,30,1.0,True
13,30,0.9983850931677019,True
15,30,0.8521847690387017,True
17,30,0.9976326937453277,True
19,30,0.9968917070744747,True
21,30,0.19618055555555555,True
23,30,0.19522803529265564,True
25,30,0.9489744872436218,True
27,30,0.8223388305847077,True
29,30,0.1715145436308927,True
31,30,,False
33,30,,False
1,40,1.0,True
3,40,1.0,True
5,40,1.0,True
7,40,1.0,True
9,40,0.9990047275441652,True
11,40,1.0,True
13,40,1.0,True
15,40,0.9976569244049821,True
17,40,0.9969009545060121,True
19,40,0.9962885067425461,True
21,40,0.8784035807534502,True
23,40,0.1934274647007372,True
25,40,0.18593340815563036,True
27,40,0.1802848575712144,True
29,40,0.17354124748490946,True
31,40,0.1796865358509194,True
33,40,0.17104451843630533,True
1,50,1.0,True
3,50,1.0,True
5,50,1.0,True
7,50,1.0,True
9,50,1.0,True
11,50,0.9976450173525038,True
13,50,0.9992547509626133,True
15,50,0.9986323511127688,True
17,50,0.9975272007912958,True
19,50,0.7330827067669173,True
21,50,0.7381248445660283,True
23,50,0.7593536357986327,True
25,50,0.18997263000746453,True
27,50,0.18396108755300575,True
29,50,0.18147051566740685,True
31,50,0.1821705426356589,True
33,50,0.1695906432748538,True
1,60,1.0,True
3,60,1.0,True
5,60,1.0,True
7,60,0.9984977466199298,True
9,60,1.0,True
11,60,1.0,True
13,60,0.9975213781137687,True
15,60,0.9981371087928465,True
17,60,0.9962820671706532,True
19,60,0.6883294059283145,True
21,60,0.9954014417101665,True
23,60,0.19252730883813307,True
25,60,0.7655568025938396,True
27,60,0.19010221889803042,True
29,60,0.18285714285714286,True
31,60,0.17689351679682658,True
33,60,0.17658829414707353,True
1,70,1.0,True
3,70,1.0,True
5,70,1.0,True
7,70,0.999379652605459,True
9,70,1.0,True
11,70,0.9985146676568882,True
13,70,0.9977725529018686,True
15,70,0.9960268189719395,True
17,70,0.995304003954523,True
19,70,0.9950452124365168,True
21,70,0.9955860716037274,True
23,70,0.9932592685058045,True
25,70,0.9933683683683684,True
27,70,0.18551192842942346,True
29,70,0.7695360952617216,True
31,70,0.17227306455602276,True
33,70,0.9923588858762632,True
1,80,1.0,True
3,80,1.0,True
5,80,1.0,True
7,80,0.9987468671679198,True
9,80,0.9986411365040149,True
11,80,0.9967813815300817,True
13,80,0.9967589129892794,True
15,80,0.9957758727792272,True
17,80,0.995667780665924,True
19,80,0.9949023996021386,True
21,80,0.9928927680798005,True
23,80,0.9928021841648051,True
25,80,0.19414236282748393,True
27,80,0.18133869144794676,True
29,80,0.7674160079051383,True
31,80,0.181387816120593,True
33,80,0.16931804168208164,True
1,90,1.0,True
3,90,1.0,True
5,90,0.9978902953586498,True
7,90,0.9998764058830799,True
9,90,0.9975293390982087,True
11,90,0.998496993987976,True
13,90,0.9970326409495549,True
15,90,0.9951822112415071,True
17,90,0.9942828734775043,True
19,90,0.9948775612193903,True
21,90,0.9928217821782178,True
23,90,0.9928571428571429,True
25,90,0.9926081064432672,True
27,90,0.9918306721128852,True
29,90,0.18495103508119498,True
31,90,0.18477722772277227,True
33,90,0.17926404773744406,True
1,100,1.0,True
3,100,1.0,True
5,100,1.0,True
7,100,0.998508390304537,True
9,100,0.9962825278810409,True
11,100,0.9968998015873016,True
13,100,0.9961963190184049,True
15,100,0.9951720722951225,True
17,100,0.994309043671904,True
19,100,0.994069681245367,True
21,100,0.9928359683794467,True
23,100,0.9918437963420662,True
25,100,0.9913280475718533,True
27,100,0.9910714285714286,True
29,100,0.990982087708462,True
31,100,0.9902646030953569,True
33,100,0.9902348578491965,True
1,110,1.0,True
3,110,1.0,True
5,110,0.9976525821596244,True
7,110,0.9978991596638656,True
9,110,0.9967924993831729,True
11,110,0.9964254899543942,True
13,110,0.995575221238938,True
15,110,0.9937091402491673,True
17,110,0.9942018258080434,True
19,110,0.9930864197530864,True
21,110,0.9921578237961034,True
23,110,0.9925925925925926,True
25,110,0.9917992656058752,True
27,110,0.9899715240807231,True
29,110,0.9900756729934251,True
31,110,0.9898915187376726,True
33,110,0.9889372280919826,True
1,120,1.0,True
3,120,1.0,True
5,120,0.9962967534872238,True
7,120,0.9966300549176236,True
9,120,0.9972826086956522,True
11,120,0.9965256235264921,True
13,120,0.9963144963144963,True
15,120,0.9947167956751444,True
17,120,0.994573260976813,True
19,120,0.9922020051986632,True
21,120,0.9920585680605534,True
23,120,0.9916554178426801,True
25,120,0.9917670189235684,True
27,120,0.9896091044037605,True
29,120,0.9894383697813122,True
31,120,0.9888165171439105,True
33,120,0.1737037037037037,True
1,130,1.0,True
3,130,0.9986448195145989,True
5,130,1.0,True
7,130,0.9960542540073982,True
9,130,0.9954031556715119,True
11,130,0.9954377311960543,True
13,130,0.9952952829020676,True
15,130,0.9934737101342199,True
17,130,0.9933217907494435,True
19,130,0.9918164910105394,True
21,130,0.9926488911039123,True
23,130,0.9905137366021929,True
25,130,0.9900393507132317,True
27,130,0.9897543513146525,True
29,130,0.9880164773436525,True
31,130,0.9888998519980267,True
33,130,0.1823543868272303,True
1,140,1.0,True
3,140,1.0,True
5,140,0.9954213587427299,True
7,140,0.9965350822917955,True
9,140,0.9952100221075902,True
11,140,0.9950775289195176,True
13,140,0.9944608567208272,True
15,140,0.9931506849315068,True
17,140,0.9917705735660848,True
19,140,0.991504555528195,True
21,140,0.9913771864991378,True
23,140,0.9896551724137931,True
25,140,0.9890356341888861,True
27,140,0.9882223040117777,True
29,140,0.9884108001479472,True
31,140,0.9880893909626719,True
33,140,0.9874213836477987,True
1,150,1.0,True
3,150,1.0,True
5,150,0.9950720709621781,True
7,150,0.9955828220858896,True
9,150,0.9942032560434139,True
11,150,0.9931364137761981,True
13,150,0.9941068139963167,True
