# margin grid for p_c=0.1
# Valid region: n0 > m
# Generated: 2026-02-16T09:01:15.555334
m,n0,margin,valid
1,10,0.38980028490086305,True
3,10,0.3292893218813453,True
5,10,0.41020028653353935,True
7,10,0.23071796769724492,True
9,10,0.00815407441273712,True
11,10,,False
13,10,,False
15,10,,False
17,10,,False
19,10,,False
21,10,,False
23,10,,False
25,10,,False
27,10,,False
29,10,,False
31,10,,False
33,10,,False
1,20,0.23071796769724492,True
3,20,0.19211774900609144,True
5,20,0.21135599079307796,True
7,20,0.21135599079307796,True
9,20,0.09796775032291671,True
11,20,0.025667689171175484,True
13,20,0.00815407441273712,True
15,20,0.025667689171175484,True
17,20,0.025667689171175484,True
19,20,0.079601324517834,True
21,20,,False
23,20,,False
25,20,,False
27,20,,False
29,20,,False
31,20,,False
33,20,,False
1,30,0.34934591306937723,True
3,30,0.26980028490086305,True
5,30,0.23071796769724492,True
7,30,0.079601324517834,True
9,30,0.06141672593649275,True
11,30,0.06141672593649275,True
13,30,0.00815407441273712,True
15,30,0.04343145750507618,True
17,30,0.00815407441273712,True
19,30,0.00815407441273712,True
21,30,0.3093459130693772,True
23,30,0.38980028490086305,True
25,30,0.079601324517834,True
27,30,0.079601324517834,True
29,30,0.3093459130693772,True
31,30,,False
33,30,,False
1,40,0.41020028653353935,True
3,40,0.21135599079307796,True
5,40,0.23071796769724492,True
7,40,0.079601324517834,True
9,40,0.00815407441273712,True
11,40,0.34934591306937723,True
13,40,0.025667689171175484,True
15,40,0.00815407441273712,True
17,40,0.025667689171175484,True
19,40,0.06141672593649275,True
21,40,0.025667689171175484,True
23,40,0.38980028490086305,True
25,40,0.3695159592531756,True
27,40,0.38980028490086305,True
29,40,0.34934591306937723,True
31,40,0.3292893218813453,True
33,40,0.28951595925317564,True
1,50,0.17300746310222312,True
3,50,0.17300746310222312,True
5,50,0.26980028490086305,True
7,50,0.15403030999011744,True
9,50,0.26980028490086305,True
11,50,0.11650196853444986,True
13,50,0.00815407441273712,True
15,50,0.00815407441273712,True
17,50,0.04343145750507618,True
19,50,0.06141672593649275,True
21,50,0.13519259301592138,True
23,50,0.06141672593649275,True
25,50,0.4307179676972449,True
27,50,0.41020028653353935,True
29,50,0.4721177490060915,True
31,50,0.3093459130693772,True
33,50,0.26980028490086305,True
1,60,0.21135599079307796,True
3,60,0.11650196853444986,True
5,60,0.04343145750507618,True
7,60,0.04343145750507618,True
9,60,0.00815407441273712,True
11,60,0.00815407441273712,True
13,60,0.06141672593649275,True
15,60,0.00815407441273712,True
17,60,0.00815407441273712,True
19,60,0.079601324517834,True
21,60,0.025667689171175484,True
23,60,0.38980028490086305,True
25,60,0.06141672593649275,True
27,60,0.41020028653353935,True
29,60,0.3292893218813453,True
31,60,0.4307179676972449,True
33,60,0.5779677503229167,True
1,70,0.451355990793078,True
3,70,0.23071796769724492,True
5,70,0.025667689171175484,True
7,70,0.00815407441273712,True
9,70,0.00815407441273712,True
11,70,0.00815407441273712,True
13,70,0.04343145750507618,True
15,70,0.079601324517834,True
17,70,0.04343145750507618,True
19,70,0.17300746310222312,True
21,70,0.025667689171175484,True
23,70,0.025667689171175484,True
25,70,0.00815407441273712,True
27,70,0.4307179676972449,True
29,70,0.079601324517834,True
31,70,0.3695159592531756,True
33,70,0.06141672593649275,True
1,80,0.41020028653353935,True
3,80,0.11650196853444986,True
5,80,0.04343145750507618,True
7,80,0.00815407441273712,True
9,80,0.025667689171175484,True
11,80,0.025667689171175484,True
13,80,0.00815407441273712,True
15,80,0.025667689171175484,True
17,80,0.00815407441273712,True
19,80,0.025667689171175484,True
21,80,0.04343145750507618,True
23,80,0.06141672593649275,True
25,80,0.41020028653353935,True
27,80,0.41020028653353935,True
29,80,0.025667689171175484,True
31,80,0.38980028490086305,True
33,80,0.28951595925317564,True
1,90,0.3695159592531756,True
3,90,0.19211774900609144,True
5,90,0.00815407441273712,True
7,90,0.00815407441273712,True
9,90,0.00815407441273712,True
11,90,0.04343145750507618,True
13,90,0.025667689171175484,True
15,90,0.079601324517834,True
17,90,0.06141672593649275,True
19,90,0.04343145750507618,True
21,90,0.09796775032291671,True
23,90,0.025667689171175484,True
25,90,0.025667689171175484,True
27,90,0.09796775032291671,True
29,90,0.451355990793078,True
31,90,0.4721177490060915,True
33,90,0.451355990793078,True
1,100,0.4930074631022231,True
3,100,0.09796775032291671,True
5,100,0.04343145750507618,True
7,100,0.00815407441273712,True
9,100,0.04343145750507618,True
11,100,0.079601324517834,True
13,100,0.025667689171175484,True
15,100,0.09796775032291671,True
17,100,0.04343145750507618,True
19,100,0.079601324517834,True
21,100,0.09796775032291671,True
23,100,0.15403030999011744,True
25,100,0.09796775032291671,True
27,100,0.025667689171175484,True
29,100,0.04343145750507618,True
31,100,0.00815407441273712,True
33,100,0.00815407441273712,True
1,110,0.28951595925317564,True
3,110,0.19211774900609144,True
5,110,0.00815407441273712,True
7,110,0.025667689171175484,True
9,110,0.00815407441273712,True
11,110,0.06141672593649275,True
13,110,0.09796775032291671,True
15,110,0.21135599079307796,True
17,110,0.13519259301592138,True
19,110,0.06141672593649275,True
21,110,0.06141672593649275,True
23,110,0.06141672593649275,True
25,110,0.09796775032291671,True
27,110,0.19211774900609144,True
29,110,0.025667689171175484,True
31,110,0.06141672593649275,True
33,110,0.04343145750507618,True
1,120,0.5140303099901175,True
3,120,0.09796775032291671,True
5,120,0.04343145750507618,True
7,120,0.06141672593649275,True
9,120,0.04343145750507618,True
11,120,0.09796775032291671,True
13,120,0.025667689171175484,True
15,120,0.09796775032291671,True
17,120,0.04343145750507618,True
19,120,0.06141672593649275,True
21,120,0.09796775032291671,True
23,120,0.15403030999011744,True
25,120,0.025667689171175484,True
27,120,0.025667689171175484,True
29,120,0.00815407441273712,True
31,120,0.00815407441273712,True
33,120,0.4307179676972449,True
1,130,0.5779677503229167,True
3,130,0.04343145750507618,True
5,130,0.04343145750507618,True
7,130,0.09796775032291671,True
9,130,0.04343145750507618,True
11,130,0.04343145750507618,True
13,130,0.06141672593649275,True
15,130,0.17300746310222312,True
17,130,0.06141672593649275,True
19,130,0.19211774900609144,True
21,130,0.00815407441273712,True
23,130,0.13519259301592138,True
25,130,0.25020028653353943,True
27,130,0.00815407441273712,True
29,130,0.11650196853444986,True
31,130,0.079601324517834,True
33,130,0.3292893218813453,True
1,140,0.451355990793078,True
3,140,0.079601324517834,True
5,140,0.00815407441273712,True
7,140,0.00815407441273712,True
9,140,0.11650196853444986,True
11,140,0.025667689171175484,True
13,140,0.04343145750507618,True
15,140,0.17300746310222312,True
17,140,0.13519259301592138,True
