# Normalization constant A(k)
# Node type: b
# p0: 0.258559, alpha: 15.625000, gamma: 6.448826
# A_asymptotic: 35257124.536726
# Generated: 2026-02-15T21:55:46.872965
k,A_k,A_asymptotic
0,35257124.53672571,35257124.5367257
1,35257124.53672572,35257124.5367257
2,35257124.53672572,35257124.5367257
3,35257124.53672572,35257124.5367257
4,35257124.536725715,35257124.5367257
5,35257124.53672572,35257124.5367257
6,35257124.53672574,35257124.5367257
7,35257124.53672572,35257124.5367257
8,35257124.53672572,35257124.5367257
9,35257124.53672574,35257124.5367257
10,35257124.53672573,35257124.5367257
11,35257124.53672551,35257124.5367257
12,35257124.53672571,35257124.5367257
13,35257124.53672602,35257124.5367257
14,35257124.53672559,35257124.5367257
15,35257124.5367256,35257124.5367257
16,35257124.53672579,35257124.5367257
17,35257124.53672555,35257124.5367257
18,35257124.53672516,35257124.5367257
19,35257124.536726,35257124.5367257
20,35257124.53672613,35257124.5367257
21,35257124.53672559,35257124.5367257
22,35257124.53672531,35257124.5367257
23,35257124.53672553,35257124.5367257
24,35257124.536725484,35257124.5367257
25,35257124.536725186,35257124.5367257
