# frac_edges grid for p_c=0.2,,,
# Valid region: n0 > m,,,
# Generated: 2026-02-16T09:01:17.279520,,,
m,n0,frac_edges,valid
,,,
1,2,1,TRUE
,,,
3,2,,FALSE
,,,
5,2,,FALSE
,,,
7,2,,FALSE
,,,
9,2,,FALSE
,,,
11,2,,FALSE
,,,
1,4,1,TRUE
,,,
3,4,1,TRUE
,,,
5,4,,FALSE
,,,
7,4,,FALSE
,,,
9,4,,FALSE
,,,
11,4,,FALSE
,,,
1,6,1,TRUE
,,,
3,6,1,TRUE
,,,
5,6,1,TRUE
,,,
7,6,,FALSE
,,,
9,6,,FALSE
,,,
11,6,,FALSE
,,,
1,8,1,TRUE
,,,
3,8,1,TRUE
,,,
5,8,1,TRUE
,,,
7,8,1,TRUE
,,,
9,8,,FALSE
,,,
11,8,,FALSE
,,,
1,10,1,TRUE
,,,
3,10,1,TRUE
,,,
5,10,1,TRUE
,,,
7,10,1,TRUE
,,,
9,10,1,TRUE
,,,
11,10,,FALSE
25,20,,FALSE
,,,
27,20,,FALSE
,,,
29,20,,FALSE
,,,
31,20,,FALSE
,,,
33,20,,FALSE
,,,
1,30,1,TRUE
,,,
3,30,1,TRUE
,,,
5,30,1,TRUE
,,,
7,30,0.994436362,TRUE
,,,
9,30,0.988660641,TRUE
,,,
11,30,0.977303042,TRUE
,,,
13,30,0.223598268,TRUE
,,,
15,30,0.204236876,TRUE
,,,
17,30,0.886977341,TRUE
,,,
19,30,0.403396601,TRUE
,,,
21,30,0.004823162,TRUE
,,,
23,30,0.004373839,TRUE
,,,
25,30,0.253902353,TRUE
,,,
27,30,0.003171557,TRUE
,,,
29,30,0.003108192,TRUE
,,,
31,30,,FALSE
,,,
33,30,,FALSE
,,,
1,40,1,TRUE
,,,
3,40,1,TRUE
,,,
5,40,1,TRUE
,,,
7,40,0.996947273,TRUE
,,,
9,40,0.971130407,TRUE
,,,
11,40,1,TRUE
,,,
13,40,0.962477188,TRUE
,,,
15,40,0.928080067,TRUE
,,,
17,40,0.889717484,TRUE
,,,
19,40,0.37592699,TRUE
,,,
21,40,0.218572847,TRUE
,,,
23,40,0.004499794,TRUE
,,,
25,40,0.003954688,TRUE
,,,
27,40,0.003556582,TRUE
,,,
29,40,0.002997384,TRUE
,,,
31,40,0.003045518,TRUE
,,,
33,40,0.002557948,TRUE
,,,
1,50,1,TRUE
,,,
3,50,1,TRUE
,,,
5,50,1,TRUE
,,,
7,50,1,TRUE
,,,
9,50,1,TRUE
,,,
11,50,0.942697167,TRUE
,,,
13,50,0.928221081,TRUE
,,,
15,50,0.934809438,TRUE
,,,
17,50,0.919647482,TRUE
,,,
19,50,0.005281349,TRUE
,,,
21,50,0.208412989,TRUE
,,,
23,50,0.004315556,TRUE
,,,
25,50,0.00384673,TRUE
,,,
27,50,0.003561739,TRUE
,,,
29,50,0.003483502,TRUE
,,,
31,50,0.00373919,TRUE
,,,
33,50,0.002565298,TRUE
,,,
1,60,1,TRUE
,,,
3,60,1,TRUE
,,,
5,60,0.974814457,TRUE
,,,
7,60,0.969052383,TRUE
,,,
9,60,0.973638535,TRUE
,,,
11,60,0.95542702,TRUE
,,,
13,60,0.9374209,TRUE
,,,
15,60,0.924632025,TRUE
,,,
17,60,0.880478606,TRUE
,,,
