# frac_nodes grid for p_c=0.2,,,
# Valid region: n0 > m,,,
# Generated: 2026-02-16T09:01:16.928919,,,
m,n0,frac_nodes,valid
1,2,1,TRUE
,,,
3,2,,FALSE
,,,
5,2,,FALSE
,,,
7,2,,FALSE
,,,
9,2,,FALSE
,,,
11,2,,FALSE
,,,
1,4,1,TRUE
,,,
3,4,1,TRUE
,,,
5,4,,FALSE
,,,
7,4,,FALSE
,,,
9,4,,FALSE
,,,
11,4,,FALSE
,,,
1,6,1,TRUE
,,,
3,6,1,TRUE
,,,
5,6,1,TRUE
,,,
7,6,,FALSE
,,,
9,6,,FALSE
,,,
11,6,,FALSE
,,,
1,8,1,TRUE
,,,
3,8,1,TRUE
,,,
5,8,1,TRUE
,,,
7,8,1,TRUE
,,,
9,8,,FALSE
,,,
11,8,,FALSE
,,,
1,10,1,TRUE
,,,
3,10,1,TRUE
,,,
5,10,1,TRUE
,,,
7,10,1,TRUE
,,,
9,10,1,TRUE
,,,
11,10,,FALSE
25,20,,FALSE
,,,
27,20,,FALSE
,,,
29,20,,FALSE
,,,
31,20,,FALSE
,,,
33,20,,FALSE
,,,
1,30,1,TRUE
,,,
3,30,1,TRUE
,,,
5,30,1,TRUE
,,,
7,30,0.999752475,TRUE
,,,
9,30,0.999622642,TRUE
,,,
11,30,0.999250936,TRUE
,,,
13,30,0.720993789,TRUE
,,,
15,30,0.710611735,TRUE
,,,
17,30,0.997009718,TRUE
,,,
19,30,0.894069377,TRUE
,,,
21,30,0.196180556,TRUE
,,,
23,30,0.195228035,TRUE
,,,
25,30,0.82066033,TRUE
,,,
27,30,0.179410295,TRUE
,,,
29,30,0.171514544,TRUE
,,,
31,30,,FALSE
,,,
33,30,,FALSE
,,,
1,40,1,TRUE
,,,
3,40,1,TRUE
,,,
5,40,1,TRUE
,,,
7,40,0.999875869,TRUE
,,,
9,40,0.998755909,TRUE
,,,
11,40,1,TRUE
,,,
13,40,0.998759459,TRUE
,,,
15,40,0.997533605,TRUE
,,,
17,40,0.996653031,TRUE
,,,
19,40,0.874675244,TRUE
,,,
21,40,0.757055825,TRUE
,,,
23,40,0.193427465,TRUE
,,,
25,40,0.185933408,TRUE
,,,
27,40,0.180284858,TRUE
,,,
29,40,0.173541247,TRUE
,,,
31,40,0.179686536,TRUE
,,,
33,40,0.171044518,TRUE
,,,
1,50,1,TRUE
,,,
3,50,1,TRUE
,,,
5,50,1,TRUE
,,,
7,50,1,TRUE
,,,
9,50,1,TRUE
,,,
11,50,0.997645017,TRUE
,,,
13,50,0.99726742,TRUE
,,,
15,50,0.997762029,TRUE
,,,
17,50,0.997279921,TRUE
,,,
19,50,0.203759398,TRUE
,,,
21,50,0.738124845,TRUE
,,,
23,50,0.193660659,TRUE
,,,
25,50,0.18997263,TRUE
,,,
27,50,0.183961088,TRUE
,,,
29,50,0.181470516,TRUE
,,,
31,50,0.182170543,TRUE
,,,
33,50,0.169590643,TRUE
,,,
1,60,1,TRUE
,,,
3,60,1,TRUE
,,,
5,60,0.998362927,TRUE
,,,
7,60,0.998247371,TRUE
,,,
9,60,0.998752495,TRUE
,,,
11,60,0.99802664,TRUE
,,,
13,60,0.997397447,TRUE
,,,
15,60,0.997143567,TRUE
,,,
17,60,0.99541455,TRUE
,,,
