# frac_edges grid for p_c=0.1
# Valid region: n0 > m
# Generated: 2026-02-16T09:01:16.280061
m,n0,frac_edges,valid
1,10,1.0,True
3,10,1.0,True
5,10,1.0,True
7,10,1.0,True
9,10,1.0,True
11,10,,False
13,10,,False
15,10,,False
17,10,,False
19,10,,False
21,10,,False
23,10,,False
25,10,,False
27,10,,False
29,10,,False
31,10,,False
33,10,,False
1,20,1.0,True
3,20,1.0,True
5,20,1.0,True
7,20,1.0,True
9,20,1.0,True
11,20,0.972047728254728,True
13,20,0.9394725673277259,True
15,20,0.9252846644593394,True
17,20,0.28481154796292135,True
19,20,0.27631523613272213,True
21,20,,False
23,20,,False
25,20,,False
27,20,,False
29,20,,False
31,20,,False
33,20,,False
1,30,1.0,True
3,30,1.0,True
5,30,1.0,True
7,30,1.0,True
9,30,1.0,True
11,30,1.0,True
13,30,0.9507297956160833,True
15,30,0.37512715050196804,True
17,30,0.9068719377960285,True
19,30,0.8758846710632138,True
21,30,0.004823161880297283,True
23,30,0.004373838975627031,True
25,30,0.4999143447372399,True
27,30,0.2482594822829451,True
29,30,0.00310819237664666,True
31,30,,False
33,30,,False
1,40,1.0,True
3,40,1.0,True
5,40,1.0,True
7,40,1.0,True
9,40,0.9763219269234317,True
11,40,1.0,True
13,40,1.0,True
15,40,0.9312447919436909,True
17,40,0.8967357327855675,True
19,40,0.8692377894203144,True
21,40,0.375661475420139,True
23,40,0.004499794023513008,True
25,40,0.003954688265644366,True
27,40,0.0035565815036871463,True
29,40,0.00299738435798949,True
31,40,0.0030455181496419456,True
33,40,0.0025579483261218014,True
1,50,1.0,True
3,50,1.0,True
5,50,1.0,True
7,50,1.0,True
9,50,1.0,True
11,50,0.942697167358482,True
13,50,0.9782048590568162,True
15,50,0.9578279014631136,True
17,50,0.9258938579877083,True
19,50,0.20615223217814313,True
21,50,0.20841298904116967,True
23,50,0.21479194181439387,True
25,50,0.00384672970389395,True
27,50,0.0035617386040578958,True
29,50,0.0034835018898763917,True
31,50,0.003739190116678106,True
33,50,0.0025652975283295336,True
1,60,1.0,True
3,60,1.0,True
5,60,1.0,True
7,60,0.973136090792797,True
9,60,1.0,True
11,60,1.0,True
13,60,0.9399715726552308,True
15,60,0.9482841993637328,True
17,60,0.8988164910911692,True
19,60,0.17132239496795632,True
21,60,0.8607912578458125,True
23,60,0.004328341057953805,True
25,60,0.2092444474006574,True
27,60,0.00421183290050072,True
29,60,0.0034554789840501336,True
31,60,0.0031649693742669374,True
33,60,0.003166505835972088,True
1,70,1.0,True
3,70,1.0,True
5,70,1.0,True
7,70,0.9884498480243161,True
9,70,1.0,True
11,70,0.9657106285119216,True
13,70,0.9468508546007961,True
15,70,0.898212570966492,True
17,70,0.8755647879468796,True
19,70,0.8656227115001608,True
21,70,0.8687456320948945,True
23,70,0.8016254110056455,True
25,70,0.7895572525680216,True
27,70,0.00367885379326393,True
29,70,0.1977449002681662,True
31,70,0.0029565225618149735,True
33,70,0.7218211384668562,True
1,80,1.0,True
3,80,1.0,True
5,80,1.0,True
7,80,0.9789997591715501,True
9,80,0.9744162199348398,True
11,80,0.9339634345781217,True
13,80,0.9283221503354899,True
15,80,0.9027307311480536,True
17,80,0.8879468107086986,True
19,80,0.8690580277023607,True
21,80,0.8074614037468577,True
23,80,0.7989851286173634,True
25,80,0.004576497016587388,True
27,80,0.003929348874376567,True
29,80,0.2021467625030808,True
31,80,0.0033695468506167565,True
33,80,0.0027726592440718728,True
1,90,1.0,True
3,90,1.0,True
5,90,0.9712104307497101,True
7,90,0.9972035164976455,True
9,90,0.9572501291236806,True
11,90,0.9710961003576092,True
13,90,0.9374568496713482,True
15,90,0.8929867262642622,True
17,90,0.870213620236154,True
19,90,0.8733800596537713,True
21,90,0.8141136194813164,True
23,90,0.8109281144698931,True
25,90,0.792902646339795,True
27,90,0.7656738057936886,True
29,90,0.003622228589655564,True
31,90,0.0035788167149358708,True
33,90,0.003123397083608119,True
1,100,1.0,True
3,100,1.0,True
5,100,1.0,True
7,100,0.9774536880016796,True
9,100,0.9379457820726245,True
11,100,0.940327033340412,True
13,100,0.9262390996876176,True
15,100,0.8983273938503966,True
17,100,0.8740325350278315,True
19,100,0.8625614250614251,True
21,100,0.8266662835716903,True
23,100,0.7931680673343823,True
25,100,0.7653003797325877,True
27,100,0.7577959345226315,True
29,100,0.7480533186048003,True
31,100,0.7177895092808296,True
33,100,0.7045704359220832,True
1,110,1.0,True
3,110,1.0,True
5,110,0.9693342008241163,True
7,110,0.9703805119129113,True
9,110,0.9470004723665565,True
11,110,0.9397218789316054,True
13,110,0.9177949804273763,True
15,110,0.8747849095106746,True
17,110,0.8733155732293616,True
19,110,0.8453110290390325,True
21,110,0.8170335891307082,True
23,110,0.8193335636824335,True
25,110,0.7948191691926232,True
27,110,0.7387549839772403,True
29,110,0.7371316835683608,True
31,110,0.7219898725111673,True
33,110,0.6875726056398043,True
1,120,1.0,True
3,120,1.0,True
5,120,0.9544575958301661,True
7,120,0.9543824254651423,True
9,120,0.958968514033338,True
11,120,0.9397130716863892,True
13,120,0.9312468317593827,True
15,120,0.8974238335345501,True
17,120,0.8895770292288764,True
19,120,0.8350187322956961,True
21,120,0.8232212459536236,True
23,120,0.808364629992389,True
25,120,0.7962414456162142,True
27,120,0.743742361213875,True
29,120,0.7245292463681677,True
31,120,0.7021424946283481,True
33,120,0.0031465732866433217,True
1,130,1.0,True
3,130,0.9846050157851797,True
5,130,1.0,True
7,130,0.9486165380094667,True
9,130,0.9341728522383401,True
11,130,0.9235688323489323,True
13,130,0.9154443485763589,True
15,130,0.8801355172504355,True
17,130,0.8664613552123249,True
19,130,0.8333046175051688,True
21,130,0.8388441073411297,True
23,130,0.7872103652478042,True
25,130,0.768183518982241,True
27,130,0.7512412075576341,True
29,130,0.7124233047287885,True
31,130,0.7245771487745944,True
33,130,0.0033701859788385974,True
1,140,1.0,True
3,140,1.0,True
5,140,0.9481664624540521,True
7,140,0.9558036075386233,True
9,140,0.9318275524403443,True
11,140,0.9240619855821082,True
13,140,0.9074134209470688,True
15,140,0.8776761868306814,True
17,140,0.8469615728328865,True
19,140,0.8307459267743008,True
21,140,0.8221955896452541,True
23,140,0.7773997947697379,True
25,140,0.7571515443281729,True
27,140,0.7313886546529664,True
29,140,0.7244981970527544,True
31,140,0.7099708753652899,True
33,140,0.6828104439699425,True
1,150,1.0,True
3,150,1.0,True
5,150,0.9438025210084033,True
7,150,0.9433773254889489,True
9,150,0.918454654016246,True
11,150,0.8970666305219522,True
