# margin grid for p_c=0.4
# Valid region: n0 > m
# Generated: 2026-02-16T09:01:17.591314
m,n0,margin,valid
1,10,0.08980028490086306,True
3,10,0.029289321881345254,True
5,10,0.1102002865335393,True
7,10,0.009345913069377154,True
9,10,0.06951595925317561,True
11,10,,False
13,10,,False
15,10,,False
17,10,,False
19,10,,False
21,10,,False
23,10,,False
25,10,,False
27,10,,False
29,10,,False
31,10,,False
33,10,,False
1,20,0.04934591306937719,True
3,20,0.009345913069377154,True
5,20,0.06951595925317561,True
7,20,0.009345913069377154,True
9,20,0.04934591306937719,True
11,20,0.1102002865335393,True
13,20,0.04934591306937719,True
15,20,0.029289321881345254,True
17,20,0.029289321881345254,True
19,20,0.009345913069377154,True
21,20,,False
23,20,,False
25,20,,False
27,20,,False
29,20,,False
31,20,,False
33,20,,False
1,30,0.04934591306937719,True
3,30,0.009345913069377154,True
5,30,0.009345913069377154,True
7,30,0.029289321881345254,True
9,30,0.029289321881345254,True
11,30,0.029289321881345254,True
13,30,0.23519259301592133,True
15,30,,True
17,30,0.029289321881345254,True
19,30,,True
21,30,0.009345913069377154,True
23,30,0.08980028490086306,True
25,30,0.029289321881345254,True
27,30,0.17211774900609145,True
29,30,0.009345913069377154,True
31,30,,False
33,30,,False
1,40,0.1102002865335393,True
3,40,0.04934591306937719,True
5,40,0.029289321881345254,True
7,40,0.04934591306937719,True
9,40,0.04934591306937719,True
11,40,0.04934591306937719,True
13,40,0.08980028490086306,True
15,40,0.009345913069377154,True
17,40,0.04934591306937719,True
19,40,0.029289321881345254,True
21,40,0.08980028490086306,True
23,40,0.08980028490086306,True
25,40,0.06951595925317561,True
27,40,0.08980028490086306,True
29,40,0.04934591306937719,True
31,40,0.029289321881345254,True
33,40,,True
1,50,0.04934591306937719,True
3,50,0.029289321881345254,True
5,50,0.04934591306937719,True
7,50,0.009345913069377154,True
9,50,0.029289321881345254,True
11,50,0.04934591306937719,True
13,50,0.19300746310222305,True
15,50,0.009345913069377154,True
17,50,0.1102002865335393,True
19,50,0.15135599079307793,True
21,50,0.06951595925317561,True
23,50,0.06951595925317561,True
25,50,0.13071796769724486,True
27,50,0.1102002865335393,True
29,50,0.17211774900609145,True
31,50,0.009345913069377154,True
33,50,,True
1,60,0.009345913069377154,True
3,60,0.08980028490086306,True
5,60,0.029289321881345254,True
7,60,0.009345913069377154,True
9,60,0.06951595925317561,True
11,60,0.15135599079307793,True
13,60,0.1102002865335393,True
15,60,0.06951595925317561,True
17,60,0.1102002865335393,True
19,60,0.04934591306937719,True
21,60,0.04934591306937719,True
23,60,0.08980028490086306,True
25,60,,True
27,60,0.1102002865335393,True
29,60,0.029289321881345254,True
31,60,0.13071796769724486,True
33,60,0.27796775032291665,True
