# P-value vs truncation analysis
# Sweep: m_edges, value: 34
# Node type: b, a: 0
# Confidence interval: z = 1.0
# Generated: 2026-02-15T23:13:57.448495
b,p,sigma_p,p_lower_bound,D_theory_mean,D_mle_mean
1,0.66,0.0669925368977769,0.5930074631022231,0.9225068065543374,0.9284187581668242
37,0.0,0.0,0.0,14.655655598613366,13.97959372130071
73,0.0,0.0,0.0,31.101989815596262,28.58422880012561
109,0.0,0.0,0.0,50.04895364346405,44.45280845311058
146,0.0,0.0,0.0,71.67163903912385,62.06186944829258
182,0.0,0.0,0.0,94.50516816140751,79.75528766642259
218,0.0,0.0,0.0,118.90816321897722,97.86065982875566
255,0.0,0.0,0.0,145.45884646854591,118.2267744534835
291,0.0,0.0,0.0,172.5903329376373,137.93247446243626
327,0.0,0.0,0.0,200.92115613124028,158.01694622545557
364,0.0,0.0,0.0,231.1906991641677,179.20569540587192
400,0.0,0.0,0.0,261.6943749363049,199.91725943026813
436,0.0,0.0,0.0,293.1933354291229,221.66597661522545
473,0.0,0.0,0.0,326.5270208818046,243.69815747696123
509,0.0,0.0,0.0,359.86930869741644,266.2398643289232
545,0.0,0.0,0.0,394.05331616163056,288.6040041670087
582,0.0,0.0,0.0,430.04711084809225,311.6958677920107
618,0.0,0.0,0.0,465.85304408776153,334.5073716226395
654,0.0,0.0,0.0,502.415631300221,358.76663598903536
691,0.0,0.0,0.0,540.756971200475,383.4152226608013
727,0.0,0.0,0.0,578.7699104922408,407.637456357313
763,0.0,0.0,0.0,617.4651469735221,431.93788416983443
800,0.0,0.0,0.0,657.9317266503905,457.76095925210495
836,0.0,0.0,0.0,697.9489973020745,482.0859569073225
872,0.0,0.0,0.0,738.5992225666346,507.64591170925786
909,0.0,0.0,0.0,781.0064802571709,534.6973037853571
945,0.0,0.0,0.0,822.8800266078525,561.5586603550288
981,0.0,0.0,0.0,865.3300494314528,589.5588679002223
1018,0.0,0.0,0.0,909.5476776541557,618.8061429186146
1054,0.0,0.0,0.0,953.1296147422821,647.9809129811202
1090,0.0,0.0,0.0,997.2583900559611,677.4549507721686
1127,0.0,0.0,0.0,1043.1636323084622,708.273178670806
1163,0.0,0.0,0.0,1088.3554722636643,738.6937129398989
1199,0.0,0.0,0.0,1134.0571871395075,769.3959991609357
1236,0.0,0.0,0.0,1181.5496229839448,801.1399725911251
1272,0.0,0.0,0.0,1228.25013147829,831.895091100577
1308,0.0,0.0,0.0,1275.4450798384923,862.5575173701637
1345,0.0,0.0,0.0,1324.4317647706393,892.3332414012792
1381,0.0,0.0,0.0,1372.5763401321296,919.6545015967828
1417,0.0,0.0,0.0,1421.1685559927066,944.1771574626914
1454,0.0,0.0,0.0,1471.5835283976216,967.1364921450565
1490,0.0,0.0,0.0,1521.093020172272,982.1422366306572
1526,0.0,0.0,0.0,1571.004251823063,993.1466644621353
1563,0.0,0.0,0.0,1622.8016560389485,1003.2808679024286
1599,0.0,0.0,0.0,1673.5890630578035,1010.1482162485878
1635,0.0,0.0,0.0,1724.8234331573312,1020.6111461555345
1672,0.0,0.0,0.0,1777.8839122793213,1029.2848614828115
1708,0.0,0.0,0.0,1829.9848769516962,1045.3094881129034
1744,0.0,0.0,0.0,1882.4377731478473,1061.352213967833
1781,0.0,0.0,0.0,1936.7744843739283,1083.7568901123473
