# Network edge list with node attributes
# N: 20030, m: 3
# h: 0.2, f_a: 0.2
# Initial network nodes: 0 to 29
# Added nodes: 30 to 20029
# Total edges: 60028
# Type a nodes: 4087
# Type b nodes: 15943
# Generated: 2026-02-15T17:50:44.090406
source,target,source_type,target_type,source_in_degree,target_in_degree,source_is_initial,target_is_initial,source_order,target_order
29,4,a,b,54,62,True,True,29,4
29,22,a,a,54,31,True,True,29,22
29,10,a,b,54,38,True,True,29,10
29,23,a,b,54,31,True,True,29,23
29,17,a,a,54,77,True,True,29,17
29,16,a,b,54,52,True,True,29,16
29,13,a,b,54,48,True,True,29,13
29,3,a,b,54,66,True,True,29,3
29,20,a,b,54,37,True,True,29,20
29,6,a,b,54,45,True,True,29,6
29,0,a,b,54,21,True,True,29,0
29,26,a,b,54,40,True,True,29,26
29,25,a,b,54,45,True,True,29,25
29,1,a,a,54,25,True,True,29,1
29,5,a,b,54,50,True,True,29,5
29,7,a,b,54,43,True,True,29,7
29,18,a,b,54,30,True,True,29,18
29,8,a,b,54,57,True,True,29,8
29,14,a,a,54,104,True,True,29,14
29,11,a,b,54,42,True,True,29,11
29,9,a,a,54,11,True,True,29,9
29,24,a,a,54,40,True,True,29,24
29,15,a,b,54,33,True,True,29,15
29,28,a,b,54,45,True,True,29,28
29,21,a,b,54,47,True,True,29,21
29,2,a,b,54,26,True,True,29,2
29,12,a,b,54,41,True,True,29,12
29,19,a,b,54,35,True,True,29,19
30,18,b,b,31,30,False,True,30,18
30,16,b,b,31,52,False,True,30,16
30,28,b,b,31,45,False,True,30,28
31,3,b,b,29,66,False,True,31,3
31,7,b,b,29,43,False,True,31,7
31,5,b,b,29,50,False,True,31,5
32,14,b,a,45,104,False,True,32,14
32,29,b,a,45,54,False,True,32,29
32,28,b,b,45,45,False,True,32,28
33,17,b,a,61,77,False,True,33,17
33,14,b,a,61,104,False,True,33,14
33,27,b,b,61,29,False,True,33,27
34,8,b,b,39,57,False,True,34,8
34,4,b,b,39,62,False,True,34,4
34,6,b,b,39,45,False,True,34,6
35,33,b,b,31,61,False,False,35,33
35,3,b,b,31,66,False,True,35,3
35,31,b,b,31,29,False,False,35,31
36,5,b,b,17,50,False,True,36,5
36,19,b,b,17,35,False,True,36,19
36,4,b,b,17,62,False,True,36,4
37,16,b,b,22,52,False,True,37,16
37,8,b,b,22,57,False,True,37,8
37,13,b,b,22,48,False,True,37,13
38,6,b,b,39,45,False,True,38,6
38,25,b,b,39,45,False,True,38,25
38,29,b,a,39,54,False,True,38,29
39,28,b,b,47,45,False,True,39,28
39,34,b,b,47,39,False,False,39,34
39,5,b,b,47,50,False,True,39,5
40,16,b,b,33,52,False,True,40,16
40,25,b,b,33,45,False,True,40,25
40,12,b,b,33,41,False,True,40,12
41,7,b,b,40,43,False,True,41,7
41,14,b,a,40,104,False,True,41,14
41,33,b,b,40,61,False,False,41,33
42,18,b,b,31,30,False,True,42,18
42,17,b,a,31,77,False,True,42,17
42,38,b,b,31,39,False,False,42,38
43,37,b,b,34,22,False,False,43,37
43,10,b,b,34,38,False,True,43,10
43,21,b,b,34,47,False,True,43,21
44,11,b,b,36,42,False,True,44,11
44,3,b,b,36,66,False,True,44,3
44,34,b,b,36,39,False,False,44,34
45,17,a,a,1,77,False,True,45,17
45,4,a,b,1,62,False,True,45,4
45,14,a,a,1,104,False,True,45,14
46,3,a,b,7,66,False,True,46,3
46,21,a,b,7,47,False,True,46,21
46,0,a,b,7,21,False,True,46,0
47,13,a,b,27,48,False,True,47,13
47,30,a,b,27,31,False,False,47,30
47,8,a,b,27,57,False,True,47,8
48,24,b,a,15,40,False,True,48,24
48,43,b,b,15,34,False,False,48,43
48,11,b,b,15,42,False,True,48,11
49,24,b,a,23,40,False,True,49,24
49,26,b,b,23,40,False,True,49,26
49,2,b,b,23,26,False,True,49,2
50,34,a,b,26,39,False,False,50,34
50,32,a,b,26,45,False,False,50,32
50,5,a,b,26,50,False,True,50,5
51,28,b,b,48,45,False,True,51,28
51,33,b,b,48,61,False,False,51,33
51,25,b,b,48,45,False,True,51,25
52,5,b,b,31,50,False,True,52,5
52,17,b,a,31,77,False,True,52,17
52,32,b,b,31,45,False,False,52,32
53,22,b,a,27,31,False,True,53,22
53,51,b,b,27,48,False,False,53,51
53,39,b,b,27,47,False,False,53,39
54,8,b,b,44,57,False,True,54,8
54,13,b,b,44,48,False,True,54,13
54,38,b,b,44,39,False,False,54,38
55,48,a,b,13,15,False,False,55,48
55,20,a,b,13,37,False,True,55,20
55,29,a,a,13,54,False,True,55,29
56,49,b,b,25,23,False,False,56,49
56,20,b,b,25,37,False,True,56,20
56,26,b,b,25,40,False,True,56,26
57,19,b,b,16,35,False,True,57,19
57,41,b,b,16,40,False,False,57,41
57,0,b,b,16,21,False,True,57,0
58,42,b,b,25,31,False,False,58,42
58,36,b,b,25,17,False,False,58,36
58,14,b,a,25,104,False,True,58,14
59,38,b,b,31,39,False,False,59,38
59,37,b,b,31,22,False,False,59,37
59,33,b,b,31,61,False,False,59,33
60,49,b,b,24,23,False,False,60,49
60,35,b,b,24,31,False,False,60,35
60,18,b,b,24,30,False,True,60,18
61,30,b,b,45,31,False,False,61,30
61,5,b,b,45,50,False,True,61,5
61,4,b,b,45,62,False,True,61,4
62,61,b,b,30,45,False,False,62,61
62,12,b,b,30,41,False,True,62,12
62,58,b,b,30,25,False,False,62,58
63,40,b,b,23,33,False,False,63,40
63,4,b,b,23,62,False,True,63,4
63,23,b,b,23,31,False,True,63,23
64,20,b,b,31,37,False,True,64,20
64,58,b,b,31,25,False,False,64,58
64,12,b,b,31,41,False,True,64,12
65,26,b,b,23,40,False,True,65,26
65,17,b,a,23,77,False,True,65,17
65,33,b,b,23,61,False,False,65,33
66,0,a,b,6,21,False,True,66,0
66,55,a,a,6,13,False,False,66,55
66,2,a,b,6,26,False,True,66,2
67,38,b,b,21,39,False,False,67,38
67,65,b,b,21,23,False,False,67,65
67,52,b,b,21,31,False,False,67,52
68,38,b,b,20,39,False,False,68,38
68,21,b,b,20,47,False,True,68,21
68,9,b,a,20,11,False,True,68,9
69,54,a,b,20,44,False,False,69,54
69,3,a,b,20,66,False,True,69,3
69,35,a,b,20,31,False,False,69,35
70,8,b,b,23,57,False,True,70,8
70,49,b,b,23,23,False,False,70,49
70,31,b,b,23,29,False,False,70,31
71,11,b,b,27,42,False,True,71,11
71,0,b,b,27,21,False,True,71,0
71,25,b,b,27,45,False,True,71,25
72,51,b,b,27,48,False,False,72,51
72,22,b,a,27,31,False,True,72,22
72,47,b,a,27,27,False,False,72,47
73,67,b,b,30,21,False,False,73,67
73,25,b,b,30,45,False,True,73,25
73,7,b,b,30,43,False,True,73,7
74,25,b,b,13,45,False,True,74,25
74,38,b,b,13,39,False,False,74,38
74,31,b,b,13,29,False,False,74,31
75,23,b,b,28,31,False,True,75,23
75,3,b,b,28,66,False,True,75,3
75,4,b,b,28,62,False,True,75,4
76,34,b,b,40,39,False,False,76,34
76,43,b,b,40,34,False,False,76,43
76,51,b,b,40,48,False,False,76,51
77,49,a,b,7,23,False,False,77,49
77,13,a,b,7,48,False,True,77,13
77,64,a,b,7,31,False,False,77,64
78,76,a,b,6,40,False,False,78,76
78,23,a,b,6,31,False,True,78,23
78,16,a,b,6,52,False,True,78,16
79,35,a,b,7,31,False,False,79,35
79,16,a,b,7,52,False,True,79,16
79,64,a,b,7,31,False,False,79,64
80,38,b,b,19,39,False,False,80,38
80,76,b,b,19,40,False,False,80,76
80,43,b,b,19,34,False,False,80,43
81,59,b,b,20,31,False,False,81,59
81,5,b,b,20,50,False,True,81,5
81,21,b,b,20,47,False,True,81,21
82,61,b,b,32,45,False,False,82,61
82,23,b,b,32,31,False,True,82,23
82,56,b,b,32,25,False,False,82,56
83,4,a,b,33,62,False,True,83,4
83,41,a,b,33,40,False,False,83,41
83,30,a,b,33,31,False,False,83,30
84,16,a,b,3,52,False,True,84,16
84,82,a,b,3,32,False,False,84,82
84,70,a,b,3,23,False,False,84,70
85,18,a,b,13,30,False,True,85,18
85,51,a,b,13,48,False,False,85,51
85,28,a,b,13,45,False,True,85,28
86,2,b,b,21,26,False,True,86,2
86,53,b,b,21,27,False,False,86,53
86,40,b,b,21,33,False,False,86,40
87,86,b,b,31,21,False,False,87,86
87,28,b,b,31,45,False,True,87,28
87,61,b,b,31,45,False,False,87,61
88,60,b,b,32,24,False,False,88,60
88,72,b,b,32,27,False,False,88,72
88,26,b,b,32,40,False,True,88,26
89,35,b,b,28,31,False,False,89,35
89,61,b,b,28,45,False,False,89,61
89,41,b,b,28,40,False,False,89,41
90,28,b,b,31,45,False,True,90,28
90,87,b,b,31,31,False,False,90,87
90,59,b,b,31,31,False,False,90,59
91,7,b,b,16,43,False,True,91,7
91,25,b,b,16,45,False,True,91,25
91,52,b,b,16,31,False,False,91,52
92,72,a,b,48,27,False,False,92,72
