# Power law 1 PMF: p(k) = A*(k+alpha)^(-gamma)
# Node type: a
# A: 68640.000000, alpha: 10.000000, gamma: 5.000000
# Generated: 2026-02-17T19:07:39.014301
k,pmf,A,alpha,gamma
0,0.6864,68640.0,10.0,5.0
1,0.4262003961478041,68640.0,10.0,5.0
2,0.2758487654320988,68640.0,10.0,5.0
3,0.18486747662896957,68640.0,10.0,5.0
4,0.127625394180996,68640.0,10.0,5.0
5,0.09039012345679012,68640.0,10.0,5.0
6,0.065460205078125,68640.0,10.0,5.0
7,0.04834289650295769,68640.0,10.0,5.0
8,0.03632576334908296,68640.0,10.0,5.0
9,0.02772102407860106,68640.0,10.0,5.0
10,0.02145,68640.0,10.0,5.0
11,0.016806636270748444,68640.0,10.0,5.0
12,0.013318762379618878,68640.0,10.0,5.0
13,0.010664440972148316,68640.0,10.0,5.0
14,0.008620273919753087,68640.0,10.0,5.0
15,0.007028736,68640.0,10.0,5.0
16,0.005777108644655299,68640.0,10.0,5.0
17,0.004783639617986234,68640.0,10.0,5.0
18,0.003988293568156125,68640.0,10.0,5.0
19,0.0033464726915103586,68640.0,10.0,5.0
20,0.0028246913580246913,68640.0,10.0,5.0
21,0.002397556253065276,68640.0,10.0,5.0
22,0.0020456314086914062,68640.0,10.0,5.0
23,0.001753911095258453,68640.0,10.0,5.0
24,0.001510715515717428,68640.0,10.0,5.0
25,0.0013068840364133993,68640.0,10.0,5.0
