# Power law 1 PMF: p(k) = A*(k+alpha)^(-gamma)
# Node type: b
# A: 480.000000, alpha: 2.000000, gamma: 5.000000
# Generated: 2026-02-17T19:07:39.031238
k,pmf,A,alpha,gamma
0,15.0,480.0,2.0,5.0
1,1.9753086419753088,480.0,2.0,5.0
2,0.46875,480.0,2.0,5.0
3,0.15360000000000001,480.0,2.0,5.0
4,0.0617283950617284,480.0,2.0,5.0
5,0.02855952876777533,480.0,2.0,5.0
6,0.0146484375,480.0,2.0,5.0
7,0.008128842148046538,480.0,2.0,5.0
8,0.0048000000000000004,480.0,2.0,5.0
9,0.0029804223506839445,480.0,2.0,5.0
10,0.0019290123456790125,480.0,2.0,5.0
11,0.001292779556845941,480.0,2.0,5.0
12,0.0008924852739929791,480.0,2.0,5.0
13,0.0006320987654320988,480.0,2.0,5.0
14,0.000457763671875,480.0,2.0,5.0
15,0.0003380622133073964,480.0,2.0,5.0
16,0.0002540263171264543,480.0,2.0,5.0
17,0.00019385331523497245,480.0,2.0,5.0
18,0.00015000000000000001,480.0,2.0,5.0
19,0.00011752892497026885,480.0,2.0,5.0
20,9.313819845887327e-05,480.0,2.0,5.0
21,7.457651029474346e-05,480.0,2.0,5.0
22,6.028163580246914e-05,480.0,2.0,5.0
23,4.9152e-05,480.0,2.0,5.0
24,4.039936115143566e-05,480.0,2.0,5.0
25,3.3452025300603034e-05,480.0,2.0,5.0
