# Linear-scale discrete degree distribution
# Node type: a, n=13893
# N: 28005, m: 2
# Theories: Diamond, Sterling
# Generated: 2026-02-17T19:07:37.018513
k,empirical_pmf,Diamond_pmf,Sterling_pmf
0,0.2811487799611315,0.2857142857142857,0.6864
1,0.1892319873317498,0.1904761904761904,0.4262003961478041
2,0.13560786007341827,0.13095238095238101,0.2758487654320988
3,0.08925358094004175,0.09243697478991594,0.18486747662896957
4,0.07082703519758152,0.06676003734827268,0.127625394180996
5,0.0474339595479738,0.04919160646714818,0.09039012345679012
6,0.03850860145396962,0.03689370485036123,0.065460205078125
7,0.0283596055567552,0.02810948940979901,0.04834289650295769
8,0.021449650903332614,0.021720969089390158,0.03632576334908296
9,0.016051248830346216,0.0169990192873488,0.02772102407860106
10,0.01554739797020082,0.013457556935817804,0.02145
11,0.009717123731375513,0.010766045548654235,0.016806636270748444
12,0.009141294176923631,0.008695652173913035,0.013318762379618878
13,0.007269848124955013,0.007085346215781005,0.010664440972148316
14,0.007125890736342043,0.005820105820105813,0.008620273919753087
15,0.004030806881163176,0.004816639299397928,0.007028736
16,0.004102785575469661,0.004013866082831605,0.005777108644655299
17,0.003311019938098323,0.0033664683275361805,0.004783639617986234
18,0.0026632116893399553,0.0028404576513586565,0.003988293568156125
19,0.002015403440581588,0.0024100852799406754,0.0033464726915103586
20,0.0017274886633556468,0.0020556609740670605,0.0028246913580246913
21,0.0021593608291945584,0.0017619951206288922,0.002397556253065276
22,0.0016555099690491615,0.0015172735760970962,0.0020456314086914062
23,0.0011516591089037645,0.0013122366063542655,0.001753911095258453
24,0.0012236378032102497,0.0011395738949918537,0.001510715515717428
25,0.0009357230259843086,0.000993474677685199,0.0013068840364133993
26,0.0005758295544518822,0.0008692903429745459,0.0011351801046588425
27,0.000791765637371338,0.000763279325538635,0.0009898483295379293
28,0.0004318721658389117,0.0006724127391649783,0.0008662820024562831
29,0.0004318721658389117,0.0005942252113550994,0.0007607715087611916
30,0.0002879147772259411,0.0005266996191556649,0.0006703125
31,0.0002879147772259411,0.0004681774392494748,0.0005924585771632543
32,0.0003598934715324264,0.0004172885871571462,0.0005252073834608889
33,0.0004318721658389117,0.000372896184268083,0.0004669119582471872
34,0.000503850860145397,0.00033405283174015943,0.0004162113243630899
35,7.197869430648528e-05,0.0002999658080931964,0.0003719758166946096
36,0.0005758295544518822,0.0002699692272838886,0.00033326378037963487
37,0.0004318721658389117,0.00024350165598154347,0.00029928709108544054
38,0.0002879147772259411,0.00022008803521408996,0.000269383559992284
39,0.0002879147772259411,0.00019932501302407846,0.00024299474110738812
40,7.197869430648528e-05,0.00018086899329962969,0.000219648
41,0.00021593608291945585,0.0001644263575451154,0.00019894196091752137
42,0.00014395738861297056,0.00014974543276429994,0.0001805346451454781
43,0.00014395738861297056,0.00013660986848672838,0.00016413376315368373
44,0.00014395738861297056,0.0001248331556861488,0.00014948873806206982
45,,0.00011425407469579871,0.00013638412676729732
46,0.0002879147772259411,0.00010473290180447997,0.0001246341740048789
47,7.197869430648528e-05,9.614823772214702e-05,0.00011407828838930476
48,0.0002879147772259411,8.839434758326405e-05,0.0001045772716096987
49,0.00014395738861297056,8.137892317189518e-05,9.601016512658775e-05
50,0.00014395738861297056,7.502119479908811e-05,8.82716049382716e-05
51,7.197869430648528e-05,6.925033366069832e-05,8.126959580420895e-05
52,7.197869430648528e-05,6.40040962621611e-05,7.492363290828988e-05
53,0.00014395738861297056,5.922767116796885e-05,6.916311222530225e-05
54,,5.4872695346795916e-05,6.392598152160645e-05
55,7.197869430648528e-05,5.089641307528875e-05,5.9157592521270265e-05
56,7.197869430648528e-05,4.726095499848289e-05,5.4809721726826655e-05
57,,4.393271873098356e-05,5.0839733032236696e-05
58,,4.088183548577628e-05,4.720985986616962e-05
59,,3.8081709767571536e-05,4.3886588362750264e-05
60,,3.5508621269763465e-05,4.084012613791873e-05
61,,3.3141379851778754e-05,3.8043943782399984e-05
62,,3.096102591416198e-05,3.547437827058883e-05
63,7.197869430648528e-05,2.895056968597048e-05,3.31102892113191e-05
64,7.197869430648528e-05,2.709476393686998e-05,3.093276029806029e-05
65,,2.5379905459852677e-05,2.8924839506172837e-05
66,,2.3793661368611885e-05,2.7071312576758848e-05
67,,2.2324916839684758e-05,2.5358505155459282e-05
68,7.197869430648528e-05,2.0963641422631056e-05,2.377410964878724e-05
69,,1.9700771457412605e-05,2.230703344349068e-05
70,,1.8528106489709167e-05,2.0947265625e-05
71,,1.74382178726671e-05,1.9685759744799318e-05
72,,1.6424367996348835e-05,1.8514330536351696e-05
73,,1.548043880115672e-05,1.7425562775540013e-05
74,,1.460086841472749e-05,1.6412730733152778e-05
75,,1.378059490828205e-05,1.5469726880946462e-05
76,,1.301500630226627e-05,1.45909986952246e-05
77,,1.2299896065878275e-05,1.3771492557655796e-05
78,7.197869430648528e-05,1.1631423453601969e-05,1.300660388634656e-05
79,,1.1006078106634358e-05,1.2292132744448509e-05
80,,1.0420648420111058e-05,1.162424427170655e-05
81,,9.872193240105695e-06,1.0999433368773104e-05
82,,9.358016508850337e-06,1.041449313686359e-05
83,,8.875644523857957e-06,9.866486638128708e-06
84,,8.422805517537941e-06,9.352721596420017e-06
85,,7.99741129948111e-06,8.870727705152339e-06
86,,7.597540734506962e-06,8.418236249758874e-06
87,,7.2214248565608726e-06,7.993161787673182e-06
88,,6.8674334420236564e-06,7.593585659605879e-06
89,,6.534062886585674e-06,7.217741132750836e-06
90,,6.219925247807247e-06,6.864e-06
91,,5.923738331245122e-06,6.530860479732723e-06
92,,5.644316711846821e-06,6.216936278672543e-06
93,,5.380563594470791e-06,5.9209466960129015e-06
94,,5.131463428060178e-06,5.641707660796191e-06
95,,4.896075197415165e-06,5.378123606639503e-06
96,7.197869430648528e-05,4.673526324805165e-06,5.1291800985526165e-06
97,,4.4630071209852e-06,4.8939371359759e-06
98,7.197869430648528e-05,4.2637657316557535e-06,4.671523064439682e-06
99,,4.075103531140012e-06,4.461129035551844e-06
100,,3.896370920125101e-06,4.262003961478041e-06
101,,3.726963488815408e-06,4.073449915793948e-06
102,,3.5663185108492323e-06,3.894817937652466e-06
103,,3.4139117368809776e-06,3.7255042007002126e-06
104,,3.2692544598947826e-06,3.5649465121657738e-06
105,7.197869430648528e-05,3.131890827125838e-06,3.412621111087461e-06
