# Log-binned degree distribution
# Node type: b, n=14112
# N: 28005, m: 2
# Theories: Diamond, Sterling
# Generated: 2026-02-17T19:07:35.197937
k_bin_center,empirical_prob,Diamond_prob,Sterling_prob
0.0,0.6675878684807256,0.6666666666666666,15.0
1.0,0.18998015873015872,0.19047619047619047,1.9753086419753088
2.0,0.07270408163265306,0.0714285714285714,0.46875
3.0,0.03011621315192744,0.031746031746031744,0.15360000000000001
4.0,0.015873015873015872,0.015873015873015872,0.0617283950617284
5.0,0.007865646258503401,0.008658008658008655,0.02855952876777533
6.0,0.00496031746031746,0.005050505050505052,0.0146484375
7.0,0.0031179138321995466,0.0031080031080031106,0.008128842148046538
8.0,0.0021258503401360546,0.001998001998001999,0.0048000000000000004
9.0,0.0013463718820861678,0.0013320013320013322,0.0029804223506839445
10.0,0.0008503401360544217,0.0009157509157509165,0.0019290123456790125
11.0,0.0009212018140589569,0.0006464124111182938,0.001292779556845941
12.0,0.00042517006802721087,0.0004668534080298787,0.0008924852739929791
13.0,0.0002834467120181406,0.0003439972480220157,0.0006320987654320988
14.0,7.086167800453515e-05,0.0002579979360165118,0.000457763671875
15.0,0.0002834467120181406,0.00019656985601258076,0.0003380622133073964
16.0,0.000496031746031746,0.00015189488873699407,0.0002540263171264543
18.0,7.086167800453515e-05,9.410878976096363e-05,0.00015000000000000001
19.0,7.086167800453515e-05,7.528703180877098e-05,0.00011752892497026885
20.0,0.0001417233560090703,6.080875646093029e-05,9.313819845887327e-05
21.0,7.086167800453515e-05,4.9547875634832185e-05,7.457651029474346e-05
23.0,0.00021258503401360543,3.368279230348194e-05,4.9152e-05
24.0,7.086167800453515e-05,2.8068993586234992e-05,4.039936115143566e-05
25.0,0.0001417233560090703,2.35417365561971e-05,3.3452025300603034e-05
29.0,7.086167800453515e-05,1.232164420020206e-05,1.676612764381312e-05
32.0,7.086167800453515e-05,7.96904821672626e-06,1.0564444165856138e-05
38.49675310984031,7.086167800453515e-05,3.4726899063253143e-06,4.406971231858392e-06
