# Normalization constant A(k)
# Node type: a
# p0: 0.693756, alpha: 3.846154, gamma: 9.712966
# A_asymptotic: 278327599.952671
# Generated: 2026-04-09T16:40:04.978275
k,A_k,A_asymptotic
0,278327599.9526708,278327599.9526708
1,278327599.95267063,278327599.9526708
2,278327599.9526708,278327599.9526708
3,278327599.95267063,278327599.9526708
4,278327599.95267075,278327599.9526708
5,278327599.95267016,278327599.9526708
6,278327599.9526701,278327599.9526708
7,278327599.95267016,278327599.9526708
8,278327599.95267016,278327599.9526708
9,278327599.9526701,278327599.9526708
10,278327599.9526703,278327599.9526708
11,278327599.95267004,278327599.9526708
12,278327599.9526701,278327599.9526708
13,278327599.9526701,278327599.9526708
14,278327599.9526702,278327599.9526708
15,278327599.95267016,278327599.9526708
16,278327599.9526701,278327599.9526708
17,278327599.9526703,278327599.9526708
18,278327599.95267016,278327599.9526708
19,278327599.95267016,278327599.9526708
20,278327599.9526686,278327599.9526708
21,278327599.9526715,278327599.9526708
22,278327599.95266753,278327599.9526708
23,278327599.9526727,278327599.9526708
24,278327599.9526709,278327599.9526708
25,278327599.9526694,278327599.9526708
