# Normalization constant A(k)
# Node type: b
# p0: 0.311804, alpha: 6.756757, gamma: 4.061312
# A_asymptotic: 1610.741926
# Generated: 2026-04-09T16:40:04.981827
k,A_k,A_asymptotic
0,1610.7419262782507,1610.7419262782507
1,1610.7419262782505,1610.7419262782507
2,1610.7419262782505,1610.7419262782507
3,1610.7419262782505,1610.7419262782507
4,1610.7419262782505,1610.7419262782507
5,1610.7419262782505,1610.7419262782507
6,1610.7419262782594,1610.7419262782507
7,1610.7419262782587,1610.7419262782507
8,1610.7419262782585,1610.7419262782507
9,1610.7419262782587,1610.7419262782507
10,1610.7419262782498,1610.7419262782507
11,1610.7419262782507,1610.7419262782507
12,1610.741926278251,1610.7419262782507
13,1610.7419262782505,1610.7419262782507
14,1610.7419262782507,1610.7419262782507
15,1610.7419262782505,1610.7419262782507
16,1610.7419262782507,1610.7419262782507
17,1610.7419262782505,1610.7419262782507
18,1610.74192627825,1610.7419262782507
19,1610.741926278251,1610.7419262782507
20,1610.7419262782507,1610.7419262782507
21,1610.741926278251,1610.7419262782507
22,1610.7419262782507,1610.7419262782507
23,1610.7419262782396,1610.7419262782507
24,1610.7419262782585,1610.7419262782507
25,1610.7419262782428,1610.7419262782507
