# Sterling PMF: p(k) = A*(k+alpha)^(-gamma)
# Node type: a
# A: 278327599.952671, alpha: 3.846154, gamma: 9.712966
# Generated: 2026-04-09T16:40:05.003387
k,pmf,A,alpha,gamma
0,578.3789958407141,278327599.9526708,3.846153846153846,9.712965626469241
1,61.27973214057957,278327599.9526708,3.846153846153846,9.712965626469241
2,9.90768051562855,278327599.9526708,3.846153846153846,9.712965626469241
3,2.137428708860609,278327599.9526708,3.846153846153846,9.712965626469241
4,0.5685718314583226,278327599.9526708,3.846153846153846,9.712965626469241
5,0.1773219406014417,278327599.9526708,3.846153846153846,9.712965626469241
6,0.0626601979457001,278327599.9526708,3.846153846153846,9.712965626469241
7,0.024488286659843504,278327599.9526708,3.846153846153846,9.712965626469241
8,0.010397673999142551,278327599.9526708,3.846153846153846,9.712965626469241
9,0.004732396056583814,278327599.9526708,3.846153846153846,9.712965626469241
10,0.00228489077920388,278327599.9526708,3.846153846153846,9.712965626469241
11,0.001160673812141332,278327599.9526708,3.846153846153846,9.712965626469241
12,0.0006162217028750515,278327599.9526708,3.846153846153846,9.712965626469241
13,0.0003400920870829655,278327599.9526708,3.846153846153846,9.712965626469241
14,0.00019424340317551465,278327599.9526708,3.846153846153846,9.712965626469241
15,0.00011438306036307384,278327599.9526708,3.846153846153846,9.712965626469241
16,6.922619435001464e-05,278327599.9526708,3.846153846153846,9.712965626469241
17,4.294401767724919e-05,278327599.9526708,3.846153846153846,9.712965626469241
18,2.724288253222675e-05,278327599.9526708,3.846153846153846,9.712965626469241
19,1.763808253906892e-05,278327599.9526708,3.846153846153846,9.712965626469241
20,1.163427352932063e-05,278327599.9526708,3.846153846153846,9.712965626469241
21,7.806420049622158e-06,278327599.9526708,3.846153846153846,9.712965626469241
22,5.321121841107615e-06,278327599.9526708,3.846153846153846,9.712965626469241
23,3.6802201535570924e-06,278327599.9526708,3.846153846153846,9.712965626469241
24,2.5798910845062626e-06,278327599.9526708,3.846153846153846,9.712965626469241
25,1.8313550085798555e-06,278327599.9526708,3.846153846153846,9.712965626469241
