# Sterling PMF: p(k) = A*(k+alpha)^(-gamma)
# Node type: b
# A: 1610.741926, alpha: 6.756757, gamma: 4.061312
# Generated: 2026-04-09T16:40:05.011889
k,pmf,A,alpha,gamma
0,0.68738445421102,1610.7419262782507,6.756756756756756,4.061312247137842
1,0.3924252845616218,1610.7419262782507,6.756756756756756,4.061312247137842
2,0.23981460804830385,1610.7419262782507,6.756756756756756,4.061312247137842
3,0.15457793805019399,1610.7419262782507,6.756756756756756,4.061312247137842
4,0.10400300060081855,1610.7419262782507,6.756756756756756,4.061312247137842
5,0.0724859938527856,1610.7419262782507,6.756756756756756,4.061312247137842
6,0.05203187112555389,1610.7419262782507,6.756756756756756,4.061312247137842
7,0.038296294315997015,1610.7419262782507,6.756756756756756,4.061312247137842
8,0.028799757339210526,1610.7419262782507,6.756756756756756,4.061312247137842
9,0.022066794882190904,1610.7419262782507,6.756756756756756,4.061312247137842
10,0.017187323990121565,1610.7419262782507,6.756756756756756,4.061312247137842
11,0.013582198979076242,1610.7419262782507,6.756756756756756,4.061312247137842
12,0.010872635160897629,1610.7419262782507,6.756756756756756,4.061312247137842
13,0.008804812525056408,1610.7419262782507,6.756756756756756,4.061312247137842
14,0.007204933401091391,1610.7419262782507,6.756756756756756,4.061312247137842
15,0.005951664400836214,1610.7419262782507,6.756756756756756,4.061312247137842
16,0.004958804734516564,1610.7419262782507,6.756756756756756,4.061312247137842
17,0.0041641345834298555,1610.7419262782507,6.756756756756756,4.061312247137842
18,0.003522090160885293,1610.7419262782507,6.756756756756756,4.061312247137842
19,0.002998861083520696,1610.7419262782507,6.756756756756756,4.061312247137842
20,0.002569052191875296,1610.7419262782507,6.756756756756756,4.061312247137842
21,0.00221337451632253,1610.7419262782507,6.756756756756756,4.061312247137842
22,0.0019170247771911077,1610.7419262782507,6.756756756756756,4.061312247137842
23,0.0016685327651615725,1610.7419262782507,6.756756756756756,4.061312247137842
24,0.0014589312712036514,1610.7419262782507,6.756756756756756,4.061312247137842
25,0.0012811513668288704,1610.7419262782507,6.756756756756756,4.061312247137842
