# Linear-scale discrete degree distribution
# Node type: a, n=49929
# N: 500004, m: 3
# h: 0.8, f_a: 0.1
# Theories: Diamond, Sterling
# Generated: 2026-04-09T16:40:02.928995
k,empirical_pmf,Diamond_pmf,Sterling_pmf
0,0.6931843217368664,0.6937560905812021,578.3789958407141
1,0.19651905706102665,0.19678952320385087,61.27973214057957
2,0.06651445051973803,0.0655034328518565,9.90768051562855
3,0.025376033968234894,0.024612134804734016,2.137428708860609
4,0.010494902761921929,0.01017556891440165,0.5685718314583226
5,0.003605119269362495,0.004546872597969138,0.1773219406014417
6,0.0020028440385347194,0.002167254463759931,0.0626601979457001
7,0.0008612229365699293,0.0010910062134347244,0.024488286659843504
8,0.000520739450019027,0.0005755704301334561,0.010397673999142551
9,0.0003605119269362495,0.0003162604054083054,0.004732396056583814
10,0.0002803981653948607,0.0001800925709113985,0.00228489077920388
11,6.008532115604158e-05,0.00010584391518903213,0.001160673812141332
12,6.008532115604158e-05,6.398336269047817e-05,0.0006162217028750515
13,0.00010014220192673597,3.966843262631078e-05,0.0003400920870829655
14,2.0028440385347193e-05,2.5161245256924207e-05,0.00019424340317551465
15,,1.6293388990963265e-05,0.00011438306036307384
16,2.0028440385347193e-05,1.0752002206975598e-05,6.922619435001464e-05
17,,7.218952856544169e-06,4.294401767724919e-05
18,,4.924467865982484e-06,2.724288253222675e-05
19,,3.4088619837450798e-06,1.763808253906892e-05
20,,2.3919376992498124e-06,1.163427352932063e-05
21,,1.6996427577087258e-06,7.806420049622158e-06
22,,1.2219520082097576e-06,5.321121841107615e-06
23,,8.881760871812668e-07,3.6802201535570924e-06
24,,6.522069519972656e-07,2.5798910845062626e-06
25,2.0028440385347193e-05,4.835431548943778e-07,1.8313550085798555e-06
