# Network nodes data
# Layout: spring
# N: 500004, m: 3
# h: 0.8, f_a: 0.1
# Generated: 2026-04-09T16:39:47.109221
node_id,node_type,in_degree,out_degree
0,Type b,459,3
1,Type b,329,3
2,Type b,362,3
3,Type b,446,3
4,Type b,478,3
5,Type b,478,3
6,Type b,262,3
7,Type b,219,3
8,Type a,25,3
9,Type b,155,3
10,Type b,162,3
11,Type b,140,3
12,Type b,74,3
13,Type b,384,3
14,Type b,259,3
15,Type b,173,3
16,Type b,336,3
17,Type b,90,3
18,Type b,271,3
19,Type b,48,3
20,Type b,201,3
21,Type a,16,3
22,Type b,111,3
23,Type b,174,3
24,Type b,162,3
25,Type b,117,3
26,Type b,195,3
27,Type b,203,3
28,Type b,120,3
29,Type b,168,3
30,Type b,189,3
31,Type b,225,3
32,Type b,188,3
33,Type b,44,3
34,Type b,69,3
35,Type b,78,3
36,Type b,84,3
37,Type b,167,3
38,Type b,237,3
39,Type b,143,3
40,Type b,95,3
41,Type b,167,3
42,Type b,265,3
43,Type b,116,3
44,Type b,55,3
45,Type b,106,3
46,Type b,123,3
47,Type b,183,3
48,Type b,98,3
49,Type b,66,3
50,Type b,102,3
51,Type b,204,3
52,Type b,167,3
53,Type a,8,3
54,Type b,97,3
55,Type a,13,3
56,Type b,59,3
57,Type b,133,3
58,Type b,159,3
59,Type a,4,3
60,Type b,118,3
61,Type b,137,3
62,Type a,10,3
63,Type b,115,3
64,Type b,230,3
65,Type a,1,3
66,Type a,10,3
67,Type b,100,3
68,Type b,162,3
69,Type b,227,3
70,Type b,89,3
71,Type b,82,3
72,Type b,53,3
73,Type b,105,3
74,Type b,58,3
75,Type a,7,3
76,Type b,130,3
77,Type b,124,3
78,Type b,102,3
79,Type a,5,3
80,Type b,78,3
81,Type a,8,3
82,Type b,54,3
83,Type b,116,3
84,Type b,155,3
85,Type b,83,3
86,Type b,114,3
87,Type b,75,3
88,Type b,98,3
89,Type b,95,3
90,Type b,61,3
91,Type b,126,3
92,Type b,151,3
93,Type b,102,3
94,Type b,61,3
95,Type a,7,3
96,Type b,121,3
97,Type b,119,3
98,Type b,103,3
99,Type b,52,3
100,Type b,174,3
101,Type b,86,3
102,Type b,105,3
103,Type b,82,3
104,Type b,44,3
105,Type b,83,3
