# Raw node-level degree data
# Node type: a, n=49,929
# N: 500,004, m: 3
# h: 0.8, f_a: 0.1
# Generated: 2026-04-09T16:39:59.947907
node_id,in_degree
8,25
21,16
53,8
55,13
59,4
62,10
65,1
66,10
75,7
79,5
81,8
95,7
120,1
125,9
127,10
151,2
158,5
167,8
203,6
206,5
207,0
215,4
219,2
220,8
227,8
234,3
237,1
244,7
248,4
269,1
278,4
286,4
298,1
310,1
324,3
375,4
390,11
424,8
432,10
434,7
439,2
461,1
467,9
477,5
483,8
487,12
493,7
496,2
518,1
526,2
527,8
548,2
566,4
571,2
591,2
593,9
595,5
609,4
617,6
620,3
623,10
664,2
669,2
674,4
679,1
693,2
701,5
724,2
730,5
735,2
738,5
739,5
752,3
753,4
768,6
774,1
775,6
776,3
799,6
802,1
804,3
808,4
828,2
838,3
843,3
866,4
881,8
892,1
903,1
912,6
922,4
937,0
938,6
945,10
974,0
977,1
988,13
1003,1
1008,0
1011,9
1016,1
1031,6
1051,6
1059,2
1062,14
1118,2
1122,1
1128,6
1135,5
1147,5
1156,4
1157,4
1162,4
1163,1
1164,13
1179,5
1220,6
1232,7
1234,3
1239,1
1248,0
1249,3
1253,1
1265,1
1289,8
1291,6
1326,4
1329,0
1344,6
1348,5
1356,6
1361,8
1373,3
1383,1
1401,5
1404,5
1420,6
1440,4
1444,3
1450,1
1467,9
1487,6
1496,3
1501,4
1511,1
1538,2
1544,2
1588,2
1592,5
1608,3
1611,0
1615,2
1616,1
1618,8
1622,0
1626,2
1629,6
1644,7
1647,4
1658,3
1676,9
1681,2
1683,4
1687,1
1705,3
1715,13
1718,3
1729,1
1730,4
1736,1
1741,2
1748,7
1757,7
1772,5
1780,3
1782,4
1785,2
1806,5
1815,4
1847,3
1848,1
1858,1
1861,3
1868,3
1880,6
1889,2
1916,4
1922,6
1923,4
1925,3
1932,3
1943,10
1977,3
1983,2
1985,1
1986,1
1987,2
1995,5
2019,7
2021,2
2035,0
2036,2
2051,4
2055,2
2058,9
2066,3
2100,4
2101,1
2106,4
2107,6
2149,0
2174,0
2175,2
2187,1
2193,2
2194,4
2211,2
2216,4
2225,1
2230,0
2231,8
2233,8
2252,4
2263,4
2265,4
2296,1
2316,2
2321,4
2332,5
2348,1
2361,5
2376,2
2392,1
2394,6
2396,2
2398,3
2420,4
2426,1
2442,10
2443,1
2445,3
2452,2
2457,2
2461,1
2472,2
2473,3
2488,2
2500,2
2513,1
2517,0
2542,6
2554,0
2562,8
2565,5
2596,2
2604,0
2639,4
2651,1
2669,4
2677,1
2691,2
2692,3
2694,1
2700,4
2705,3
2706,3
2708,2
2713,2
2719,3
2747,4
2754,3
2762,4
2777,3
2778,1
2793,3
2799,7
2807,4
2809,4
2811,3
2812,1
2826,1
2846,3
2851,3
2855,10
2861,9
2865,5
2866,0
2876,3
2888,1
2896,2
2929,3
2930,3
2934,4
2940,2
2976,4
2982,3
2986,6
2994,2
3009,5
3024,4
3025,6
3026,4
3039,4
3054,3
3119,11
3145,5
3154,6
3159,5
3197,9
3202,4
3241,3
3247,4
3250,4
3251,3
3258,3
3261,2
3272,5
3274,4
3275,2
3283,3
3292,2
3293,3
3302,4
3316,2
3321,3
3341,4
3366,6
3367,5
3379,1
3395,2
3417,10
3419,2
3423,3
3430,4
3435,4
3442,0
3443,4
3446,1
3451,1
3472,4
3476,0
3481,2
3486,1
3497,2
3500,5
3503,4
3505,0
3511,5
3521,7
3530,6
3536,0
3549,2
3563,6
3593,1
3598,8
3599,5
3604,2
3617,0
3619,0
3621,0
3639,10
3652,3
3656,3
3660,3
3667,1
3677,7
3681,2
3696,1
3699,0
3701,7
3706,3
3714,0
3719,7
3732,3
3733,4
3736,0
3738,1
3739,4
3740,2
3747,2
3774,0
3782,0
3789,6
3837,3
3846,2
3854,0
3856,2
3858,6
3864,3
3873,0
3875,7
3879,2
3919,1
3929,0
3931,1
3953,1
3954,4
3965,1
3970,2
3973,2
3974,1
3981,5
3990,3
4031,2
4035,5
4041,5
4069,3
4077,1
4081,3
4121,6
4127,0
4128,2
4145,6
4152,3
4158,6
4162,9
4215,0
4217,0
4233,2
4236,1
4241,6
4244,2
4256,0
4263,4
4274,4
4277,1
4279,8
4283,3
4284,1
4287,2
4305,2
4321,5
4327,6
4382,2
4385,2
4389,2
4403,4
4417,2
4425,0
4433,3
4439,4
4458,0
4500,6
4515,3
4518,2
4537,4
4564,2
4569,1
4584,2
4588,4
4602,5
4618,1
4631,5
4633,1
4636,1
4661,0
4667,2
4670,4
4671,5
4684,3
4687,3
4706,1
4709,0
4723,1
4740,5
4744,1
4760,5
4763,4
