# Raw node-level degree data
# Node type: b, n=450,075
# N: 500,004, m: 3
# h: 0.8, f_a: 0.1
# Generated: 2026-04-09T16:40:00.053516
node_id,in_degree
0,459
1,329
2,362
3,446
4,478
5,478
6,262
7,219
9,155
10,162
11,140
12,74
13,384
14,259
15,173
16,336
17,90
18,271
19,48
20,201
22,111
23,174
24,162
25,117
26,195
27,203
28,120
29,168
30,189
31,225
32,188
33,44
34,69
35,78
36,84
37,167
38,237
39,143
40,95
41,167
42,265
43,116
44,55
45,106
46,123
47,183
48,98
49,66
50,102
51,204
52,167
54,97
56,59
57,133
58,159
60,118
61,137
63,115
64,230
67,100
68,162
69,227
70,89
71,82
72,53
73,105
74,58
76,130
77,124
78,102
80,78
82,54
83,116
84,155
85,83
86,114
87,75
88,98
89,95
90,61
91,126
92,151
93,102
94,61
96,121
97,119
98,103
99,52
100,174
101,86
102,105
103,82
104,44
105,83
106,98
107,119
108,80
109,56
110,120
111,81
112,85
113,134
114,108
115,81
116,194
117,89
118,104
119,148
121,145
122,95
123,54
124,116
126,93
128,102
129,71
130,47
131,256
132,131
133,149
134,18
135,124
136,91
137,129
138,78
139,110
140,50
141,69
142,60
143,35
144,56
145,49
146,188
147,72
148,154
149,65
150,72
152,98
153,99
154,59
155,90
156,242
157,81
159,92
160,34
161,91
162,76
163,93
164,105
165,44
166,52
168,82
169,47
170,69
171,56
172,53
173,94
174,37
175,47
176,100
177,77
178,110
179,94
180,102
181,103
182,69
183,119
184,25
185,87
186,49
187,100
188,95
189,64
190,115
191,65
192,84
193,151
194,36
195,87
196,50
197,58
198,86
199,66
200,97
201,88
202,51
204,101
205,51
208,76
209,47
210,145
211,117
212,36
213,98
214,69
216,141
217,105
218,56
221,62
222,70
223,130
224,69
225,53
226,27
228,51
229,160
230,50
231,69
232,73
233,65
235,67
236,55
238,68
239,53
240,70
241,53
242,95
243,60
245,49
246,63
247,65
249,58
250,55
251,66
252,41
253,92
254,99
255,49
256,103
257,130
258,74
259,38
260,98
261,83
262,35
263,101
264,48
265,50
266,33
267,100
268,88
270,101
271,83
272,61
273,105
274,45
275,68
276,14
277,47
279,79
280,114
281,133
282,49
283,23
284,79
285,91
287,144
288,85
289,50
290,83
291,93
292,163
293,92
294,41
295,57
296,35
297,71
299,94
300,71
301,34
302,44
303,63
304,56
305,78
306,53
307,64
308,124
309,62
311,62
312,92
313,49
314,102
315,61
316,92
317,53
318,77
319,48
320,82
321,55
322,65
323,36
325,199
326,84
327,53
328,90
329,51
330,110
331,56
332,51
333,25
334,38
335,73
336,48
337,45
338,77
339,82
340,75
341,86
342,95
343,129
344,54
345,59
346,79
347,60
348,96
349,97
350,62
351,62
352,34
353,53
354,69
355,55
356,37
357,42
358,19
359,63
360,78
361,95
362,108
363,109
364,62
365,36
366,45
367,47
368,77
369,72
370,82
371,56
372,60
373,48
374,52
376,86
377,90
378,65
379,71
380,63
381,64
382,38
383,125
384,33
385,36
386,16
387,34
388,70
389,39
391,42
392,51
393,68
394,92
395,59
396,66
397,78
398,83
399,51
400,53
401,36
402,48
403,65
404,66
405,84
406,51
407,87
408,57
409,66
410,82
411,66
412,76
413,48
414,53
415,82
416,64
417,98
418,75
419,21
420,49
421,56
422,37
423,46
425,21
426,40
427,110
428,30
429,71
430,51
431,80
433,67
435,37
436,84
437,80
438,49
440,53
441,129
442,36
443,52
444,65
445,66
446,69
447,67
448,24
449,41
450,69
451,55
452,57
453,73
454,74
455,63
456,36
457,58
458,96
459,36
460,84
462,38
463,40
464,59
465,89
466,45
468,70
469,42
470,48
471,57
472,71
473,80
474,73
475,46
476,50
478,55
479,86
480,76
481,48
482,62
484,51
485,95
486,74
488,39
489,37
490,75
491,49
492,39
494,36
495,46
497,57
498,40
499,68
500,47
501,72
502,70
503,27
504,66
505,113
506,102
507,52
508,28
509,31
510,87
511,41
512,34
513,58
514,29
515,25
516,58
517,83
519,49
520,40
521,33
522,81
523,62
524,37
525,39
528,72
529,69
530,45
531,34
532,45
533,50
534,76
535,36
536,72
537,60
538,32
539,79
540,40
541,72
542,77
543,78
544,58
545,48
546,53
547,47
549,80
550,100
551,80
552,77
553,60
554,28
555,93
556,73
557,60
558,55
559,42
560,62
561,38
562,60
563,57
564,39
565,55
567,27
568,63
569,84
570,52
572,33
573,38
574,38
575,42
576,29
577,77
578,50
579,27
580,86
581,36
582,52
583,48
584,50
585,51
586,71
587,124
588,122
589,45
590,82
592,30
594,69
596,72
597,50
598,39
599,32
600,26
601,77
602,56
603,69
604,82
605,61
606,74
607,90
608,78
610,46
611,54
612,33
613,80
614,24
615,42
616,59
618,39
619,105
621,69
622,31
624,36
625,41
626,39
627,52
628,37
629,64
630,49
631,43
632,51
633,73
634,38
635,21
636,79
637,12
638,49
639,74
640,31
641,48
642,23
643,48
644,58
645,63
646,67
647,60
648,54
649,97
650,68
651,57
652,25
653,14
654,40
655,27
656,92
657,64
658,85
659,61
660,45
661,27
662,40
663,72
665,51
666,22
667,33
668,88
670,81
671,40
672,76
673,39
675,59
676,108
677,48
678,20
680,33
681,52
682,90
683,31
684,25
685,40
686,47
687,54
688,52
689,69
690,32
691,60
692,20
694,52
695,67
696,83
697,70
698,61
699,84
700,16
702,41
703,18
704,29
705,26
706,47
707,42
708,44
709,39
710,33
711,30
712,71
713,71
714,48
715,40
716,47
717,45
718,36
719,45
720,44
721,39
722,42
723,53
725,72
726,34
727,62
728,30
729,83
731,36
732,43
733,41
734,30
736,23
737,57
740,52
741,44
742,43
743,68
744,62
745,20
746,20
747,75
748,45
749,21
750,58
751,31
754,34
755,79
756,44
757,28
758,67
759,48
760,51
761,68
762,25
763,89
764,52
765,14
766,33
767,22
769,20
770,36
771,69
772,54
773,59
777,22
778,53
779,52
780,52
781,98
782,37
783,67
784,36
785,92
786,92
787,36
788,27
789,90
790,55
791,40
792,82
793,55
794,28
795,43
796,13
797,49
798,49
800,40
801,66
803,32
805,26
806,34
807,97
809,37
810,59
811,40
812,54
813,45
814,41
815,93
816,55
817,63
818,25
819,42
820,7
821,18
822,25
823,75
824,48
825,83
826,37
827,35
829,48
830,38
831,55
832,65
833,53
834,35
835,67
836,63
837,89
839,55
840,53
841,50
842,38
844,53
845,62
846,49
847,52
848,67
849,28
850,43
851,47
852,42
853,31
854,30
855,58
856,74
857,115
858,43
859,22
860,41
861,68
862,54
863,29
864,18
865,62
867,92
868,35
869,45
870,94
871,48
872,46
873,22
874,23
875,45
876,25
877,75
878,38
879,23
880,58
882,72
883,26
884,47
885,27
886,28
887,28
888,52
889,55
890,36
891,71
893,53
894,42
895,53
896,21
897,41
898,60
899,33
900,23
901,45
902,83
904,35
905,86
906,65
907,35
908,38
909,37
910,61
911,45
913,59
914,56
915,34
916,68
917,30
918,22
919,47
920,50
921,55
923,35
924,15
925,40
926,28
927,30
928,16
929,40
930,68
931,44
932,45
933,53
934,41
935,26
936,31
939,48
940,32
941,71
942,42
943,20
944,61
946,47
947,43
948,34
949,27
950,30
951,33
952,42
953,32
954,40
955,51
956,66
957,29
958,29
959,40
960,63
961,15
962,28
963,33
964,33
965,37
966,38
967,77
968,31
969,46
970,33
971,36
972,20
973,31
975,44
976,70
978,72
979,53
980,45
981,53
982,24
983,26
984,51
985,3
986,78
987,47
989,68
990,45
991,62
992,48
993,52
994,50
995,51
996,44
997,29
998,76
999,42
1000,70
1001,37
1002,82
1004,29
1005,36
1006,30
1007,65
1009,37
1010,50
1012,45
1013,46
1014,22
1015,37
1017,32
1018,24
1019,36
1020,57
1021,39
1022,41
1023,62
1024,38
1025,33
1026,19
1027,47
1028,49
1029,34
1030,51
1032,92
1033,32
1034,49
1035,53
1036,35
1037,33
1038,35
1039,31
1040,20
1041,49
1042,61
1043,63
1044,59
1045,8
1046,24
1047,85
1048,38
1049,25
1050,59
1052,60
1053,18
1054,60
1055,55
1056,35
1057,36
1058,28
1060,30
1061,54
1063,34
1064,23
1065,44
1066,48
1067,42
1068,31
1069,45
1070,35
1071,15
1072,37
1073,23
1074,45
1075,52
1076,58
1077,46
1078,42
1079,69
1080,31
1081,41
1082,50
1083,52
1084,38
1085,38
1086,55
1087,22
1088,40
1089,37
1090,43
1091,14
1092,64
1093,38
1094,43
1095,79
1096,7
1097,47
1098,26
1099,34
1100,59
1101,49
1102,60
1103,45
1104,56
1105,34
1106,40
1107,29
1108,32
1109,51
1110,64
1111,52
1112,43
1113,22
1114,36
1115,28
1116,41
1117,40
1119,27
1120,51
1121,80
1123,67
1124,23
1125,45
1126,33
1127,62
1129,22
1130,104
1131,17
1132,26
1133,25
1134,50
1136,41
1137,32
1138,33
1139,31
1140,34
1141,68
1142,31
1143,52
1144,45
1145,20
1146,17
1148,39
1149,17
1150,103
1151,51
1152,48
1153,34
1154,50
1155,40
1158,76
1159,33
1160,36
1161,38
1165,29
1166,23
1167,90
1168,54
1169,34
1170,22
1171,28
1172,27
1173,32
1174,37
1175,46
1176,34
1177,23
1178,30
1180,65
1181,52
1182,18
1183,40
1184,33
1185,46
1186,83
1187,26
1188,36
1189,83
1190,45
1191,18
1192,47
1193,25
1194,50
1195,21
1196,26
1197,56
1198,37
1199,35
1200,28
1201,52
1202,20
1203,20
1204,21
1205,38
1206,29
1207,48
1208,67
1209,25
1210,10
1211,59
1212,61
1213,39
1214,63
1215,51
1216,36
1217,47
1218,44
1219,37
1221,99
1222,34
1223,63
1224,60
1225,43
1226,43
1227,75
1228,61
1229,11
1230,36
1231,61
1233,59
1235,48
1236,28
1237,34
1238,75
1240,36
1241,45
1242,47
1243,55
1244,21
1245,24
1246,23
1247,34
1250,69
1251,43
1252,32
1254,41
1255,24
1256,23
1257,37
1258,30
1259,60
1260,22
1261,16
1262,48
1263,18
1264,23
1266,69
1267,33
1268,47
1269,46
1270,17
1271,40
1272,25
1273,35
1274,37
1275,49
1276,21
1277,35
1278,43
1279,27
1280,33
1281,33
1282,27
1283,79
1284,28
1285,23
1286,79
1287,69
1288,49
1290,29
1292,34
1293,39
1294,23
1295,32
1296,34
1297,38
1298,45
1299,54
1300,41
1301,63
1302,44
1303,46
1304,36
1305,32
1306,33
1307,41
1308,21
1309,36
1310,39
1311,59
1312,11
1313,34
1314,42
1315,18
1316,60
1317,60
1318,29
1319,44
1320,57
1321,72
1322,32
1323,23
1324,49
1325,19
1327,19
1328,27
1330,34
1331,27
1332,24
1333,21
1334,40
1335,56
1336,55
1337,63
1338,25
1339,72
1340,40
1341,33
1342,31
1343,46
1345,15
1346,23
1347,17
1349,51
1350,38
1351,24
1352,24
1353,33
1354,27
1355,34
1357,52
1358,13
1359,33
1360,43
1362,55
1363,60
1364,35
1365,36
1366,23
1367,31
1368,50
1369,48
1370,15
1371,16
1372,27
1374,46
1375,60
1376,40
1377,46
1378,55
1379,26
1380,37
1381,63
1382,51
1384,34
1385,66
1386,52
1387,64
1388,64
1389,24
1390,41
1391,27
1392,23
1393,60
1394,22
1395,40
1396,63
1397,16
1398,28
1399,57
1400,40
1402,46
1403,27
1405,37
1406,34
1407,25
1408,18
1409,25
1410,43
1411,51
1412,28
1413,24
1414,48
1415,14
1416,40
1417,24
1418,32
1419,39
1421,17
1422,54
1423,28
1424,43
1425,44
1426,18
1427,24
1428,56
1429,38
1430,25
1431,31
1432,9
1433,51
1434,27
1435,40
1436,34
1437,16
1438,24
1439,44
1441,41
1442,48
1443,48
1445,30
1446,25
1447,49
1448,27
1449,38
1451,28
1452,22
1453,51
1454,36
1455,32
1456,20
1457,25
1458,62
1459,40
1460,24
1461,35
1462,72
1463,20
1464,30
1465,20
1466,30
1468,52
1469,55
1470,26
1471,46
1472,23
1473,15
1474,64
1475,48
1476,20
1477,25
1478,33
1479,37
1480,49
1481,59
1482,25
1483,52
1484,53
1485,37
1486,48
1488,98
1489,65
1490,26
1491,53
1492,10
1493,12
1494,48
1495,25
1497,74
1498,47
1499,43
1500,35
1502,29
1503,31
1504,25
1505,56
1506,72
1507,23
1508,48
1509,40
1510,22
1512,33
1513,46
1514,61
1515,41
1516,41
1517,75
1518,22
1519,59
1520,41
1521,27
1522,30
1523,44
1524,27
1525,25
1526,47
1527,47
1528,66
1529,22
1530,70
1531,38
1532,51
1533,82
1534,19
1535,30
1536,18
1537,80
1539,41
1540,42
1541,26
1542,59
1543,42
1545,33
1546,36
1547,24
1548,34
1549,13
1550,31
1551,65
1552,34
1553,32
1554,23
1555,29
1556,16
1557,19
1558,22
1559,53
1560,52
1561,46
1562,41
1563,41
1564,10
1565,35
1566,35
1567,67
1568,26
1569,23
1570,32
1571,59
1572,32
1573,40
1574,54
1575,59
1576,31
1577,31
1578,14
1579,58
1580,41
1581,56
1582,32
1583,22
1584,23
1585,30
1586,27
1587,26
1589,71
1590,39
1591,25
1593,45
1594,39
1595,42
1596,26
1597,21
1598,42
1599,24
1600,23
1601,36
1602,13
1603,28
1604,60
1605,26
1606,15
1607,28
1609,44
1610,17
1612,36
1613,20
1614,46
1617,34
1619,46
1620,19
1621,35
1623,28
1624,32
