# Normalization constant A(k)
# Node type: a
# p0: 0.502370, alpha: 1.851852, gamma: 2.869489
# A_asymptotic: 8.448956
# Generated: 2026-03-12T19:31:57.817136
k,A_k,A_asymptotic
0,8.448956489775695,8.448956489775695
1,8.448956489775693,8.448956489775695
2,8.448956489775691,8.448956489775695
3,8.448956489775698,8.448956489775695
4,8.448956489775698,8.448956489775695
5,8.4489564897757,8.448956489775695
6,8.448956489775696,8.448956489775695
7,8.448956489775702,8.448956489775695
8,8.448956489775698,8.448956489775695
9,8.448956489775702,8.448956489775695
10,8.448956489775698,8.448956489775695
11,8.448956489775698,8.448956489775695
12,8.4489564897757,8.448956489775695
13,8.4489564897757,8.448956489775695
14,8.448956489775696,8.448956489775695
15,8.448956489775696,8.448956489775695
16,8.448956489775696,8.448956489775695
17,8.448956489775702,8.448956489775695
18,8.4489564897757,8.448956489775695
19,8.448956489775696,8.448956489775695
20,8.448956489775702,8.448956489775695
21,8.4489564897757,8.448956489775695
22,8.448956489775703,8.448956489775695
23,8.448956489775702,8.448956489775695
24,8.448956489775698,8.448956489775695
25,8.44895648977569,8.448956489775695
