# Normalization constant A(k)
# Node type: b
# p0: 0.502370, alpha: 2.173913, gamma: 3.194617
# A_asymptotic: 19.616638
# Generated: 2026-03-12T19:31:57.819116
k,A_k,A_asymptotic
0,19.6166380316778,19.6166380316778
1,19.616638031677805,19.6166380316778
2,19.61663803167779,19.6166380316778
3,19.616638031677795,19.6166380316778
4,19.616638031677798,19.6166380316778
5,19.616638031677788,19.6166380316778
6,19.616638031677795,19.6166380316778
7,19.6166380316778,19.6166380316778
8,19.6166380316778,19.6166380316778
9,19.61663803167779,19.6166380316778
10,19.6166380316778,19.6166380316778
11,19.616638031677887,19.6166380316778
12,19.616638031677887,19.6166380316778
13,19.616638031677883,19.6166380316778
14,19.616638031677887,19.6166380316778
15,19.616638031677887,19.6166380316778
16,19.616638031677876,19.6166380316778
17,19.616638031677898,19.6166380316778
18,19.616638031677894,19.6166380316778
19,19.61663803167788,19.6166380316778
20,19.616638031677894,19.6166380316778
21,19.616638031677887,19.6166380316778
22,19.61663803167788,19.6166380316778
23,19.616638031677887,19.6166380316778
24,19.616638031677887,19.6166380316778
25,19.616638031677883,19.6166380316778
