# Sterling PMF: p(k) = A*(k+alpha)^(-gamma)
# Node type: b
# A: 19.616638, alpha: 2.173913, gamma: 3.194617
# Generated: 2026-03-12T19:31:57.963669
k,pmf,A,alpha,gamma
0,1.641591225798258,19.6166380316778,2.173913043478261,3.194616977225673
1,0.4900276645131304,19.6166380316778,2.173913043478261,3.194616977225673
2,0.2042801213995472,19.6166380316778,2.173913043478261,3.194616977225673
3,0.10285984887747184,19.6166380316778,2.173913043478261,3.194616977225673
4,0.05849066472096121,19.6166380316778,2.173913043478261,3.194616977225673
5,0.03620858780143467,19.6166380316778,2.173913043478261,3.194616977225673
6,0.023864930154896227,19.6166380316778,2.173913043478261,3.194616977225673
7,0.016505597496448546,19.6166380316778,2.173913043478261,3.194616977225673
8,0.01186004238276854,19.6166380316778,2.173913043478261,3.194616977225673
9,0.008790431055217715,19.6166380316778,2.173913043478261,3.194616977225673
10,0.006684837413142425,19.6166380316778,2.173913043478261,3.194616977225673
11,0.0051947504908129724,19.6166380316778,2.173913043478261,3.194616977225673
12,0.004112025783809857,19.6166380316778,2.173913043478261,3.194616977225673
13,0.003307273893599262,19.6166380316778,2.173913043478261,3.194616977225673
14,0.0026972631890044303,19.6166380316778,2.173913043478261,3.194616977225673
15,0.0022268464776280346,19.6166380316778,2.173913043478261,3.194616977225673
16,0.0018585283565825902,19.6166380316778,2.173913043478261,3.194616977225673
17,0.0015662281620416317,19.6166380316778,2.173913043478261,3.194616977225673
18,0.0013314345763208067,19.6166380316778,2.173913043478261,3.194616977225673
19,0.0011407692223815735,19.6166380316778,2.173913043478261,3.194616977225673
20,0.0009844049530991752,19.6166380316778,2.173913043478261,3.194616977225673
21,0.0008550163263996118,19.6166380316778,2.173913043478261,3.194616977225673
22,0.0007470693325999675,19.6166380316778,2.173913043478261,3.194616977225673
23,0.0006563320307627262,19.6166380316778,2.173913043478261,3.194616977225673
24,0.0005795318393554462,19.6166380316778,2.173913043478261,3.194616977225673
25,0.0005141119185195016,19.6166380316778,2.173913043478261,3.194616977225673
