# Linear-scale discrete degree distribution
# Node type: a, n=298
# N: 505, m: 2
# h: 0.7, f_a: 0.6
# Theories: Diamond, Sterling
# Generated: 2026-03-12T19:31:55.997175
k,empirical_pmf,Diamond_pmf,Sterling_pmf
0,0.4395973154362416,0.5023696682464456,1.4418166459745685
1,0.2684563758389262,0.19704450939812024,0.41765864624989896
2,0.07718120805369127,0.09821854861182511,0.17629132493378988
3,0.06375838926174497,0.05628688275209286,0.09090740799960344
4,0.016778523489932886,0.035368938887850025,0.0530962292752626
5,0.02348993288590604,0.023731878509582673,0.03376460720351174
6,0.013422818791946308,0.016726841075785336,0.022839726642074235
7,0.016778523489932886,0.012250024094324114,0.016191961955061816
8,0.013422818791946308,0.009251109077552321,0.011910086840260622
9,0.016778523489932886,0.007164383100957611,0.009024780110828825
10,0.006711409395973154,0.005666124578430877,0.0070078668527731236
11,0.006711409395973154,0.0045616817020552826,0.005554419538554492
12,0.003355704697986577,0.0037290750014445638,0.004479808179777604
13,0.010067114093959731,0.0030891419746171926,0.0036676851825469406
14,0.006711409395973154,0.002588939546999544,0.0030421964639274755
15,,0.0021921232829422437,0.002552417738925673
16,,0.0018731656205073445,0.00216327767170924
17,0.003355704697986577,0.0016137698877160054,0.001850075018397711
18,,0.0014005834954365346,0.0015950632483273457
19,,0.0012237031611141535,0.0013852644156110354
20,,0.0010756760203607903,0.0012110355808628468
21,0.003355704697986577,0.0009508187124399073,0.0010651081188261277
22,,0.0008447447927237991,0.0009419312167029803
23,,0.000754031323133567,0.000837215228653755
24,,0.0006759801103368808,0.0007476088817051437
25,,0.0006084443633600244,0.0006704677094525491
26,0.003355704697986577,0.0005497012480510543,0.0006036856671581497
27,,0.0004983570876182473,0.0005455711533412967
28,,0.0004532760811935401,0.0004947546688859425
29,,0.0004135261655948853,0.00045011930144707354
30,,0.00037833751123176,0.00041074787066577644
31,,0.00034707042479025174,0.00037588236728451255
32,0.003355704697986577,0.0003191903230259716,0.0003448925561834646
33,0.003355704697986577,0.00029424806974499276,0.0003172514752378745
