# Linear-scale discrete degree distribution
# Node type: b, n=207
# N: 505, m: 2
# h: 0.7, f_a: 0.6
# Theories: Diamond, Sterling
# Generated: 2026-03-12T19:31:56.004176
k,empirical_pmf,Diamond_pmf,Sterling_pmf
0,0.5072463768115942,0.5023696682464456,1.641591225798258
1,0.2028985507246377,0.20342774842220127,0.4900276645131304
2,0.10628019323671498,0.10138320491912703,0.2042801213995472
3,0.03864734299516908,0.0574286431910537,0.10285984887747184
4,0.03864734299516908,0.03550573462009975,0.05849066472096121
5,0.028985507246376812,0.023398475278925406,0.03620858780143467
6,0.014492753623188406,0.01618924058336192,0.023864930154896227
7,,0.011639978478075548,0.016505597496448546
8,0.01932367149758454,0.008633536095807305,0.01186004238276854
9,0.004830917874396135,0.0065704191381132215,0.008790431055217715
10,0.004830917874396135,0.00510958963809756,0.006684837413142425
11,,0.004047472325476691,0.0051947504908129724
12,0.004830917874396135,0.003257534329244648,0.004112025783809857
13,,0.0026583716793430524,0.003307273893599262
14,0.004830917874396135,0.0021960331422345835,0.0026972631890044303
15,0.00966183574879227,0.0018338226517516396,0.0022268464776280346
16,,0.0015462044009229357,0.0018585283565825902
17,,0.001315045269964298,0.0015662281620416317
18,,0.001127233824985131,0.0013314345763208067
19,,0.000973134259825917,0.0011407692223815735
20,0.004830917874396135,0.0008455602442854416,0.0009844049530991752
21,,0.0007390802429035405,0.0008550163263996118
22,,0.0006495387216409653,0.0007470693325999675
23,,0.0005737207136606325,0.0006563320307627262
24,,0.0005091132796233858,0.0005795318393554462
25,0.004830917874396135,0.0004537335270355199,0.0005141119185195016
26,,0.00040600303670174483,0.0004580555982033448
27,,0.0003646550936200477,0.00040975823361472205
28,,0.00032866540387617454,0.0003679325743166168
29,,0.00029719982602788303,0.0003315381183670978
30,,0.0002695745650904658,0.00029972783614933235
31,,0.0002452255892703751,0.00027180761235162415
32,,0.00022368493777064725,0.0002472050964182334
33,,0.00020456222410340511,0.0002254455803401357
34,,0.00018753008986038933,0.00020613317283813104
35,,0.00017231268630243335,0.00018893599933127753
36,,0.00015867649413068755,0.00017357448642221725
37,,0.0001464229617527445,0.00015981202756663973
38,,0.00013538256740244867,0.0001474475000890565
39,,0.00012541000324042072,0.00013630923132195452
40,,0.00011638024892404451,0.00012625010629060293
41,,0.00010818535438245816,0.00011714358010986158
42,,0.00010073179116526958,0.00010888041153168995
43,,9.393826200018131e-05,0.00010136597448128659
44,0.004830917874396135,8.773388145629548e-05,9.451803526267024e-05
