# Raw node-level degree data
# Node type: a, n=298
# N: 505, m: 2
# h: 0.7, f_a: 0.6
# Generated: 2026-03-12T19:31:54.765485
node_id,in_degree
0,26
2,32
4,17
5,33
6,5
7,11
8,21
9,11
10,13
12,14
15,13
17,10
18,9
22,14
24,2
25,3
26,7
27,12
28,6
33,3
34,4
37,7
41,3
42,0
43,8
44,6
45,8
46,2
48,3
50,3
51,5
52,1
53,0
55,13
57,9
58,1
59,2
60,9
62,2
64,2
65,3
66,7
67,5
68,1
69,2
70,1
71,5
75,3
76,1
78,5
79,3
80,5
81,2
82,1
83,6
85,9
88,9
91,5
92,3
93,2
94,2
95,0
96,7
98,3
100,6
101,1
102,2
103,2
104,10
105,7
108,8
111,0
116,1
117,1
120,3
121,3
122,1
123,1
125,1
128,1
129,4
130,1
133,2
134,0
135,2
136,0
137,1
139,1
140,1
142,0
143,0
144,3
145,0
146,1
147,3
148,1
151,0
152,1
153,0
154,0
155,0
156,0
157,1
160,1
165,3
167,4
169,1
170,1
173,0
174,1
175,1
176,8
177,3
178,2
179,0
180,4
182,1
184,1
185,0
186,1
187,1
188,1
191,1
192,3
195,1
196,1
197,1
198,0
199,1
201,1
204,2
205,2
207,1
209,2
211,1
212,0
213,1
214,0
217,0
218,3
221,0
224,0
226,0
228,1
230,0
233,0
235,1
236,0
238,0
239,1
240,0
241,1
247,1
248,2
249,0
252,0
253,0
254,0
255,1
258,0
260,1
261,1
262,0
263,3
264,1
265,2
266,1
270,1
271,1
272,0
273,2
274,4
275,1
276,1
278,0
281,1
282,1
285,0
286,0
287,0
289,0
291,0
294,0
295,1
296,0
297,0
299,1
301,1
303,0
305,0
306,1
307,0
308,0
310,0
311,2
312,0
313,0
315,1
317,1
318,1
319,0
322,1
323,0
324,0
325,0
326,0
327,1
328,0
333,1
334,0
335,2
336,0
337,1
338,0
339,0
340,0
342,0
345,0
346,0
347,1
348,1
349,1
351,0
352,0
354,0
356,0
358,1
359,0
360,0
361,1
364,0
368,0
369,0
370,1
373,0
374,0
375,1
380,0
382,0
383,1
384,0
389,1
393,0
398,1
400,0
401,0
403,0
406,0
412,2
414,0
415,0
417,0
418,0
420,0
425,0
426,0
428,0
430,0
434,0
435,0
436,1
439,0
441,1
442,0
445,0
449,0
450,0
453,0
454,0
455,0
456,0
457,1
459,0
460,0
461,0
463,0
464,0
467,0
468,0
469,0
470,0
471,0
472,0
473,0
475,0
476,0
477,0
479,0
481,0
482,0
483,0
485,0
488,0
489,0
490,0
497,0
500,0
504,0
