# Raw node-level degree data
# Node type: b, n=207
# N: 505, m: 2
# h: 0.7, f_a: 0.6
# Generated: 2026-03-12T19:31:54.808484
node_id,in_degree
1,44
3,25
11,12
13,5
14,15
16,1
19,2
20,20
21,8
23,8
29,15
30,14
31,8
32,10
35,6
36,1
38,3
39,5
40,5
47,8
49,2
54,1
56,3
61,4
63,3
72,1
73,0
74,1
77,0
84,1
86,3
87,3
89,2
90,0
97,5
99,4
106,0
107,5
109,2
110,6
112,6
113,1
114,0
115,1
118,9
119,4
124,2
126,3
127,2
131,2
132,4
138,1
141,1
149,5
150,0
158,2
159,4
161,0
162,2
163,2
164,1
166,4
168,1
171,1
172,1
181,2
183,0
189,1
190,0
193,4
194,1
200,0
202,0
203,1
206,0
208,3
210,1
215,0
216,0
219,0
220,0
222,2
223,0
225,0
227,4
229,0
231,2
232,1
234,0
237,1
242,1
243,1
244,2
245,1
246,2
250,0
251,0
256,0
257,0
259,2
267,2
268,2
269,0
277,2
279,1
280,2
283,0
284,0
288,1
290,0
292,1
293,0
298,1
300,0
302,1
304,0
309,0
314,0
316,0
320,0
321,0
329,0
330,0
331,2
332,0
341,2
343,1
344,0
350,0
353,0
355,0
357,0
362,0
363,0
365,0
366,1
367,0
371,0
372,0
376,0
377,0
378,1
379,0
381,1
385,0
386,0
387,0
388,0
390,0
391,0
392,0
394,1
395,0
396,1
397,0
399,0
402,0
404,3
405,0
407,0
408,0
409,0
410,0
411,0
413,1
416,1
419,0
421,0
422,0
423,0
424,0
427,0
429,1
431,0
432,0
433,1
437,0
438,0
440,0
443,1
444,1
446,0
447,0
448,0
451,0
452,0
458,0
462,0
465,1
466,0
474,0
478,0
480,0
484,1
486,0
487,0
491,0
492,0
493,0
494,0
495,0
496,0
498,0
499,0
501,0
502,0
503,0
