# In-degree distribution (log-binned)
# Node type: a
# N: 10030, m: 3
# h: 0.2, f_a: 0.2
# Generated: 2026-02-15T17:57:40.172908
k,theory_prob,empirical_prob
0.0,0.635766052425491,
1.0,0.1855986702937433,
2.0,0.075948523529555,
3.0,0.03745459367232935,
4.0,0.02083289925607793,
5.0,0.012610614956410589,
6.0,0.008129338780799624,
7.0,0.005502245821075782,
8.0,0.003871844318786714,
9.0,0.0028125554836797625,
10.0,0.002097891134913841,
11.0,0.0016002708677281458,
12.0,0.0012443548355566521,
13.0,0.0009838420367549823,
14.0,0.000789288244778709,
15.0,0.0006414058871925857,
16.0,0.0005272285175034526,
17.0,0.0004378371927270479,
18.0,0.00036697070341660984,
19.0,0.00031015261417662835,
20.0,0.0002641294245980854,
21.0,0.0002265009706039893,
22.0,0.00019547243173835628,
23.0,0.00016968491556958125,
24.0,0.00014809780728057214,
25.0,0.00012990582952111137,
26.0,0.00011447975735456779,
27.0,0.00010132349692832593,
28.0,9.004264140357767e-05,
29.0,8.03211805943977e-05,
30.0,7.190407255802568e-05,
31.0,6.458407654567994e-05,
32.0,5.8191716047682836e-05,
33.0,5.258756342004695e-05,
34.0,4.765626218622344e-05,
35.0,4.330186116293196e-05,
36.0,3.94441469517367e-05,
37.0,3.601574205159643e-05,
38.0,3.2959794352287724e-05,
39.0,3.0228126549383117e-05,
40.0,2.777974556542344e-05,
41.0,2.5579635504503652e-05,
42.0,2.3597775220155286e-05,
43.0,2.180833481270615e-05,
44.0,2.0189015421456778e-05,
45.0,1.872050435578385e-05,
46.0,1.738602351299865e-05,
47.0,1.6170953596505233e-05,
48.0,1.5062520198659236e-05,
49.0,1.4049530589186035e-05,
50.0,1.3122152232142356e-05,
51.0,1.2271725777968164e-05,
52.0,1.1490606644922973e-05,
53.0,1.0772030394615144e-05,
54.0,1.0109997979405716e-05,
55.0,9.499177641494473e-06,
56.0,8.934820810265848e-06,
57.0,8.412689803829625e-06,
58.0,7.9289955144195e-06,
59.0,7.480343562445904e-06,
60.0,7.063687654023906e-06,
61.0,6.6762890823616305e-06,
62.0,6.3156814829427755e-06,
63.0,5.979640092734983e-06,
64.0,5.66615488010626e-06,
65.0,5.373407009060575e-06,
66.0,5.09974818234021e-06,
67.0,4.843682475683213e-06,
68.0,4.603850332399751e-06,
69.0,4.379014435298356e-06,
70.0,4.168047213373134e-06,
71.0,3.969919774830914e-06,
72.0,3.7836920869979206e-06,
73.0,3.6085042482621427e-06,
74.0,3.443568718176078e-06,
75.0,3.2881633897389043e-06,
76.0,3.141625403195842e-06,
77.0,3.003345613812316e-06,
78.0,2.87276363735925e-06,
79.0,2.749363406751213e-06,
0.0,,0.6075757575757575
1.0,,0.2080808080808081
2.0,,0.0702020202020202
3.0,,0.03787878787878788
4.0,,0.02727272727272727
5.0,,0.014646464646464647
6.0,,0.009595959595959595
7.0,,0.004545454545454545
8.0,,0.0030303030303030303
9.0,,0.005050505050505051
10.0,,0.00202020202020202
11.0,,0.0015151515151515152
12.0,,0.000505050505050505
13.0,,0.00202020202020202
14.0,,0.000505050505050505
15.0,,0.00101010101010101
21.0,,0.000505050505050505
22.0,,0.000505050505050505
25.0,,0.000505050505050505
27.0,,0.000505050505050505
30.0,,0.000505050505050505
42.0,,0.000505050505050505
45.0,,0.000505050505050505
59.0,,0.000505050505050505
78.49840762716146,,0.000505050505050505
