# frac_edges grid for p_c=0.4
# Valid region: n0 > m
# Generated: 2026-02-15T18:02:08.904506
m,n0,frac_edges,valid
1,10,0.5981917577796467,True
6,10,0.0,True
11,10,,False
16,10,,False
21,10,,False
1,30,0.0,True
6,30,0.9616306512279666,True
11,30,0.9384727064749943,True
16,30,0.0,True
21,30,0.0,True
1,50,1.0,True
6,50,0.9300046317739694,True
11,50,0.9129188591932961,True
16,50,0.867792073436076,True
21,50,0.0,True
1,70,1.0,True
6,70,0.9263855196865087,True
11,70,0.0,True
16,70,0.0,True
21,70,0.00550698551469958,True
1,90,0.0,True
6,90,0.0,True
11,90,0.9206079227477231,True
16,90,0.007195235308293455,True
21,90,0.0,True
