# frac_nodes grid for p_c=0.1
# Valid region: n0 > m
# Generated: 2026-02-15T18:02:07.529643
m,n0,frac_nodes,valid
1,10,1.0,True
6,10,1.0,True
11,10,,False
16,10,,False
21,10,,False
1,30,0.9972822730080296,True
6,30,0.9990036119068377,True
11,30,0.9986471528717255,True
16,30,0.2122045767162686,True
21,30,0.19633118492811105,True
1,50,1.0,True
6,50,0.9947754695857693,True
11,50,0.9981203007518797,True
16,50,0.9966161173079333,True
21,50,0.19856843144514377,True
1,70,1.0,True
6,70,0.9992584352984798,True
11,70,0.9949501170094839,True
16,70,0.0,True
21,70,0.20167859787706738,True
1,90,1.0,True
6,90,0.9960435212660732,True
11,90,0.9982561036372696,True
16,90,0.994034302759135,True
21,90,0.9919244626661697,True
