# Normalization constant A(k)
# Node type: a
# p0: 0.635519, alpha: 1.470588, gamma: 3.564153
# A_asymptotic: 18.149544
# Generated: 2026-02-15T21:55:46.869435
k,A_k,A_asymptotic
0,18.149543949383556,18.149543949383556
1,18.14954394938356,18.149543949383556
2,18.149543949383556,18.149543949383556
3,18.14954394938355,18.149543949383556
4,18.149543949383546,18.149543949383556
5,18.14954394938355,18.149543949383556
6,18.149543949383546,18.149543949383556
7,18.149543949383546,18.149543949383556
8,18.149543949383546,18.149543949383556
9,18.149543949383553,18.149543949383556
10,18.14954394938355,18.149543949383556
11,18.149543949383553,18.149543949383556
12,18.149543949383546,18.149543949383556
13,18.149543949383553,18.149543949383556
14,18.149543949383553,18.149543949383556
15,18.14954394938363,18.149543949383556
16,18.149543949383638,18.149543949383556
17,18.149543949383638,18.149543949383556
18,18.149543949383652,18.149543949383556
19,18.149543949383634,18.149543949383556
20,18.14954394938365,18.149543949383556
21,18.149543949383638,18.149543949383556
22,18.14954394938364,18.149543949383556
23,18.14954394938364,18.149543949383556
24,18.14954394938363,18.149543949383556
25,18.14954394938365,18.149543949383556
