# In-degree distribution (log-binned)
# Node type: a
# N: 10035, m: 3
# h: 0.2, f_a: 0.2
# Generated: 2026-02-15T21:55:45.038045
k,theory_prob,empirical_prob
0.0,0.6355185947971597,
1.0,0.18562744027641778,
2.0,0.07599480002318161,
3.0,0.03749201880071226,
4.0,0.02086083032021581,
5.0,0.01263135348051803,
6.0,0.008144932043356624,
7.0,0.005514169384602751,
8.0,0.0038811185508002325,
9.0,0.0028198852898432304,
10.0,0.0021037692667542785,
11.0,0.0016050472881486582,
12.0,0.001248282292817229,
13.0,0.000987106074487556,
14.0,0.000792027187292477,
15.0,0.0006437243455326433,
16.0,0.0005292066611343754,
17.0,0.0004395372145484713,
18.0,0.00036844139607653887,
19.0,0.00031143265600498666,
20.0,0.0002652497708757296,
21.0,0.000227486615754548,
22.0,0.00019634372326754498,
23.0,0.00017045854457308743,
24.0,0.00014878756281992367,
25.0,0.0001305231786871823,
26.0,0.00011503429531167172,
27.0,0.0001018232990271752,
28.0,9.049454085334334e-05,
29.0,8.073098905985102e-05,
30.0,7.227675663981105e-05,
31.0,6.492389989775458e-05,
32.0,5.850235453523769e-05,
33.0,5.287219898111782e-05,
34.0,4.7917659761400605e-05,
35.0,4.354243208034505e-05,
36.0,3.966600141366415e-05,
37.0,3.622073280338479e-05,
38.0,3.314955317943653e-05,
39.0,3.0404094912143817e-05,
40.0,2.7943200418298134e-05,
41.0,2.5731711142856253e-05,
42.0,2.3739481834530988e-05,
43.0,2.1940574303500064e-05,
44.0,2.031259492471327e-05,
45.0,1.8836147849419503e-05,
46.0,1.749438180728384e-05,
47.0,1.627261295974966e-05,
0.0,,0.6194734227521113
1.0,,0.18032786885245902
2.0,,0.08594138102334824
3.0,,0.04719324391455539
4.0,,0.022354694485842028
5.0,,0.011425732737208148
6.0,,0.010432190760059613
7.0,,0.003477396920019871
8.0,,0.00546448087431694
9.0,,0.001987083954297069
10.0,,0.003477396920019871
11.0,,0.0014903129657228018
12.0,,0.0009935419771485345
13.0,,0.001987083954297069
16.0,,0.0004967709885742673
17.0,,0.0004967709885742673
18.0,,0.0004967709885742673
22.0,,0.0009935419771485345
29.0,,0.0004967709885742673
37.0,,0.0004967709885742673
46.49731175025068,,0.0004967709885742673
