# frac_nodes grid for p_c=0.4
# Valid region: n0 > m
# Generated: 2026-02-16T09:01:17.914198
m,n0,frac_nodes,valid
1,10,1.0,True
3,10,1.0,True
5,10,1.0,True
7,10,0.9998756991920448,True
9,10,0.7126279011729474,True
11,10,,False
13,10,,False
15,10,,False
17,10,,False
19,10,,False
21,10,,False
23,10,,False
25,10,,False
27,10,,False
29,10,,False
31,10,,False
33,10,,False
1,20,0.9872955974842768,True
3,20,0.9989972424166458,True
5,20,0.9997499062148305,True
7,20,0.9997499062148305,True
9,20,0.9991284860557769,True
11,20,0.2439909864797196,True
13,20,0.7086929330831769,True
15,20,0.9782717910072846,True
17,20,0.20862326043737575,True
19,20,0.20230283521109324,True
21,20,,False
23,20,,False
25,20,,False
27,20,,False
29,20,,False
31,20,,False
33,20,,False
1,30,1.0,True
3,30,0.997369409996242,True
5,30,0.9993702770780857,True
7,30,0.999009900990099,True
9,30,0.9988679245283019,True
11,30,0.99812734082397,True
13,30,0.23043478260869565,True
15,30,0.0,True
17,30,0.20333914776974832,True
19,30,0.0,True
21,30,0.19618055555555555,True
23,30,0.19522803529265564,True
25,30,0.18259129564782392,True
27,30,0.1794102948525737,True
29,30,0.1715145436308927,True
31,30,,False
33,30,,False
1,40,1.0,True
3,40,0.9976371098122124,True
5,40,0.9982709645547734,True
7,40,0.9981380337636544,True
9,40,0.9982582732022891,True
11,40,1.0,True
13,40,0.9980151345986851,True
15,40,0.22172894314958688,True
17,40,0.7383165984876658,True
19,40,0.7408140541878016,True
21,40,0.18786522441874923,True
23,40,0.1934274647007372,True
25,40,0.18593340815563036,True
27,40,0.1802848575712144,True
29,40,0.17354124748490946,True
31,40,0.1796865358509194,True
33,40,0.0,True
1,50,0.9962806843540789,True
3,50,0.9984988741556167,True
5,50,0.9988916256157635,True
7,50,0.9988868274582561,True
9,50,0.9992547509626133,True
11,50,0.9966534457114526,True
13,50,0.9962737548130667,True
15,50,0.9970160387914957,True
17,50,0.20944609297725025,True
19,50,0.2037593984962406,True
21,50,0.1938572494404377,True
23,50,0.19366065879428215,True
25,50,0.18997263000746453,True
27,50,0.18396108755300575,True
29,50,0.18147051566740685,True
31,50,0.1821705426356589,True
33,50,0.0,True
1,60,0.9873621608226986,True
3,60,0.9953651509457597,True
5,60,0.9976073542375016,True
7,60,0.9973710565848773,True
9,60,0.9977544910179641,True
11,60,0.9976566354218056,True
13,60,0.9965299293592762,True
15,60,0.9957774465971188,True
17,60,0.20758458297186763,True
19,60,0.20711893836041176,True
21,60,0.1933880188913746,True
23,60,0.19252730883813307,True
25,60,0.0,True
27,60,0.19010221889803042,True
29,60,0.18285714285714286,True
31,60,0.17689351679682658,True
33,60,0.17658829414707353,True
1,70,1.0,True
3,70,0.9971203205208464,True
5,70,0.9984041247237908,True
7,70,0.996650124069479,True
9,70,0.9974035608308606,True
11,70,0.9962866691422205,True
13,70,0.9966588293528029,True
15,70,0.9957784951576856,True
17,70,0.0,True
19,70,0.9944258639910813,True
21,70,0.9942373712604218,True
23,70,0.19348395955561104,True
25,70,0.18743743743743743,True
27,70,0.18551192842942346,True
29,70,0.18184073430910444,True
31,70,0.17227306455602276,True
33,70,0.16909046093172295,True
1,80,1.0,True
3,80,0.9942729083665338,True
5,80,0.9973968017850502,True
7,80,0.9963659147869675,True
9,80,0.9971587399629401,True
11,80,0.9957910373854915,True
13,80,0.9951383694839192,True
15,80,0.9940365262765561,True
17,80,0.9938111152370342,True
19,80,0.2103692651995524,True
21,80,0.9922693266832918,True
23,80,0.191734921816828,True
25,80,0.19414236282748393,True
27,80,0.18133869144794676,True
29,80,0.17922430830039526,True
31,80,0.181387816120593,True
33,80,0.0,True
1,90,1.0,True
3,90,0.9965483234714004,True
5,90,0.9964010920824026,True
7,90,0.996539364726239,True
9,90,0.9956763434218654,True
11,90,0.996993987975952,True
13,90,0.9949307616221563,True
15,90,0.9941939468807907,True
17,90,0.9931643052448421,True
19,90,0.9926286856571714,True
21,90,0.9919554455445545,True
23,90,0.9921182266009853,True
25,90,0.18553652827399286,True
27,90,0.9915831167223667,True
29,90,0.18495103508119498,True
31,90,0.18477722772277227,True
33,90,0.17926404773744406,True
1,100,1.0,True
3,100,0.9938034452844219,True
5,100,0.9951034398335169,True
7,100,0.9961466749533872,True
9,100,0.9941759603469641,True
11,100,0.9959077380952381,True
13,100,0.994601226993865,True
15,100,0.9933151770240158,True
17,100,0.9927007299270073,True
19,100,0.9924635532493205,True
21,100,0.20825098814229248,True
23,100,0.9909787444389521,True
25,100,0.191402378592666,True
27,100,0.18774801587301587,True
29,100,0.18159357628165534,True
31,100,0.177608587119321,True
33,100,0.1757725587144623,True
1,110,0.950767341927563,True
3,110,0.9938118811881188,True
5,110,0.9943167778601433,True
7,110,0.9964162135442413,True
9,110,0.9956822107081175,True
11,110,0.9949463823493159,True
13,110,0.9938544739429696,True
15,110,0.9932157394843962,True
17,110,0.9929681717246485,True
19,110,0.9923456790123457,True
21,110,0.9908099497610587,True
23,110,0.9919753086419754,True
25,110,0.9910648714810282,True
27,110,0.9896000990466758,True
29,110,0.9892072943803498,True
31,110,0.9891518737672583,True
33,110,0.0,True
1,120,1.0,True
3,120,0.9954767726161369,True
5,120,0.9949388964325392,True
7,120,0.995381927109336,True
9,120,0.9951828063241107,True
11,120,0.9945402655416304,True
13,120,0.9937346437346437,True
15,120,0.9934881435065733,True
17,120,0.9929699062654169,True
19,120,0.9904691174650329,True
21,120,0.990693634445961,True
23,120,0.9914099889557001,True
25,120,0.9902924551486851,True
27,120,0.9887431964374073,True
29,120,0.1867544731610338,True
31,120,0.9882020400639057,True
33,120,0.1737037037037037,True
1,130,1.0,True
3,130,0.9935936922508316,True
5,130,0.9945699123781315,True
7,130,0.9939580764488286,True
9,130,0.9932910920611256,True
11,130,0.9939580764488286,True
13,130,0.9940571994552433,True
15,130,0.9918729220539343,True
17,130,0.9914667326242889,True
19,130,0.9908245505269684,True
21,130,0.9905307749813107,True
23,130,0.9900209436984108,True
25,130,0.9894244958189867,True
27,130,0.9883964942599679,True
29,130,0.987517163899638,True
31,130,0.9877898371978293,True
33,130,0.1823543868272303,True
1,140,1.0,True
3,140,0.9891425046267736,True
5,140,0.9930701645835911,True
7,140,0.995050117559708,True
9,140,0.9936133628101204,True
11,140,0.9936007875953728,True
13,140,0.9923682914820285,True
15,140,0.9922789539227895,True
17,140,0.9907730673316708,True
19,140,0.9905195764590002,True
21,140,0.9905149051490515,True
23,140,0.9889162561576355,True
25,140,0.9876650884624969,True
