# margin grid for p_c=0.2
# Valid region: n0 > m
# Generated: 2026-02-16T09:01:16.575507
m,n0,margin,valid
1,10,0.28980028490086307,True
3,10,0.22928932188134526,True
5,10,0.3102002865335393,True
7,10,0.13071796769724492,True
9,10,0.01650196853444985,True
11,10,,False
13,10,,False
15,10,,False
17,10,,False
19,10,,False
21,10,,False
23,10,,False
25,10,,False
27,10,,False
29,10,,False
31,10,,False
33,10,,False
1,20,0.13071796769724492,True
3,20,0.09211774900609143,True
5,20,0.11135599079307795,True
7,20,0.11135599079307795,True
9,20,0.01650196853444985,True
11,20,0.01650196853444985,True
13,20,0.07300746310222311,True
15,20,0.01650196853444985,True
17,20,0.22928932188134526,True
19,20,0.20934591306937717,True
21,20,,False
23,20,,False
25,20,,False
27,20,,False
29,20,,False
31,20,,False
33,20,,False
1,30,0.2493459130693772,True
3,30,0.16980028490086302,True
5,30,0.13071796769724492,True
7,30,0.03519259301592137,True
9,30,0.01650196853444985,True
11,30,0.01650196853444985,True
13,30,0.01650196853444985,True
15,30,0.16980028490086302,True
17,30,0.03519259301592137,True
19,30,0.07300746310222311,True
21,30,0.20934591306937717,True
23,30,0.28980028490086307,True
25,30,0.16980028490086302,True
27,30,0.37211774900609146,True
29,30,0.20934591306937717,True
31,30,,False
33,30,,False
1,40,0.3102002865335393,True
3,40,0.11135599079307795,True
5,40,0.13071796769724492,True
7,40,0.01650196853444985,True
9,40,0.05403030999011743,True
11,40,0.2493459130693772,True
13,40,0.07300746310222311,True
15,40,0.01650196853444985,True
17,40,0.05403030999011743,True
19,40,0.01650196853444985,True
21,40,0.09211774900609143,True
23,40,0.28980028490086307,True
25,40,0.2695159592531756,True
27,40,0.28980028490086307,True
29,40,0.2493459130693772,True
31,40,0.22928932188134526,True
33,40,0.1895159592531756,True
1,50,0.07300746310222311,True
3,50,0.07300746310222311,True
5,50,0.16980028490086302,True
7,50,0.05403030999011743,True
9,50,0.16980028490086302,True
11,50,0.01650196853444985,True
13,50,0.03519259301592137,True
15,50,0.03519259301592137,True
17,50,0.01650196853444985,True
19,50,0.35135599079307794,True
21,50,0.03519259301592137,True
23,50,0.2695159592531756,True
25,50,0.3307179676972449,True
27,50,0.3102002865335393,True
29,50,0.37211774900609146,True
31,50,0.20934591306937717,True
33,50,0.16980028490086302,True
1,60,0.11135599079307795,True
3,60,0.01650196853444985,True
5,60,0.01650196853444985,True
7,60,0.01650196853444985,True
9,60,0.03519259301592137,True
11,60,0.05403030999011743,True
13,60,0.05403030999011743,True
15,60,0.01650196853444985,True
17,60,0.01650196853444985,True
19,60,0.2493459130693772,True
21,60,0.01650196853444985,True
23,60,0.28980028490086307,True
25,60,0.07300746310222311,True
27,60,0.3102002865335393,True
29,60,0.22928932188134526,True
31,60,0.3307179676972449,True
33,60,0.47796775032291666,True
1,70,0.35135599079307794,True
3,70,0.13071796769724492,True
5,70,0.03519259301592137,True
7,70,0.01650196853444985,True
9,70,0.03519259301592137,True
11,70,0.03519259301592137,True
13,70,0.03519259301592137,True
15,70,0.13071796769724492,True
17,70,0.01650196853444985,True
19,70,0.07300746310222311,True
21,70,0.01650196853444985,True
23,70,0.22928932188134526,True
25,70,0.03519259301592137,True
27,70,0.3307179676972449,True
29,70,0.2695159592531756,True
31,70,0.2695159592531756,True
33,70,0.05403030999011743,True
1,80,0.3102002865335393,True
3,80,0.01650196853444985,True
5,80,0.03519259301592137,True
7,80,0.03519259301592137,True
9,80,0.05403030999011743,True
11,80,0.07300746310222311,True
13,80,0.13071796769724492,True
15,80,0.01650196853444985,True
17,80,0.11135599079307795,True
19,80,0.11135599079307795,True
21,80,0.13071796769724492,True
23,80,0.01650196853444985,True
25,80,0.3102002865335393,True
27,80,0.3102002865335393,True
29,80,0.20934591306937717,True
31,80,0.28980028490086307,True
33,80,0.1895159592531756,True
1,90,0.2695159592531756,True
3,90,0.09211774900609143,True
5,90,0.05403030999011743,True
7,90,0.05403030999011743,True
9,90,0.11135599079307795,True
11,90,0.03519259301592137,True
13,90,0.01650196853444985,True
15,90,0.20934591306937717,True
17,90,0.07300746310222311,True
19,90,0.03519259301592137,True
21,90,0.16980028490086302,True
23,90,0.05403030999011743,True
25,90,0.03519259301592137,True
27,90,0.28980028490086307,True
29,90,0.35135599079307794,True
31,90,0.37211774900609146,True
33,90,0.35135599079307794,True
1,100,0.39300746310222306,True
3,100,0.03519259301592137,True
5,100,0.01650196853444985,True
7,100,0.03519259301592137,True
9,100,0.07300746310222311,True
11,100,0.1502002865335394,True
13,100,0.01650196853444985,True
15,100,0.03519259301592137,True
17,100,0.01650196853444985,True
19,100,0.11135599079307795,True
21,100,0.05403030999011743,True
23,100,0.05403030999011743,True
25,100,0.07300746310222311,True
27,100,0.28980028490086307,True
29,100,0.05403030999011743,True
31,100,0.01650196853444985,True
33,100,0.35135599079307794,True
1,110,0.1895159592531756,True
3,110,0.09211774900609143,True
5,110,0.01650196853444985,True
7,110,0.11135599079307795,True
9,110,0.01650196853444985,True
11,110,0.09211774900609143,True
13,110,0.13071796769724492,True
15,110,0.11135599079307795,True
17,110,0.03519259301592137,True
19,110,0.2493459130693772,True
21,110,0.16980028490086302,True
23,110,0.2493459130693772,True
25,110,0.20934591306937717,True
27,110,0.09211774900609143,True
29,110,0.05403030999011743,True
31,110,0.09211774900609143,True
33,110,0.1502002865335394,True
1,120,0.4140303099901174,True
3,120,0.05403030999011743,True
5,120,0.05403030999011743,True
7,120,0.1502002865335394,True
9,120,0.03519259301592137,True
11,120,0.07300746310222311,True
13,120,0.03519259301592137,True
15,120,0.16980028490086302,True
17,120,0.07300746310222311,True
19,120,0.16980028490086302,True
21,120,0.20934591306937717,True
23,120,0.05403030999011743,True
25,120,0.09211774900609143,True
27,120,0.16980028490086302,True
29,120,0.05403030999011743,True
31,120,0.13071796769724492,True
33,120,0.3307179676972449,True
1,130,0.47796775032291666,True
3,130,0.01650196853444985,True
5,130,0.13071796769724492,True
7,130,0.1502002865335394,True
9,130,0.03519259301592137,True
11,130,0.1895159592531756,True
13,130,0.1502002865335394,True
15,130,0.07300746310222311,True
17,130,0.16980028490086302,True
19,130,0.09211774900609143,True
21,130,0.01650196853444985,True
23,130,0.03519259301592137,True
25,130,0.1502002865335394,True
27,130,0.11135599079307795,True
29,130,0.01650196853444985,True
31,130,0.13071796769724492,True
33,130,0.22928932188134526,True
1,140,0.35135599079307794,True
3,140,0.01650196853444985,True
5,140,0.01650196853444985,True
7,140,0.16980028490086302,True
9,140,0.01650196853444985,True
11,140,0.05403030999011743,True
13,140,0.13071796769724492,True
15,140,0.07300746310222311,True
17,140,0.03519259301592137,True
19,140,0.22928932188134526,True
21,140,0.2493459130693772,True
23,140,0.11135599079307795,True
25,140,0.13071796769724492,True
27,140,0.3102002865335393,True
29,140,0.05403030999011743,True
31,140,0.07300746310222311,True
33,140,0.13071796769724492,True
1,150,0.45650196853444974,True
3,150,0.01650196853444985,True
5,150,0.07300746310222311,True
7,150,0.1895159592531756,True
9,150,0.1502002865335394,True
11,150,0.03519259301592137,True
13,150,0.22928932188134526,True
15,150,0.13071796769724492,True
17,150,0.01650196853444985,True
19,150,0.05403030999011743,True
21,150,0.22928932188134526,True
23,150,0.05403030999011743,True
25,150,0.3307179676972449,True
27,150,0.05403030999011743,True
29,150,0.22928932188134526,True
31,150,0.11135599079307795,True
33,150,0.1895159592531756,True
