# Network edge list with node attributes
# N: 10035, m: 3
# h: 0.2, f_a: 0.2
# Initial network nodes: 0 to 34
# Added nodes: 35 to 10034
# Total edges: 30033
# Type a nodes: 2013
# Type b nodes: 8022
# Generated: 2026-02-15T21:55:43.593393
source,target,source_type,target_type,source_in_degree,target_in_degree,source_is_initial,target_is_initial,source_order,target_order
34,3,b,b,18,23,True,True,34,3
34,7,b,b,18,59,True,True,34,7
34,17,b,b,18,61,True,True,34,17
34,26,b,b,18,22,True,True,34,26
34,1,b,b,18,24,True,True,34,1
34,2,b,b,18,49,True,True,34,2
34,25,b,b,18,48,True,True,34,25
34,6,b,b,18,22,True,True,34,6
34,16,b,b,18,50,True,True,34,16
34,33,b,b,18,37,True,True,34,33
34,12,b,b,18,41,True,True,34,12
34,15,b,b,18,34,True,True,34,15
34,10,b,b,18,38,True,True,34,10
34,5,b,b,18,62,True,True,34,5
34,24,b,a,18,11,True,True,34,24
34,23,b,b,18,65,True,True,34,23
34,31,b,b,18,42,True,True,34,31
34,29,b,b,18,20,True,True,34,29
34,13,b,b,18,46,True,True,34,13
34,28,b,b,18,24,True,True,34,28
34,0,b,b,18,47,True,True,34,0
34,19,b,b,18,21,True,True,34,19
34,30,b,b,18,43,True,True,34,30
34,8,b,b,18,37,True,True,34,8
34,14,b,b,18,31,True,True,34,14
34,21,b,b,18,42,True,True,34,21
34,22,b,b,18,46,True,True,34,22
34,11,b,b,18,32,True,True,34,11
34,20,b,a,18,47,True,True,34,20
34,27,b,b,18,35,True,True,34,27
34,18,b,b,18,29,True,True,34,18
34,4,b,a,18,37,True,True,34,4
34,32,b,b,18,38,True,True,34,32
35,0,b,b,29,47,False,True,35,0
35,23,b,b,29,65,False,True,35,23
35,32,b,b,29,38,False,True,35,32
36,13,b,b,19,46,False,True,36,13
36,17,b,b,19,61,False,True,36,17
36,19,b,b,19,21,False,True,36,19
37,27,b,b,32,35,False,True,37,27
37,0,b,b,32,47,False,True,37,0
37,21,b,b,32,42,False,True,37,21
38,7,b,b,23,59,False,True,38,7
38,22,b,b,23,46,False,True,38,22
38,15,b,b,23,34,False,True,38,15
39,30,b,b,29,43,False,True,39,30
39,17,b,b,29,61,False,True,39,17
39,26,b,b,29,22,False,True,39,26
40,15,b,b,19,34,False,True,40,15
40,7,b,b,19,59,False,True,40,7
40,28,b,b,19,24,False,True,40,28
41,24,b,a,34,11,False,True,41,24
41,13,b,b,34,46,False,True,41,13
41,32,b,b,34,38,False,True,41,32
42,14,b,b,32,31,False,True,42,14
42,9,b,a,32,7,False,True,42,9
42,35,b,b,32,29,False,False,42,35
43,37,b,b,32,32,False,False,43,37
43,35,b,b,32,29,False,False,43,35
43,3,b,b,32,23,False,True,43,3
44,27,a,b,17,35,False,True,44,27
44,32,a,b,17,38,False,True,44,32
44,5,a,b,17,62,False,True,44,5
45,32,b,b,26,38,False,True,45,32
45,35,b,b,26,29,False,False,45,35
45,25,b,b,26,48,False,True,45,25
46,7,b,b,37,59,False,True,46,7
46,32,b,b,37,38,False,True,46,32
46,38,b,b,37,23,False,False,46,38
47,7,b,b,42,59,False,True,47,7
47,10,b,b,42,38,False,True,47,10
47,0,b,b,42,47,False,True,47,0
48,17,b,b,29,61,False,True,48,17
48,28,b,b,29,24,False,True,48,28
48,29,b,b,29,20,False,True,48,29
49,45,b,b,18,26,False,False,49,45
49,47,b,b,18,42,False,False,49,47
49,35,b,b,18,29,False,False,49,35
50,0,b,b,22,47,False,True,50,0
50,33,b,b,22,37,False,True,50,33
50,46,b,b,22,37,False,False,50,46
51,28,b,b,24,24,False,True,51,28
51,10,b,b,24,38,False,True,51,10
51,31,b,b,24,42,False,True,51,31
52,43,b,b,22,32,False,False,52,43
52,16,b,b,22,50,False,True,52,16
52,38,b,b,22,23,False,False,52,38
53,18,a,b,6,29,False,True,53,18
53,39,a,b,6,29,False,False,53,39
53,37,a,b,6,32,False,False,53,37
54,7,a,b,3,59,False,True,54,7
54,10,a,b,3,38,False,True,54,10
54,4,a,a,3,37,False,True,54,4
55,10,b,b,24,38,False,True,55,10
55,23,b,b,24,65,False,True,55,23
55,7,b,b,24,59,False,True,55,7
56,49,b,b,32,18,False,False,56,49
56,28,b,b,32,24,False,True,56,28
56,29,b,b,32,20,False,True,56,29
57,22,a,b,1,46,False,True,57,22
57,36,a,b,1,19,False,False,57,36
57,38,a,b,1,23,False,False,57,38
58,25,a,b,6,48,False,True,58,25
58,17,a,b,6,61,False,True,58,17
58,34,a,b,6,18,False,True,58,34
59,8,a,b,8,37,False,True,59,8
59,48,a,b,8,29,False,False,59,48
59,43,a,b,8,32,False,False,59,43
60,22,b,b,11,46,False,True,60,22
60,18,b,b,11,29,False,True,60,18
60,39,b,b,11,29,False,False,60,39
61,31,b,b,26,42,False,True,61,31
61,23,b,b,26,65,False,True,61,23
61,60,b,b,26,11,False,False,61,60
62,35,b,b,35,29,False,False,62,35
62,5,b,b,35,62,False,True,62,5
62,8,b,b,35,37,False,True,62,8
63,26,b,b,23,22,False,True,63,26
63,48,b,b,23,29,False,False,63,48
63,13,b,b,23,46,False,True,63,13
64,51,b,b,17,24,False,False,64,51
64,8,b,b,17,37,False,True,64,8
64,7,b,b,17,59,False,True,64,7
65,44,b,a,25,17,False,False,65,44
65,8,b,b,25,37,False,True,65,8
65,5,b,b,25,62,False,True,65,5
66,37,b,b,9,32,False,False,66,37
66,5,b,b,9,62,False,True,66,5
66,11,b,b,9,32,False,True,66,11
67,33,b,b,25,37,False,True,67,33
67,5,b,b,25,62,False,True,67,5
67,26,b,b,25,22,False,True,67,26
68,2,b,b,32,49,False,True,68,2
68,32,b,b,32,38,False,True,68,32
68,41,b,b,32,34,False,False,68,41
69,68,b,b,34,32,False,False,69,68
69,23,b,b,34,65,False,True,69,23
69,48,b,b,34,29,False,False,69,48
70,17,a,b,0,61,False,True,70,17
70,37,a,b,0,32,False,False,70,37
70,12,a,b,0,41,False,True,70,12
71,34,b,b,17,18,False,True,71,34
71,9,b,a,17,7,False,True,71,9
71,41,b,b,17,34,False,False,71,41
72,13,b,b,17,46,False,True,72,13
72,40,b,b,17,19,False,False,72,40
72,32,b,b,17,38,False,True,72,32
73,67,b,b,19,25,False,False,73,67
73,33,b,b,19,37,False,True,73,33
73,44,b,a,19,17,False,False,73,44
74,33,b,b,22,37,False,True,74,33
74,22,b,b,22,46,False,True,74,22
74,61,b,b,22,26,False,False,74,61
75,63,b,b,27,23,False,False,75,63
75,62,b,b,27,35,False,False,75,62
75,60,b,b,27,11,False,False,75,60
76,48,a,b,10,29,False,False,76,48
76,31,a,b,10,42,False,True,76,31
76,69,a,b,10,34,False,False,76,69
77,0,a,b,10,47,False,True,77,0
77,75,a,b,10,27,False,False,77,75
77,62,a,b,10,35,False,False,77,62
78,30,b,b,23,43,False,True,78,30
78,3,b,b,23,23,False,True,78,3
78,27,b,b,23,35,False,True,78,27
