# P-value vs truncation analysis
# Sweep: m_edges, value: 1
# Node type: b, a: 0
# Confidence interval: z = 1.0
# Generated: 2026-02-15T23:13:53.608523
b,p,sigma_p,p_lower_bound,D_theory_mean,D_mle_mean
1,0.52,0.07065408693062278,0.4493459130693772,0.7121328566548947,0.7117496036064906
2,0.46,0.07048404074682439,0.3895159592531756,1.1645067776981357,1.1653131984498553
3,0.48,0.07065408693062278,0.4093459130693772,2.7187462275825856,2.7179219390786282
4,0.44,0.07019971509913699,0.36980028490086303,4.369817801794873,4.364160971147487
5,0.46,0.07048404074682439,0.3895159592531756,6.300308046992516,6.309319845046125
6,0.4,0.06928203230275509,0.33071796769724493,8.63811509555905,8.622163719292077
7,0.48,0.07065408693062278,0.4093459130693772,11.510267874979572,11.492451538970023
8,0.48,0.07065408693062278,0.4093459130693772,15.05947974289304,15.061284062257235
9,0.44,0.07019971509913699,0.36980028490086303,19.4317976900764,19.364627209835916
10,0.44,0.07019971509913699,0.36980028490086303,24.805789863773335,24.727356007886602
11,0.42,0.06979971346646059,0.3502002865335394,31.38240386630689,31.265614414671248
12,0.4,0.06928203230275509,0.33071796769724493,39.38528777796787,39.32873990689459
13,0.5,0.07071067811865475,0.4292893218813453,49.07446462130668,49.03329718561479
14,0.48,0.07065408693062278,0.4093459130693772,60.744015729625445,60.53206320551821
15,0.42,0.06979971346646059,0.3502002865335394,74.73604765634383,74.58065710069359
16,0.42,0.06979971346646059,0.3502002865335394,91.4293875226288,91.19951488372986
17,0.56,0.07019971509913697,0.4898002849008631,111.25507576553444,111.80719188451307
