# P-value vs truncation analysis
# Sweep: n0, value: 45
# Node type: b, a: 0
# Confidence interval: z = 1.0
# Generated: 2026-02-16T00:00:16.735971
b,p,sigma_p,p_lower_bound,D_theory_mean,D_mle_mean
1,0.52,0.07065408693062278,0.4493459130693772,0.8413193734429104,0.8410676085124682
2,0.42,0.06979971346646059,0.3502002865335394,1.1035341621046444,1.1034772148235021
3,0.48,0.07065408693062278,0.4093459130693772,1.4641547582778067,1.4587599846155226
4,0.52,0.07065408693062278,0.4493459130693772,2.2884565582820584,2.2874298742548884
5,0.52,0.07065408693062278,0.4493459130693772,3.080430030067389,3.083901269843565
7,0.56,0.07019971509913697,0.4898002849008631,4.694581812493576,4.712070245130821
8,0.44,0.07019971509913699,0.36980028490086303,5.550533575448849,5.540575099674442
9,0.56,0.07019971509913697,0.4898002849008631,6.457138399100544,6.483295219466932
10,0.54,0.07048404074682439,0.46951595925317563,7.423097415200694,7.443411036091331
11,0.6,0.06928203230275509,0.5307179676972449,8.441378374581566,8.465375354635725
13,0.48,0.07065408693062278,0.4093459130693772,10.691205654463985,10.694065081097758
14,0.54,0.07048404074682439,0.46951595925317563,11.933324483082734,11.970343736248154
15,0.5,0.07071067811865475,0.4292893218813453,13.251984750781942,13.315580947620878
16,0.6,0.06928203230275509,0.5307179676972449,14.654795710597014,14.775677216899023
17,0.6,0.06928203230275509,0.5307179676972449,16.14519318964433,16.29288156434502
19,0.66,0.0669925368977769,0.5930074631022231,19.400312612635894,19.563268995419627
20,0.64,0.06788225099390856,0.5721177490060915,21.18002037975966,21.41892896156589
21,0.68,0.06596969000988256,0.6140303099901174,23.06519947550549,23.4263983924084
22,0.7,0.06480740698407861,0.6351925930159213,25.047584889361072,25.35991034588396
23,0.64,0.06788225099390856,0.5721177490060915,27.141259650527083,27.508412790594186
25,0.64,0.06788225099390856,0.5721177490060915,31.683251958753072,32.129401313373776
26,0.68,0.06596969000988256,0.6140303099901174,34.13405097880695,34.66844760013128
27,0.6,0.06928203230275509,0.5307179676972449,36.70662204624041,37.23857090603656
28,0.64,0.06788225099390856,0.5721177490060915,39.407804583420855,39.97807886498671
29,0.62,0.06864400920692205,0.551355990793078,42.24097909354544,42.76024575340385
31,0.58,0.06979971346646059,0.5102002865335393,48.32052810246137,48.95443888195373
32,0.54,0.07048404074682439,0.46951595925317563,51.568121220267955,52.076518102621975
33,0.6,0.06928203230275509,0.5307179676972449,54.96613695044697,55.52079427506634
34,0.62,0.06864400920692205,0.551355990793078,58.51514078473419,59.12400331931184
35,0.54,0.07048404074682439,0.46951595925317563,62.21587285548126,62.905105217050775
37,0.5,0.07071067811865475,0.4292893218813453,70.08748750460981,70.6993793638202
38,0.44,0.07019971509913699,0.36980028490086303,74.26802199370982,74.77220174783567
39,0.44,0.07019971509913699,0.36980028490086303,78.61806675374743,79.0109449472363
40,0.42,0.06979971346646059,0.3502002865335394,83.14028348427361,83.38583764060506
41,0.4,0.06928203230275509,0.33071796769724493,87.83792996706995,87.94264602246344
43,0.36,0.06788225099390856,0.29211774900609144,97.76926056873717,97.13022391288119
44,0.32,0.06596969000988256,0.25403030999011744,103.01591838300821,101.96049384618424
45,0.3,0.0648074069840786,0.23519259301592138,108.45493014090715,107.16057642760953
46,0.24,0.060398675482166,0.179601324517834,114.08607015818089,112.40871873415688
47,0.28,0.06349803146555018,0.21650196853444986,119.91424861983705,117.92615455817895
49,0.28,0.06349803146555018,0.21650196853444986,132.1823959558594,129.60676740551742
50,0.3,0.0648074069840786,0.23519259301592138,138.63089895779206,135.85672114116412
51,0.28,0.06349803146555018,0.21650196853444986,145.28870325834998,142.35602332565108
52,0.28,0.06349803146555018,0.21650196853444986,152.16626779000416,149.31948155377694
53,0.3,0.0648074069840786,0.23519259301592138,159.2654299501208,156.69697900052898
55,0.32,0.06596969000988256,0.25403030999011744,174.1321005188464,171.66245400388902
56,0.34,0.0669925368977769,0.2730074631022231,181.91592784893822,179.6736669079939
57,0.32,0.06596969000988256,0.25403030999011744,189.9330832173845,187.65327356309078
58,0.32,0.06596969000988256,0.25403030999011744,198.18902198954865,195.85511361816054
60,0.38,0.06864400920692205,0.31135599079307796,215.4444175897014,213.64136169717426
