# Sweep: n0
# Node type: b
# a: 0
# Generated: 2026-02-16T00:00:14.529913
n0,frac_nodes_pc0.1,frac_edges_pc0.1,valid_pc0.1,frac_nodes_pc0.2,frac_edges_pc0.2,valid_pc0.2,frac_nodes_pc0.4,frac_edges_pc0.4,valid_pc0.4
10,1.0,1.0,True,1.0,1.0,True,0.9993769470404984,0.9889996071288261,True
15,1.0,1.0,True,1.0,1.0,True,0.9989964877069744,0.9838346268016165,True
20,1.0,1.0,True,1.0,1.0,True,0.9998751248751249,0.998155505107832,True
25,1.0,1.0,True,1.0,1.0,True,0.9993726474278545,0.989886400056978,True
30,1.0,1.0,True,1.0,1.0,True,0.9909181388405076,0.9177434942907255,True
35,1.0,1.0,True,1.0,1.0,True,0.9987596129992558,0.9824946069243555,True
40,1.0,1.0,True,0.9995051342323394,0.9929161747343566,True,0.9955462080910553,0.9528818289148868,True
45,1.0,1.0,True,1.0,1.0,True,0.9980126692336355,0.9746578994135419,True
50,1.0,1.0,True,1.0,1.0,True,0.9987509367974019,0.9844420600858369,True
55,1.0,1.0,True,1.0,1.0,True,0.9942514371407148,0.942428124110447,True
60,1.0,1.0,True,1.0,1.0,True,0.9975311689914825,0.9717859427190676,True
65,1.0,1.0,True,1.0,1.0,True,0.997398414271556,0.9716104118993135,True
70,1.0,1.0,True,1.0,1.0,True,0.9974035608308606,0.9698761061946902,True
75,1.0,1.0,True,1.0,1.0,True,0.9966363523109505,0.9644945253534601,True
80,1.0,1.0,True,1.0,1.0,True,0.9951958610495196,0.9482722069111723,True
85,1.0,1.0,True,1.0,1.0,True,0.9960600837232209,0.9586582630060891,True
90,1.0,1.0,True,0.9965406473931308,0.9633251833740831,True,0.9927106498640969,0.9313631692711102,True
95,1.0,1.0,True,0.9958122921542062,0.9552058969452123,True,0.9924867594531346,0.9280955418527181,True
100,1.0,1.0,True,0.9961235463298737,0.9614633280056828,True,0.9939977491559335,0.9442727757059137,True
105,1.0,1.0,True,0.9957658779576588,0.9561815336463224,True,0.9914072229140722,0.9224285104566795,True
110,1.0,1.0,True,1.0,1.0,True,0.9913654866165043,0.9218805356763268,True
115,1.0,1.0,True,1.0,1.0,True,0.9932885906040269,0.937395510973571,True
120,1.0,1.0,True,0.9951462352209085,0.952575779137612,True,0.991537025513379,0.924114131208197,True
125,1.0,1.0,True,1.0,1.0,True,0.9913377057294889,0.9223737770477755,True
130,0.9957842529448233,0.9557914920815282,True,0.9939243645381277,0.939954548682622,True,0.9924364538127712,0.9285562104964136,True
135,1.0,1.0,True,0.9942714819427149,0.9431713045334852,True,0.9907845579078456,0.9173012596968187,True
140,1.0,1.0,True,0.9948402948402948,0.9510694714512993,True,0.98992628992629,0.9145129927523422,True
145,1.0,1.0,True,0.995445032623415,0.9536044166047352,True,0.9907669580204358,0.9192058604947446,True
150,0.9953299741919627,0.9549743770984273,True,0.9918889025439351,0.9290687400600813,True,0.9891852033919135,0.9109029863933558,True
