# Normalization constant A(k)
# Node type: a
# p0: 0.635595, alpha: 1.470588, gamma: 3.564994
# A_asymptotic: 18.174827
# Generated: 2026-02-15T17:50:50.158024
k,A_k,A_asymptotic
0,18.174827372007737,18.174827372007734
1,18.174827372007737,18.174827372007734
2,18.174827372007737,18.174827372007734
3,18.174827372007723,18.174827372007734
4,18.174827372007726,18.174827372007734
5,18.174827372007726,18.174827372007734
6,18.174827372007726,18.174827372007734
7,18.174827372007726,18.174827372007734
8,18.174827372007734,18.174827372007734
9,18.174827372007737,18.174827372007734
10,18.174827372007734,18.174827372007734
11,18.174827372007822,18.174827372007734
12,18.17482737200782,18.174827372007734
13,18.174827372007822,18.174827372007734
14,18.174827372007833,18.174827372007734
15,18.174827372007716,18.174827372007734
16,18.17482737200772,18.174827372007734
17,18.174827372007716,18.174827372007734
18,18.17482737200771,18.174827372007734
19,18.174827372007694,18.174827372007734
20,18.174827372007712,18.174827372007734
21,18.1748273720077,18.174827372007734
22,18.174827372007698,18.174827372007734
23,18.17482737200771,18.174827372007734
24,18.17482737200768,18.174827372007734
25,18.174827372007694,18.174827372007734
