# Normalization constant A(k)
# Node type: b
# p0: 0.258622, alpha: 15.625000, gamma: 6.450612
# A_asymptotic: 35459730.516718
# Generated: 2026-02-15T17:50:50.160032
k,A_k,A_asymptotic
0,35459730.51671849,35459730.5167185
1,35459730.51671851,35459730.5167185
2,35459730.516718514,35459730.5167185
3,35459730.516718514,35459730.5167185
4,35459730.516718514,35459730.5167185
5,35459730.51671854,35459730.5167185
6,35459730.51671852,35459730.5167185
7,35459730.51671849,35459730.5167185
8,35459730.51671851,35459730.5167185
9,35459730.51671851,35459730.5167185
10,35459730.51671807,35459730.5167185
11,35459730.516718045,35459730.5167185
12,35459730.51671795,35459730.5167185
13,35459730.51671789,35459730.5167185
14,35459730.51671825,35459730.5167185
15,35459730.51671818,35459730.5167185
16,35459730.5167183,35459730.5167185
17,35459730.51671816,35459730.5167185
18,35459730.516718134,35459730.5167185
19,35459730.51671803,35459730.5167185
20,35459730.516718306,35459730.5167185
21,35459730.51671796,35459730.5167185
22,35459730.51671791,35459730.5167185
23,35459730.516717635,35459730.5167185
24,35459730.5167183,35459730.5167185
25,35459730.51671791,35459730.5167185
