# In-degree distribution (discrete linear)
# Node type: a
# N: 20030, m: 3
# h: 0.2, f_a: 0.2
# Generated: 2026-02-15T17:50:49.041140
k,empirical_prob,theory_prob
0,0.6332273060924883,0.6355945194499252
1,0.18766821629557132,0.1856186243672593
2,0.07487154391974553,0.07598060664888967
3,0.03963787619280646,0.03748053760317903
4,0.02055297284071446,0.020852260399773115
5,0.015904086126743332,0.012624989638800996
6,0.008808416931734769,0.00814014658986995
7,0.0036701737215561535,0.005510509802204634
8,0.0019574259848299485,0.0038782718695460077
9,0.0019574259848299485,0.0028176352734156753
10,0.0026914607291411794,0.0021019647443268888
11,0.0004893564962074871,0.0016035808858749386
12,0.0014680694886224615,0.0012470764579756053
13,0.0007340347443112308,0.0009861038714393928
14,0.0007340347443112308,0.0007911861674259814
15,0.00024467824810374357,0.0006430124042394218
16,0.0,0.0005285991934913254
17,0.00024467824810374357,0.0004390151318882827
18,0.0009787129924149743,0.0003679897219197653
19,0.00024467824810374357,0.00031103951784224515
20,0.00024467824810374357,0.00026490566642191755
21,0.00024467824810374357,0.00022718387220622236
22,0.0,0.00019607609409245288
23,0.0,0.00017022090553893944
24,0.0,0.00014857568047920184
25,0.00024467824810374357,0.00013033353235106617
26,0.00024467824810374357,0.0001148639389229721
27,0.0004893564962074871,0.00010166975308645384
28,0.0,9.035570719032201e-05
29,0.0,8.060508312120833e-05
30,0.0,7.216225331697108e-05
31,0.00024467824810374357,6.481948990135987e-05
32,0.0,5.840690904431174e-05
33,0.00024467824810374357,5.2784740828904456e-05
34,0.0,4.7837339818419175e-05
35,0.00024467824810374357,4.346850979507341e-05
36,0.0,3.9597828698642416e-05
37,0.0,3.6157740628096185e-05
38,0.0,3.3091240364800186e-05
39,0.0,3.035001872471153e-05
40,0.00024467824810374357,2.7892968642660988e-05
41,0.00024467824810374357,2.568497537373366e-05
42,0.0,2.3695931779618353e-05
43,0.0,2.1899932927430653e-05
44,0.0,2.0274614295750016e-05
45,0.0,1.8800605575515046e-05
46,0.0,1.7461077968222784e-05
47,0.0,1.6241367458337476e-05
48,0.0004893564962074871,1.5128660094610599e-05
49,0.0,1.4111728096965448e-05
50,0.0,1.318070779216898e-05
51,0.0,1.2326912108592099e-05
52,0.0,1.1542671731000615e-05
53,0.0,1.082120010901808e-05
54,0.00024467824810374357,1.015647838787723e-05
55,0.0,9.54315703363713e-06
56,0.0,8.976471493069376e-06
57,0.0,8.45216968880964e-06
58,0.0,7.966449524953309e-06
59,0.0,7.5159048841142154e-06
60,0.0,7.09747884756788e-06
61,0.0,6.708423076173509e-06
62,0.0,6.346262459691159e-06
63,0.0,6.008764282785569e-06
64,0.0,5.693911272719767e-06
65,0.0,5.399877990918147e-06
66,0.0,5.125010111728332e-06
67,0.0,4.867806199604002e-06
68,0.0,4.62690165297595e-06
69,0.0,4.401054531047578e-06
70,0.0,4.189133020253874e-06
71,0.0,3.990104331371504e-06
72,0.0,3.8030248473086786e-06
73,0.0,3.6270313662858374e-06
74,0.0,3.4613333061451972e-06
75,0.0,3.3052057534669364e-06
76,0.0,3.1579832565368917e-06
77,0.00024467824810374357,3.019054274358343e-06
78,0.0,2.8878562052221795e-06
79,0.0,2.76387092806979e-06
80,0.0,2.646620798287504e-06
81,0.0,2.5356650468131023e-06
82,0.0,2.4305965377171753e-06
83,0.0,2.33103884486464e-06
84,0.0,2.2366436129903155e-06
85,0.0,2.1470881726287873e-06
86,0.0,2.0620733819354213e-06
87,0.0,1.981321671558098e-06
88,0.0,1.90457527145556e-06
89,0.0,1.831594600957321e-06
90,0.0,1.7621568054621703e-06
91,0.0,1.696054425014357e-06
92,0.0,1.6330941816238485e-06
93,0.0,1.5730958736255988e-06
94,0.0,1.5158913666349458e-06
95,0.0,1.4613236717679693e-06
96,0.0,1.4092461027859118e-06
97,0.0,1.359521504688746e-06
98,0.0,1.312021547061782e-06
99,0.0,1.266626076164817e-06
100,0.0,1.2232225203612843e-06
101,0.0,1.18170534403093e-06
102,0.0,1.141975545593739e-06
103,0.0,1.103940195700111e-06
104,0.00024467824810374357,1.067512012034647e-06
