# In-degree distribution (log-binned)
# Node type: b
# N: 20030, m: 3
# h: 0.2, f_a: 0.2
# Generated: 2026-02-15T17:50:48.358836
k,theory_prob,empirical_prob
0.0,0.25862176509268764,
1.0,0.18305110116704232,
2.0,0.13188055689263017,
3.0,0.09654561713229586,
4.0,0.07170960060416656,
5.0,0.05397000513793924,
6.0,0.04111195556020207,
7.0,0.031666132158434744,
8.0,0.024640796585375144,
9.0,0.019355842865642358,
10.0,0.01533799659572612,
11.0,0.012253426783085336,
12.0,0.009863687130595534,
13.0,0.007996462609187984,
14.0,0.006525865960673528,
15.0,0.005358988206756687,
16.0,0.004426602964129768,
17.0,0.0036766662834040965,
18.0,0.0030697212777130445,
19.0,0.002575615764695133,
20.0,0.0021711349285141773,
21.0,0.00183827823795415,
22.0,0.0015629944042579707,
23.0,0.0013342449902606311,
24.0,0.0011433058920211825,
25.0,0.0009832424147371097,
26.0,0.0008485120305251818,
27.0,0.0007346617510463376,
28.0,0.0006380961109386965,
29.0,0.0005558982056536682,
30.0,0.0004856908507159488,
31.0,0.0004255282698891289,
32.0,0.00037381115069870903,
33.0,0.00032921968710683335,
34.0,0.00029066054309188455,
35.0,0.00025722464623861727,
36.0,0.00022815344885417657,
37.0,0.00020281184128897412,
38.0,0.0001806663154622515,
39.0,0.0001612672904924658,
40.0,0.00014423475196367744,
41.0,0.00012924654020631234,
42.0,0.00011602876469850522,
43.0,0.0001043479314587067,
44.0,9.40044556911606e-05,
45.0,8.482729866124616e-05,
46.0,7.666952012060261e-05,
47.0,6.940457883350547e-05,
48.0,6.292324636223516e-05,
49.0,5.713102515120889e-05,
50.0,5.194598256978884e-05,
51.0,4.729692905948825e-05,
52.0,4.312188175711915e-05,
53.0,3.936676561116472e-05,
54.0,3.5984312605248985e-05,
55.0,3.293312666631339e-05,
56.0,3.0176887493172577e-05,
57.0,2.7683671152015334e-05,
58.0,2.5425369053651867e-05,
59.0,2.3377190015564962e-05,
60.0,2.151723264959711e-05,
61.0,1.982611740710084e-05,
62.0,1.8286669340633782e-05,
63.0,1.6883644071681348e-05,
64.0,1.560349064129195e-05,
65.0,1.443414590863634e-05,
66.0,1.3364855986532089e-05,
0.0,,0.2578561124004265
1.0,,0.1805180957159882
2.0,,0.13654895565451922
3.0,,0.09370883773442891
4.0,,0.07501724894938218
5.0,,0.05243680612180895
6.0,,0.03901398732986264
7.0,,0.032114407576993034
8.0,,0.025402998181019883
9.0,,0.01925609985573606
10.0,,0.015053628551715487
11.0,,0.013360095339647495
12.0,,0.010851157247694913
13.0,,0.00721319701436367
14.0,,0.006272345229881453
15.0,,0.005017876183905162
16.0,,0.0038888540425265007
17.0,,0.004014300947124129
18.0,,0.0023207677350561375
19.0,,0.0026971084488490245
20.0,,0.002258044282757323
21.0,,0.002132597378159694
22.0,,0.0016935332120679922
23.0,,0.001066298689079847
24.0,,0.0012544690459762905
25.0,,0.001317192498275105
26.0,,0.0006272345229881453
27.0,,0.0008781283321834033
28.0,,0.0008154048798845888
29.0,,0.0006272345229881453
30.0,,0.0005017876183905162
31.0,,0.0010035752367810323
32.0,,0.0005645110706893308
33.0,,0.00012544690459762904
34.0,,0.0001881703568964436
35.0,,0.00031361726149407263
36.0,,6.272345229881452e-05
37.0,,0.00012544690459762904
38.0,,0.00012544690459762904
39.0,,0.00012544690459762904
40.0,,0.0002508938091952581
41.0,,0.0001881703568964436
42.0,,6.272345229881452e-05
43.0,,6.272345229881452e-05
44.0,,6.272345229881452e-05
45.0,,0.00031361726149407263
46.0,,6.272345229881452e-05
47.0,,0.00012544690459762904
48.0,,0.00012544690459762904
50.0,,6.272345229881452e-05
52.0,,6.272345229881452e-05
57.0,,6.272345229881452e-05
61.0,,6.272345229881452e-05
62.0,,6.272345229881452e-05
65.49809157525127,,6.272345229881452e-05
