# frac_edges grid for p_c=0.1
# Generated: 2026-02-15T15:22:52.236811
# Valid region: n0 > m
m,n0,frac_edges,valid
1,10,1.0,True
6,10,1.0,True
11,10,,False
16,10,,False
21,10,,False
1,30,0.9604989604989606,True
6,30,0.8000690607734806,True
11,30,0.7890123984608807,True
16,30,0.7915470494417863,True
21,30,0.6085050416483998,True
1,50,0.9775510204081632,True
6,50,0.6776968894771674,True
11,50,0.6155271828665568,True
16,50,0.6742285472734958,True
21,50,0.7067146580613132,True
1,70,1.0,True
6,70,0.5493004663557628,True
11,70,0.6115975870791983,True
16,70,0.550561797752809,True
21,70,0.4591947769314472,True
1,90,1.0,True
6,90,0.5746344780686842,True
11,90,0.5972144846796658,True
16,90,0.45060373216245886,True
21,90,0.3967463141840366,True
