# Sterling PMF: p(k) = A*(k+alpha)^(-gamma)
# Node type: a
# A: 5.623861, alpha: 1.923077, gamma: 2.599950
# Generated: 2026-02-18T19:13:43.638047
k,pmf,A,alpha,gamma
0,1.0272056399277922,5.623860792646541,1.923076923076923,2.5999502116006967
1,0.3458383259417449,5.623860792646541,1.923076923076923,2.5999502116006967
2,0.1609290234600768,5.623860792646541,1.923076923076923,2.5999502116006967
3,0.08917719566164234,5.623860792646541,1.923076923076923,2.5999502116006967
4,0.055137853672643115,5.623860792646541,1.923076923076923,2.5999502116006967
5,0.03675349050766451,5.623860792646541,1.923076923076923,2.5999502116006967
6,0.02587946227598663,5.623860792646541,1.923076923076923,2.5999502116006967
7,0.018999572563528452,5.623860792646541,1.923076923076923,2.5999502116006967
8,0.014414635093748632,5.623860792646541,1.923076923076923,2.5999502116006967
9,0.011230246272891858,5.623860792646541,1.923076923076923,2.5999502116006967
10,0.008942901647183872,5.623860792646541,1.923076923076923,2.5999502116006967
11,0.007253347402517933,5.623860792646541,1.923076923076923,2.5999502116006967
12,0.005975578116531047,5.623860792646541,1.923076923076923,2.5999502116006967
13,0.004989548227770081,5.623860792646541,1.923076923076923,2.5999502116006967
14,0.00421525863643948,5.623860792646541,1.923076923076923,2.5999502116006967
15,0.003597903177411814,5.623860792646541,1.923076923076923,2.5999502116006967
16,0.0030990193560725965,5.623860792646541,1.923076923076923,2.5999502116006967
17,0.002691036441668841,5.623860792646541,1.923076923076923,2.5999502116006967
18,0.0023538163994081232,5.623860792646541,1.923076923076923,2.5999502116006967
19,0.0020724014114511537,5.623860792646541,1.923076923076923,2.5999502116006967
20,0.001835512740657383,5.623860792646541,1.923076923076923,2.5999502116006967
21,0.0016345293273711684,5.623860792646541,1.923076923076923,2.5999502116006967
22,0.0014627796696046358,5.623860792646541,1.923076923076923,2.5999502116006967
23,0.0013150424919706847,5.623860792646541,1.923076923076923,2.5999502116006967
24,0.0011871891558712197,5.623860792646541,1.923076923076923,2.5999502116006967
25,0.0010759239286341727,5.623860792646541,1.923076923076923,2.5999502116006967
