# Normalization constant A(k)
# Node type: b
# p0: 0.502675, alpha: 2.173913, gamma: 3.197298
# A_asymptotic: 19.712125
# Generated: 2026-03-13T16:19:29.030073
k,A_k,A_asymptotic
0,19.71212526525136,19.71212526525136
1,19.712125265251355,19.71212526525136
2,19.71212526525135,19.71212526525136
3,19.712125265251345,19.71212526525136
4,19.71212526525134,19.71212526525136
5,19.71212526525134,19.71212526525136
6,19.712125265251352,19.71212526525136
7,19.71212526525135,19.71212526525136
8,19.712125265251352,19.71212526525136
9,19.71212526525134,19.71212526525136
10,19.71212526525134,19.71212526525136
