# Sterling PMF: p(k) = A*(k+alpha)^(-gamma)
# Node type: a
# A: 8.481989, alpha: 1.851852, gamma: 2.871772
# Generated: 2026-03-13T16:19:29.049052
k,pmf,A,alpha,gamma
0,1.4454182595809795,8.481988708076509,1.8518518518518516,2.871772170576951
1,0.4182892941571125,8.481988708076509,1.8518518518518516,2.871772170576951
2,0.17643636548527478,8.481988708076509,1.8518518518518516,2.871772170576951
3,0.09093425841776628,8.481988708076509,1.8518518518518516,2.871772170576951
4,0.05308918751484739,8.481988708076509,1.8518518518518516,2.871772170576951
5,0.03374796875048273,8.481988708076509,1.8518518518518516,2.871772170576951
6,0.02282137088362642,8.481988708076509,1.8518518518518516,2.871772170576951
7,0.016174520374733752,8.481988708076509,1.8518518518518516,2.871772170576951
8,0.011894349973525052,8.481988708076509,1.8518518518518516,2.871772170576951
9,0.009010866038099951,8.481988708076509,1.8518518518518516,2.871772170576951
10,0.0069956540246914126,8.481988708076509,1.8518518518518516,2.871772170576951
