# Sterling PMF: p(k) = A*(k+alpha)^(-gamma)
# Node type: b
# A: 19.712125, alpha: 2.173913, gamma: 3.197298
# Generated: 2026-03-13T16:19:29.056058
k,pmf,A,alpha,gamma
0,1.6461515646775595,19.71212526525136,2.173913043478261,3.1972977654598993
1,0.49089069568884125,19.71212526525136,2.173913043478261,3.1972977654598993
2,0.20448969804911707,19.71212526525136,2.173913043478261,3.1972977654598993
3,0.10290610864066273,19.71212526525136,2.173913043478261,3.1972977654598993
4,0.058489256863411644,19.71212526525136,2.173913043478261,3.1972977654598993
5,0.0361931479231587,19.71212526525136,2.173913043478261,3.1972977654598993
6,0.0238464100637879,19.71212526525136,2.173913043478261,3.1972977654598993
7,0.016487686343143886,19.71212526525136,2.173913043478261,3.1972977654598993
8,0.01184388687906838,19.71212526525136,2.173913043478261,3.1972977654598993
9,0.00877625083668615,19.71212526525136,2.173913043478261,3.1972977654598993
10,0.006672520430831144,19.71212526525136,2.173913043478261,3.1972977654598993
