# Linear-scale discrete degree distribution
# Node type: a, n=607
# N: 1005, m: 2
# h: 0.7, f_a: 0.6
# Theories: Diamond, Sterling
# Generated: 2026-03-13T16:19:26.868266
k,empirical_pmf,Diamond_pmf,Sterling_pmf
0,0.5189456342668863,0.5026748563503071,1.4454182595809795
1,0.1812191103789127,0.1970688943894899,0.4182892941571125
2,0.09719934102141681,0.09819151104348328,0.17643636548527478
3,0.039538714991762765,0.05625227591359974,0.09093425841776628
4,0.032948929159802305,0.0353367419581429,0.05308918751484739
5,0.02800658978583196,0.02370406821001405,0.03374796875048273
6,0.018121911037891267,0.016703315891952623,0.02282137088362642
7,0.014827018121911038,0.012230190236433703,0.016174520374733752
8,0.004942339373970346,0.009234331626957765,0.011894349973525052
9,0.009884678747940691,0.007150106524626124,0.009010866038099951
10,0.006589785831960461,0.005653892630940057,0.0069956540246914126
11,0.006589785831960461,0.004551128020255208,0.005543714090544289
12,0.004942339373970346,0.0037199072549495525,0.004470408890878699
13,0.004942339373970346,0.0030811266821763133,0.003659407286994748
14,0.004942339373970346,0.0025818894015446165,0.003034878643778545
15,0.0016474464579901153,0.002185887104020292,0.00254592236288224
16,0.0016474464579901153,0.001867620554921089,0.002157488537707663
17,0.004942339373970346,0.0016088153995575713,0.0018448944013398653
18,0.0016474464579901153,0.001396136737503994,0.0015904089896825713
19,0.0016474464579901153,0.0012196953994002353,0.0013810673258122799
20,0.0016474464579901153,0.001072049858345174,0.0012072372239757734
21,,0.0009475259234287682,0.001061658965891456
22,,0.000841744616120341,0.0009387891240729366
23,0.0016474464579901153,0.0007512891164740896,0.0008343441907994913
24,0.0032948929159802307,0.0006734662757443866,0.0007449780107219163
25,0.0016474464579901153,0.0006061334869920124,0.000668050399626629
26,,0.0005475714059252847,0.0006014589097414831
27,,0.000496389282234668,0.0005435149729795785
28,,0.0004514537816283586,0.0004928516585787571
29,,0.0004118349299543081,0.000448354237430239
30,0.0016474464579901153,0.0003767646750514635,0.0004091073922752232
31,,0.0003456048425417482,0.0003743547098108554
32,,0.0003178221526275135,0.0003434673270833066
33,,0.000292968592081548,0.0003159194659456969
34,,0.0002706658820054246,0.00029126919660245077
35,,0.00025059310299544607,0.00026914320406353854
36,0.0016474464579901153,0.00023247677254899286,0.0002492246429988329
37,,0.0002160828404828324,0.00023124339310429137
38,,0.00020121019453280044,0.00021496819338620316
39,,0.0001876853625383897,0.00020020025685293772
40,,0.00017535816841820592,0.00018676805894945849
41,,0.00016409815273400746,0.00017452306213712403
42,,0.0001537916094898994,0.00016333619134084804
43,0.0016474464579901153,0.00014433912215737718,0.0001530949148950537
44,,0.0001356535061207125,0.00014370081626463433
45,,0.00012765808354009173,0.00013506756549658248
46,,0.00012028523132211403,0.00012711921776534203
47,,0.00011347515442994308,0.00011978878076622973
48,,0.00010717484588229833,0.00011301700402440327
49,,0.00010133720202724261,0.00010675135212686113
50,,9.592026744918051e-05,0.00010094513098511684
51,,9.088658849286706e-05,9.555674190226184e-05
52,,8.620265811160587e-05,9.054904276063115e-05
53,,8.183843775613882e-05,8.588879930413982e-05
54,,7.776694446354292e-05,8.154621244737651e-05
55,,7.396389329599354e-05,7.749450994540033e-05
56,,7.040738690724755e-05,7.370959271612681e-05
57,0.0016474464579901153,6.70776453514955e-05,7.016972770930093e-05
