# Network edges data
# Layout: spring
# N: 1005, m: 2
# h: 0.7, f_a: 0.6
# Initial core size (n0): 5
# Added nodes: 1000
# Generated: 2026-03-13T16:19:24.844865
source,target,source_origin,target_origin,source_type,target_type
0,1,initial_core,initial_core,Type a,Type b
0,2,initial_core,initial_core,Type a,Type a
1,2,initial_core,initial_core,Type b,Type a
1,4,initial_core,initial_core,Type b,Type a
2,3,initial_core,initial_core,Type a,Type b
2,1,initial_core,initial_core,Type a,Type b
3,0,initial_core,initial_core,Type b,Type a
3,2,initial_core,initial_core,Type b,Type a
4,2,initial_core,initial_core,Type a,Type a
4,1,initial_core,initial_core,Type a,Type b
5,4,added,initial_core,Type a,Type a
5,1,added,initial_core,Type a,Type b
6,1,added,initial_core,Type a,Type b
6,3,added,initial_core,Type a,Type b
7,3,added,initial_core,Type a,Type b
7,1,added,initial_core,Type a,Type b
8,1,added,initial_core,Type a,Type b
8,2,added,initial_core,Type a,Type a
9,8,added,added,Type a,Type a
9,1,added,initial_core,Type a,Type b
10,1,added,initial_core,Type a,Type b
10,4,added,initial_core,Type a,Type a
11,0,added,initial_core,Type b,Type a
11,3,added,initial_core,Type b,Type b
12,3,added,initial_core,Type a,Type b
12,4,added,initial_core,Type a,Type a
13,1,added,initial_core,Type b,Type b
13,8,added,added,Type b,Type a
14,11,added,added,Type b,Type b
14,0,added,initial_core,Type b,Type a
15,14,added,added,Type a,Type b
15,3,added,initial_core,Type a,Type b
16,4,added,initial_core,Type b,Type a
16,9,added,added,Type b,Type a
17,0,added,initial_core,Type a,Type a
17,1,added,initial_core,Type a,Type b
18,1,added,initial_core,Type a,Type b
18,16,added,added,Type a,Type b
19,12,added,added,Type b,Type a
19,5,added,added,Type b,Type a
20,13,added,added,Type b,Type b
20,17,added,added,Type b,Type a
21,14,added,added,Type b,Type b
21,1,added,initial_core,Type b,Type b
22,0,added,initial_core,Type a,Type a
22,7,added,added,Type a,Type a
23,0,added,initial_core,Type b,Type a
23,1,added,initial_core,Type b,Type b
24,2,added,initial_core,Type a,Type a
24,15,added,added,Type a,Type a
25,10,added,added,Type a,Type a
25,5,added,added,Type a,Type a
26,22,added,added,Type a,Type a
26,23,added,added,Type a,Type b
27,19,added,added,Type a,Type b
27,3,added,initial_core,Type a,Type b
28,4,added,initial_core,Type a,Type a
28,8,added,added,Type a,Type a
29,4,added,initial_core,Type b,Type a
29,0,added,initial_core,Type b,Type a
30,1,added,initial_core,Type b,Type b
30,7,added,added,Type b,Type a
31,8,added,added,Type b,Type a
31,5,added,added,Type b,Type a
32,0,added,initial_core,Type b,Type a
32,10,added,added,Type b,Type a
33,32,added,added,Type a,Type b
33,20,added,added,Type a,Type b
34,1,added,initial_core,Type a,Type b
34,7,added,added,Type a,Type a
35,4,added,initial_core,Type b,Type a
35,30,added,added,Type b,Type b
36,5,added,added,Type b,Type a
36,29,added,added,Type b,Type b
37,1,added,initial_core,Type a,Type b
37,10,added,added,Type a,Type a
38,30,added,added,Type b,Type b
38,35,added,added,Type b,Type b
39,22,added,added,Type b,Type a
39,20,added,added,Type b,Type b
40,23,added,added,Type b,Type b
40,37,added,added,Type b,Type a
41,1,added,initial_core,Type a,Type b
41,3,added,initial_core,Type a,Type b
42,5,added,added,Type a,Type a
42,28,added,added,Type a,Type a
43,8,added,added,Type a,Type a
43,29,added,added,Type a,Type b
44,1,added,initial_core,Type a,Type b
44,3,added,initial_core,Type a,Type b
45,30,added,added,Type a,Type b
45,2,added,initial_core,Type a,Type a
46,30,added,added,Type a,Type b
46,15,added,added,Type a,Type a
47,1,added,initial_core,Type b,Type b
