# Raw node-level degree data
# Node type: b, n=398
# N: 1,005, m: 2
# h: 0.7, f_a: 0.6
# Generated: 2026-03-13T16:19:24.988027
node_id,in_degree
1,57
3,33
11,20
13,5
14,21
16,1
19,3
20,29
21,11
23,17
29,19
30,24
31,10
32,13
35,8
36,3
38,3
39,6
40,6
47,10
49,5
54,1
56,3
61,6
63,3
72,2
73,0
74,3
77,3
84,1
86,4
87,4
89,2
90,1
97,7
99,8
106,2
107,6
109,3
110,12
112,8
113,1
114,0
115,2
118,15
119,6
124,4
126,3
127,7
131,2
132,7
138,1
141,1
149,10
150,1
158,3
159,4
161,1
162,6
163,3
164,3
166,6
168,1
171,3
172,1
181,7
183,2
189,3
190,0
193,6
194,1
200,0
202,0
203,3
206,0
208,5
210,1
215,1
216,0
219,0
220,0
222,3
223,1
225,1
227,4
229,1
231,2
232,1
234,0
237,1
242,1
243,2
244,4
245,1
246,4
250,0
251,0
256,1
257,2
259,2
267,8
268,2
269,1
277,3
279,1
280,3
283,1
284,1
288,2
290,1
292,4
293,0
298,2
300,0
302,1
304,1
309,0
314,1
316,3
320,0
321,0
329,4
330,0
331,5
332,0
341,4
343,1
344,1
350,1
353,0
355,0
357,0
362,0
363,0
365,0
366,2
367,1
371,2
372,0
376,0
377,1
378,2
379,3
381,2
385,1
386,0
387,0
388,1
390,1
391,3
392,0
394,1
395,0
396,4
397,0
399,0
402,0
404,4
405,1
407,1
408,1
409,0
410,3
411,4
413,1
416,1
419,1
421,1
422,1
423,0
424,1
427,2
429,2
431,0
432,0
433,1
437,0
438,0
440,0
443,4
444,4
446,0
447,2
448,3
451,2
452,0
458,0
462,1
465,2
466,3
474,1
478,0
480,0
484,2
486,1
487,1
491,1
492,0
493,0
494,0
495,0
496,1
498,2
499,0
501,1
502,0
503,3
510,4
511,1
513,0
515,0
516,0
519,0
520,0
522,1
526,0
533,0
536,0
537,0
538,3
541,0
542,0
543,1
545,0
548,0
549,1
551,0
553,2
554,0
555,0
557,0
560,0
561,1
565,3
572,1
575,3
577,2
579,0
581,0
582,1
583,0
586,0
588,1
591,0
593,0
594,1
595,2
599,1
600,0
601,0
603,1
604,1
605,0
610,0
612,1
613,1
614,0
617,0
621,0
623,4
625,1
628,0
632,1
648,0
652,0
654,1
656,0
657,1
658,1
659,0
660,0
662,0
670,0
674,0
675,0
677,0
678,0
680,0
681,1
682,0
684,0
685,1
690,2
691,0
698,0
702,0
705,0
710,2
717,0
720,0
728,0
730,0
732,0
734,0
737,0
738,0
741,0
742,0
746,0
754,1
755,0
757,0
761,0
762,0
766,2
767,0
772,0
775,0
776,0
781,0
782,0
785,0
786,0
787,0
793,0
797,0
799,3
800,1
801,0
802,0
803,0
805,0
806,1
809,0
811,0
814,0
816,0
823,0
824,0
826,0
829,0
830,0
831,1
834,0
836,0
839,1
845,1
846,2
849,0
855,0
856,0
859,0
863,0
864,0
865,1
866,0
868,0
869,1
872,0
874,0
880,2
883,0
885,0
887,0
889,0
890,0
893,0
897,0
898,0
902,0
903,0
905,1
911,0
913,0
915,0
916,0
918,0
919,0
923,0
926,0
928,0
929,0
932,0
934,0
936,0
939,0
940,2
942,0
945,0
950,0
953,0
957,0
959,0
960,0
964,0
965,0
966,0
968,0
970,0
973,0
976,0
984,0
985,0
991,0
994,0
997,0
1001,0
1002,0
