# Normalization constant A(k)
# Node type: a
# p0: 0.502800, alpha: 1.851852, gamma: 2.872708
# A_asymptotic: 8.495568
# Generated: 2026-03-18T18:24:07.568830
k,A_k,A_asymptotic
0,8.495568017276367,8.495568017276367
1,8.495568017276367,8.495568017276367
2,8.495568017276366,8.495568017276367
3,8.495568017276359,8.495568017276367
4,8.495568017276343,8.495568017276367
5,8.49556801727634,8.495568017276367
6,8.495568017276337,8.495568017276367
7,8.495568017276337,8.495568017276367
8,8.49556801727633,8.495568017276367
9,8.495568017276335,8.495568017276367
10,8.495568017276332,8.495568017276367
