# Raw node-level degree data
# Node type: a, n=16,701
# N: 28,005, m: 2
# h: 0.7, f_a: 0.6
# Generated: 2026-03-18T18:24:01.878127
node_id,in_degree
0,185
2,337
4,183
5,212
6,60
7,84
8,194
9,70
10,122
12,105
15,147
17,86
18,63
22,133
24,35
25,76
26,40
27,108
28,47
33,45
34,81
37,66
41,33
42,13
43,86
44,65
45,54
46,26
48,21
50,50
51,88
52,16
53,8
55,240
57,68
58,22
59,69
60,108
62,34
64,28
65,37
66,60
67,44
68,19
69,21
70,14
71,93
75,60
76,11
78,57
79,18
80,41
81,20
82,30
83,90
85,72
88,89
91,60
92,41
93,8
94,35
95,17
96,41
98,34
100,112
101,30
102,19
103,28
104,115
105,133
108,59
111,10
116,32
117,35
120,33
121,84
122,74
123,28
125,20
128,6
129,41
130,78
133,40
134,28
135,55
136,15
137,23
139,14
140,32
142,24
143,20
144,30
145,23
146,11
147,47
148,19
151,15
152,13
153,7
154,4
155,4
156,13
157,13
160,32
165,31
167,54
169,17
170,21
173,4
174,32
175,4
176,70
177,51
178,35
179,12
180,35
182,53
184,11
185,3
186,19
187,27
188,12
191,16
192,25
195,56
196,11
197,32
198,16
199,22
201,13
204,27
205,24
207,27
209,15
211,13
212,42
213,4
214,6
217,18
218,33
221,4
224,15
226,4
228,22
230,4
233,2
235,4
236,3
238,27
239,16
240,4
241,13
247,17
248,36
249,16
252,12
253,5
254,28
255,21
258,8
260,23
261,43
262,38
263,27
264,64
265,11
266,10
270,26
271,37
272,1
273,48
274,38
275,33
276,36
278,25
281,46
282,24
285,2
286,18
287,11
289,9
291,26
294,0
295,34
296,21
297,3
299,15
301,32
303,14
305,20
306,21
307,31
308,19
310,4
311,87
312,32
313,8
315,19
317,31
318,16
319,35
322,9
323,2
324,39
325,13
326,1
327,34
328,6
333,27
334,10
335,30
336,9
337,22
338,23
339,23
340,22
342,6
345,12
346,17
347,22
348,47
349,14
351,34
352,7
354,8
356,5
358,29
359,14
360,6
361,10
364,7
368,12
369,2
370,9
373,4
374,6
375,26
380,9
382,18
383,5
384,21
389,19
393,2
398,34
400,19
401,8
403,11
406,13
412,13
414,46
415,8
417,15
418,7
420,42
425,8
426,3
428,20
430,8
434,21
435,22
436,23
439,24
441,16
442,15
445,17
449,44
450,4
453,19
454,29
455,21
456,24
457,26
459,34
460,8
461,7
463,12
464,11
467,32
468,6
469,26
470,24
471,11
472,11
473,13
475,1
476,20
477,24
479,5
481,15
482,6
483,8
485,8
488,12
489,13
490,13
497,29
500,6
504,8
505,10
506,7
507,13
508,7
509,9
512,9
514,18
517,11
518,6
521,14
523,20
524,14
525,17
527,1
528,4
529,17
530,8
531,2
532,24
534,10
535,5
539,8
540,9
544,10
546,38
547,0
550,3
552,33
556,2
558,3
559,15
562,14
563,12
564,2
566,9
567,7
568,4
569,22
570,6
571,23
573,19
574,17
576,12
578,41
580,11
584,9
585,8
587,17
589,8
590,10
592,12
596,8
597,7
598,3
602,16
606,40
607,19
608,14
609,12
611,1
615,18
616,5
618,23
619,10
620,5
622,0
624,16
626,7
627,20
629,19
630,13
631,13
633,15
634,11
635,6
636,2
637,6
638,14
639,7
640,4
641,6
642,8
643,7
644,15
645,25
646,22
647,2
649,11
650,15
651,10
653,6
655,10
661,0
663,3
664,2
665,4
666,18
667,2
668,26
669,4
671,8
672,20
673,3
676,18
679,3
683,10
686,5
687,17
688,4
689,17
692,10
693,20
694,7
695,4
696,10
697,2
699,10
700,1
701,12
703,8
704,19
706,4
707,7
708,6
709,6
711,10
712,2
713,0
714,11
715,5
716,48
718,16
719,11
721,18
722,3
723,10
724,42
725,8
726,4
727,34
729,12
731,34
733,10
735,15
736,6
739,12
740,1
743,16
744,5
745,9
747,7
748,10
749,8
750,23
751,7
752,5
753,10
756,6
758,3
759,25
760,11
763,25
764,3
765,6
768,5
769,9
770,23
771,11
773,7
774,17
777,12
778,3
779,6
780,6
783,15
784,14
788,11
789,5
790,8
791,1
792,8
794,13
795,14
796,9
798,13
804,8
807,10
808,3
810,23
812,7
813,6
815,2
817,1
818,8
819,17
820,20
821,30
822,12
825,5
827,4
828,12
832,13
833,5
835,22
837,27
838,6
840,10
841,13
842,15
843,16
844,9
847,25
848,2
850,9
851,9
852,7
853,1
854,28
857,2
858,9
860,3
861,0
862,7
867,15
870,30
871,1
873,13
875,1
876,19
877,8
878,0
879,4
881,2
882,24
884,1
886,12
888,33
891,3
892,16
894,27
895,4
896,15
899,11
900,9
901,5
904,6
906,14
907,0
908,21
909,10
910,15
912,1
914,26
917,12
920,9
921,6
