# Raw node-level degree data
# Node type: b, n=14,102
# N: 28,005, m: 2
# h: 0.7, f_a: 0.5
# Generated: 2026-03-18T20:22:08.924580
node_id,in_degree
1,590
3,232
7,110
11,140
13,52
14,158
16,47
19,75
20,70
21,18
23,142
26,50
29,84
30,92
31,56
32,131
35,30
36,14
38,45
39,14
40,101
47,73
48,58
49,30
50,1
54,32
56,14
61,20
62,91
63,10
64,29
68,14
69,45
70,50
71,49
73,13
76,2
77,43
78,17
80,22
82,37
83,4
84,45
86,35
87,50
89,71
91,68
97,22
99,93
107,57
108,56
109,21
110,7
114,1
115,5
117,18
123,38
125,42
126,8
127,36
129,48
130,38
131,2
133,37
139,13
140,19
142,73
145,50
146,1
147,20
150,24
151,10
153,17
154,0
157,29
158,5
161,34
162,32
163,25
165,64
166,9
168,20
169,38
170,20
171,18
173,7
177,22
179,33
181,35
182,51
183,43
185,17
186,34
188,20
189,8
191,1
192,11
193,29
195,47
199,17
201,39
203,8
206,28
208,6
215,15
219,36
221,10
226,8
227,18
228,8
230,22
231,21
233,13
235,10
238,12
239,9
240,6
243,12
244,15
245,42
256,22
259,26
260,15
263,44
264,31
265,4
267,15
268,22
271,23
275,27
276,24
277,47
278,17
282,25
284,4
285,14
287,4
288,5
289,1
293,25
294,46
296,5
298,19
299,6
300,7
301,44
302,7
304,13
308,16
310,20
315,10
316,8
317,6
319,8
320,17
321,24
322,11
323,12
325,25
328,43
329,2
332,12
333,6
334,17
336,2
337,26
341,17
343,43
347,104
350,17
355,7
356,14
358,20
359,9
361,10
363,4
366,11
367,0
368,9
369,31
370,4
377,34
378,4
380,4
384,17
388,27
391,3
392,5
393,7
397,4
398,9
399,5
400,6
401,9
402,7
403,3
408,14
409,18
410,33
411,21
412,11
415,45
416,14
417,2
418,2
419,5
420,17
421,12
423,13
426,2
432,16
433,1
434,2
435,6
436,17
438,19
439,17
441,8
445,25
446,1
447,36
448,22
449,23
450,5
452,23
454,12
459,22
462,23
463,1
464,21
465,10
468,15
469,34
470,16
471,1
472,12
474,20
475,23
478,15
481,35
482,10
483,26
486,45
487,7
490,3
491,21
493,25
494,22
496,31
497,11
498,1
499,17
502,2
505,5
510,8
511,12
512,10
514,46
515,12
518,2
520,7
521,11
522,12
524,23
525,14
526,6
527,9
528,4
529,2
530,6
531,1
533,4
534,15
535,11
536,8
538,15
540,8
542,20
544,64
545,3
546,9
547,5
552,16
555,22
556,15
558,2
560,6
561,9
562,10
567,7
569,22
573,11
574,9
576,28
577,2
580,7
583,9
584,5
585,7
587,16
588,5
590,24
594,4
595,0
596,4
597,9
598,10
602,4
604,14
605,3
606,36
607,1
610,31
611,8
614,2
615,35
620,15
622,14
624,20
628,12
629,20
630,3
633,17
634,17
638,13
640,13
641,10
644,17
650,25
651,2
655,10
656,0
657,2
659,8
661,15
663,19
665,1
666,17
668,0
669,13
674,7
676,0
677,6
678,30
679,7
682,2
685,5
690,7
691,10
694,13
696,10
697,1
699,2
701,11
702,9
703,7
704,6
707,12
715,1
716,15
717,1
720,2
721,4
723,11
724,22
726,19
728,18
729,3
736,1
737,5
738,9
742,22
745,4
747,14
749,2
752,16
753,2
754,8
756,30
760,10
761,16
762,23
764,8
765,6
766,35
771,10
774,7
775,7
780,2
781,6
784,12
785,7
786,1
792,13
796,24
798,12
799,12
800,32
801,19
802,10
804,11
805,20
807,9
808,19
810,5
813,1
815,4
817,18
822,20
823,12
825,3
826,10
828,3
829,8
830,7
833,6
835,5
838,10
840,22
842,12
844,23
845,35
846,4
848,9
854,19
855,20
858,3
859,4
862,3
863,6
864,5
865,9
867,11
868,12
871,1
873,1
876,4
879,14
880,15
882,10
884,17
885,4
886,1
888,4
889,2
892,5
896,1
897,12
901,7
902,8
904,3
910,5
912,1
914,25
915,18
917,2
918,8
922,15
923,8
925,4
927,5
928,11
931,1
933,13
935,21
938,4
939,30
941,7
944,7
949,3
952,4
956,14
958,2
959,19
962,9
963,20
964,6
965,6
967,7
969,7
972,30
974,11
975,2
979,6
982,6
983,8
984,4
987,6
990,15
992,11
993,12
996,16
1000,7
1001,0
1003,9
1004,7
1006,2
1007,9
1008,1
1009,4
1012,17
1015,4
1019,22
1025,30
1026,6
1027,14
1029,21
1031,4
1032,1
1033,1
1035,4
1036,12
1037,2
1038,8
1039,17
1040,3
1041,7
1043,22
1044,3
1045,0
1047,1
1048,11
1052,4
1053,24
1055,12
1056,5
1057,11
1058,6
1059,5
1060,5
1064,2
1065,20
1066,5
1067,11
1069,17
1072,3
1074,4
1076,2
1077,8
1078,1
1079,4
1080,7
1083,3
1084,9
1085,3
1087,6
1094,1
1095,10
1097,1
1098,20
1105,3
1106,16
1107,2
1110,14
1112,1
1114,8
1116,21
1117,10
1118,12
1121,3
1122,19
1123,8
1127,4
1129,13
1131,7
1133,16
1134,14
1135,8
1138,6
1140,18
1145,4
1146,19
1149,2
1150,8
1151,23
1152,5
1156,8
1157,11
1159,13
1161,2
1162,2
1164,6
1165,2
1168,10
1169,5
1171,13
1173,6
1175,7
1176,12
1177,9
1181,10
1182,4
1183,6
1184,6
1185,12
1186,6
1190,6
1191,2
1195,6
1198,11
1199,6
1201,6
1203,3
1205,3
1206,4
1212,12
1215,25
1219,4
1220,3
1221,5
1225,5
1227,3
1228,19
1229,4
1232,1
1233,4
1237,2
1238,5
1240,2
1242,5
1243,8
1244,6
1246,31
1247,6
1249,8
1250,6
1252,7
1254,10
1255,4
1256,0
1257,0
1258,18
1259,11
1260,6
1261,6
1265,3
1271,49
1272,14
1283,2
1284,16
1285,16
1286,6
1287,4
1288,7
1290,4
1292,2
1297,3
1298,0
1299,1
1300,3
1304,2
1305,8
1306,24
1307,5
1308,6
1309,4
1311,18
1312,8
1313,3
1315,0
1316,8
1317,30
1322,10
1323,5
1325,13
1327,8
1328,0
1329,32
1335,4
1337,10
1340,11
1342,1
1343,4
1345,13
1346,1
1348,10
1349,2
1355,7
1357,7
1361,11
1363,3
1364,2
1365,4
1366,10
1368,8
1371,8
1373,2
1374,8
1375,8
1381,0
1382,15
1384,5
1387,11
1388,5
1389,0
1390,2
1392,15
1393,6
1394,16
1396,7
1398,3
1399,6
1400,15
1401,2
1402,1
1403,20
1404,1
1405,2
1407,1
1408,13
1410,6
1411,16
1412,6
1416,9
1417,2
1418,7
1423,13
1426,5
1430,2
1431,7
1432,3
1433,2
1434,4
1435,2
1436,13
1438,8
1441,5
1443,10
1444,15
1448,13
1449,9
1450,6
1451,9
1452,12
1457,0
1461,8
1463,17
1468,6
1469,4
1470,6
1472,27
1474,5
1476,6
1477,2
1478,23
1479,6
1480,7
1481,7
1483,1
1486,0
1487,0
1492,8
1494,13
1495,5
1496,1
1497,7
1498,7
1499,2
1500,15
1510,13
1511,5
1512,16
1513,2
1515,6
1516,12
1517,4
1518,1
1519,14
1521,1
1523,9
1525,1
1526,6
1531,7
1533,0
1535,4
1536,5
1537,7
1541,5
1542,2
1543,1
1546,13
1547,3
1551,1
1552,15
1554,8
1555,6
1558,6
1560,12
1563,6
1565,3
1566,1
1567,5
1568,10
1570,8
1571,5
1572,4
1573,3
1574,5
1575,4
1576,2
1578,19
1579,19
1582,9
1583,7
1585,4
1586,11
1587,14
1588,2
1589,8
1596,5
1597,13
1599,3
1600,9
1602,2
1603,11
1604,15
1606,4
1610,5
1612,4
1614,1
1621,8
1622,5
1623,7
1624,6
1626,0
1627,11
1628,10
1629,5
1633,6
1634,4
1635,13
1639,2
1640,8
1641,23
1642,4
1646,4
1647,13
1649,12
1653,2
1654,0
1656,14
1657,3
1658,1
1661,2
1662,3
1663,7
1666,9
1667,11
1668,5
1671,4
1672,1
1674,2
1675,9
1676,11
1679,3
1680,20
1682,15
1684,4
1685,4
1686,11
1687,5
1689,12
1690,1
1692,7
1694,10
1695,11
1696,0
1700,6
1702,1
1705,1
1709,8
1710,2
1711,7
1716,8
1720,5
1722,1
1723,2
1724,0
1726,6
1727,9
1736,11
1737,10
1739,2
1741,3
1742,2
1743,1
1744,4
1746,6
1750,2
1751,5
1752,3
1753,5
1754,6
1756,13
1757,4
1759,1
1760,2
1764,1
1765,5
1767,2
1769,6
1770,12
1771,1
1773,2
1774,3
1775,3
1779,0
1787,3
1788,7
1789,8
1792,3
1793,4
1795,4
1796,5
1797,7
1801,5
1804,7
1805,8
1808,10
1809,1
1810,4
1811,0
1813,1
1814,12
1817,2
1823,3
1824,6
1826,10
