# Linear-scale discrete degree distribution
# Node type: b, n=16977
# N: 28005, m: 2
# h: 0.7, f_a: 0.4
# Theories: Diamond, Sterling
# Generated: 2026-03-19T13:50:08.823259
k,empirical_pmf,Diamond_pmf,Sterling_pmf
0,0.5439123520056547,0.5447624527026543,2.1107579590249865
1,0.197443600164929,0.19906140171721237,0.5264613124817643
2,0.09730812275431466,0.0935571564975851,0.20023394367564323
3,0.048948577487188547,0.05098675855540197,0.0953168280525912
4,0.031689933439359136,0.030662353632583794,0.05217116816860039
5,0.020498321258172823,0.01978759587584756,0.03141127210225746
6,0.013606644283442304,0.013466754804859937,0.020268051140667247
7,0.009247805854980267,0.009553677918254991,0.01378411822987763
8,0.006420451198680567,0.007007671558645526,0.009769806743717887
9,0.004712257760499499,0.00528307119603695,0.007159090538666912
10,0.005006773870530718,0.004075319430306712,0.005391886013009273
11,0.0032396772103434057,0.0032054994574948065,0.004155300544383148
12,0.003004064322318431,0.0025639103205877603,0.003265472519182225
13,0.002532838546268481,0.0020808035498060596,0.0026096841165911405
14,0.0010013547741061436,0.001710426764856284,0.0021162953532397784
15,0.0012369676621311187,0.0014219426202099446,0.001738337231659699
16,0.0014136773281498499,0.001194065641999598,0.0014441712545763751
17,0.0004712257760499499,0.001011790585277562,0.0012119729024109452
18,0.0008246451080874123,0.0008643388470858105,0.00102636703668959
19,0.0007657418860811686,0.0007438363003770233,0.0008763166313868015
20,0.0008246451080874123,0.0006444424744599024,0.0007537640211116676
21,0.0006479354420686811,0.000561765147619397,0.0006527364012672113
22,0.00041232255404370616,0.0004924594474004318,0.0005687448035152531
23,0.0005301289980561937,0.0004339486376819778,0.0004983727164481923
24,0.0005301289980561937,0.00038422663694415605,0.00043898972674746693
25,0.00017670966601873123,0.0003417163546933702,0.00038854909170168354
26,0.00023561288802497496,0.00030516673736577694,0.00034544260500968813
27,5.890322200624374e-05,0.0002735770408641266,0.0003083951756991523
28,0.00011780644401248748,0.0002461405050315477,0.0002763873259368016
29,0.00023561288802497496,0.0002222020227364843,0.00024859757440450387
30,0.00017670966601873123,0.00020122601775248973,0.00022435915622826945
31,0.00017670966601873123,0.000182771848506516,0.00020312719619284343
32,0.00017670966601873123,0.00016647481469323448,0.00018445358448761188
33,5.890322200624374e-05,0.00015203137373891843,0.00016796758424118732
34,0.00017670966601873123,0.0001391875479329007,0.00015336074387053755
35,5.890322200624374e-05,0.00012772976955510753,0.00014037507066788196
36,,0.00011747760323522032,0.00012879369526340334
37,0.00017670966601873123,0.00010827792427460236,0.00011843345325662263
38,0.00017670966601873123,0.00010000023396566522,0.00010913895319838003
39,0.00017670966601873123,9.253286860439159e-05,0.00010077780485637176
40,5.890322200624374e-05,8.577991529566128e-05,9.323675913822583e-05
41,5.890322200624374e-05,7.965869001779575e-05,8.6418568755164e-05
42,5.890322200624374e-05,7.409766546455025e-05,8.023942204023471e-05
43,,6.903476059681893e-05,7.46268351044753e-05
44,0.00011780644401248748,6.441592255361546e-05,6.95179124661226e-05
45,,6.0193946010871484e-05,6.485790541096152e-05
46,5.890322200624374e-05,5.632748628083902e-05,6.059901208873156e-05
47,5.890322200624374e-05,5.278023118844398e-05,5.669937479004643e-05
48,,4.9520203621084566e-05,5.312223877249051e-05
49,,4.6519172058408346e-05,4.9835244004200566e-05
50,,4.3752150676643665e-05,4.6809826711810024e-05
51,5.890322200624374e-05,4.1196974036427785e-05,4.402071199211534e-05
52,0.00017670966601873123,3.883393409470608e-05,4.144548222772655e-05
53,,3.664546947578795e-05,3.9064208830750446e-05
54,0.00011780644401248748,3.461589870747431e-05,3.685913707460584e-05
55,5.890322200624374e-05,3.273119056261907e-05,3.4814415577737115e-05
56,,3.0978765813163176e-05,3.291586346379155e-05
57,,2.9347325656025765e-05,3.1150769410558606e-05
58,,2.782670285055874e-05,2.950771776931727e-05
59,5.890322200624374e-05,2.6407732248724038e-05,2.7976437730226734e-05
60,,2.5082137928429506e-05,2.654767216202771e-05
61,,2.384243457834932e-05,2.5213063292577004e-05
62,5.890322200624374e-05,2.268184114629531e-05,2.3965052842112246e-05
63,,2.1594205065923386e-05,2.2796794590827902e-05
64,,2.057393562953845e-05,2.170207767013867e-05
65,5.890322200624374e-05,1.96159452866024e-05,2.0675259124030072e-05
66,,1.8715597825459014e-05,1.971120450213752e-05
67,,1.786866254568372e-05,1.8805235426946486e-05
68,,1.707127365496228e-05,1.7953083229701518e-05
69,5.890322200624374e-05,1.63198942315472e-05,1.7150847878096438e-05
70,5.890322200624374e-05,1.561128418419369e-05,1.639496152755994e-05
71,,1.494247171881975e-05,1.5682156120209262e-05
72,,1.4310727887031006e-05,1.5009434534004788e-05
73,,1.3713543847962279e-05,1.4374044851518216e-05
74,,1.3148610523138372e-05,1.3773457374863742e-05
75,,1.2613800365412949e-05,1.3205344062261722e-05
76,,1.2107150998660818e-05,1.266756010367778e-05
77,,1.162685051554833e-05,1.2158127389068711e-05
78,,1.1171224247177302e-05,1.1675219653856934e-05
79,,1.073872284130995e-05,1.1217149113092628e-05
80,,1.0327911505725775e-05,1.0782354418972954e-05
81,,9.937460290468662e-06,1.0369389796498485e-05
82,,9.56613529775255e-06,9.976915229503628e-06
83,,9.212790721332667e-06,9.603687584477566e-06
84,,8.876361628539156e-06,9.248552572814557e-06
85,,8.55585740812655e-06,8.910437463669555e-06
86,,8.250355815814621e-06,8.588344469677695e-06
87,,7.958997557032503e-06,8.281344736622448e-06
88,,7.680981353096817e-06,7.98857287587521e-06
89,,7.415559442936831e-06,7.70922198522365e-06
90,,7.162033477718122e-06,7.442539109681192e-06
91,5.890322200624374e-05,6.919750770254554e-06,7.187821099131854e-06
92,,6.688100865186818e-06,6.9444108243053505e-06
93,,6.4665123994696125e-06,6.711693716675648e-06
