# Normalization constant A(k)
# Node type: a
# p0: 0.502675, alpha: 1.851852, gamma: 2.871772
# A_asymptotic: 8.481989
# Generated: 2026-03-13T16:16:31.628998
k,A_k,A_asymptotic
0,8.481988708076509,8.481988708076509
1,8.481988708076509,8.481988708076509
2,8.481988708076509,8.481988708076509
3,8.481988708076514,8.481988708076509
4,8.481988708076512,8.481988708076509
5,8.481988708076512,8.481988708076509
6,8.481988708076512,8.481988708076509
7,8.481988708076512,8.481988708076509
8,8.48198870807651,8.481988708076509
9,8.481988708076516,8.481988708076509
10,8.481988708076509,8.481988708076509
11,8.481988708076514,8.481988708076509
12,8.481988708076473,8.481988708076509
13,8.481988708076473,8.481988708076509
14,8.481988708076466,8.481988708076509
15,8.481988708076473,8.481988708076509
16,8.481988708076472,8.481988708076509
17,8.481988708076472,8.481988708076509
18,8.481988708076475,8.481988708076509
19,8.481988708076472,8.481988708076509
20,8.481988708076468,8.481988708076509
21,8.481988708076473,8.481988708076509
22,8.481988708076472,8.481988708076509
23,8.48198870807647,8.481988708076509
24,8.481988708076468,8.481988708076509
25,8.481988708076468,8.481988708076509
26,8.481988708076472,8.481988708076509
27,8.481988708076466,8.481988708076509
28,8.481988708076472,8.481988708076509
29,8.48198870807645,8.481988708076509
30,8.481988708076434,8.481988708076509
31,8.481988708076505,8.481988708076509
32,8.481988708076544,8.481988708076509
33,8.48198870807649,8.481988708076509
34,8.4819887080765,8.481988708076509
35,8.481988708076559,8.481988708076509
36,8.481988708076514,8.481988708076509
37,8.481988708076504,8.481988708076509
38,8.48198870807652,8.481988708076509
39,8.481988708076578,8.481988708076509
40,8.481988708076427,8.481988708076509
41,8.481988708076601,8.481988708076509
42,8.481988708076473,8.481988708076509
43,8.481988708076724,8.481988708076509
44,8.481988708076596,8.481988708076509
45,8.481988708076525,8.481988708076509
46,8.481988708076573,8.481988708076509
47,8.481988708076646,8.481988708076509
48,8.481988708076402,8.481988708076509
49,8.481988708076644,8.481988708076509
50,8.481988708076505,8.481988708076509
51,8.481988708076624,8.481988708076509
52,8.48198870807685,8.481988708076509
53,8.481988708076633,8.481988708076509
54,8.481988708076761,8.481988708076509
55,8.48198870807647,8.481988708076509
56,8.481988708076553,8.481988708076509
57,8.481988708076365,8.481988708076509
58,8.481988708076527,8.481988708076509
59,8.481988708076512,8.481988708076509
60,8.481988708076683,8.481988708076509
61,8.481988708076653,8.481988708076509
62,8.481988708076537,8.481988708076509
63,8.481988708076187,8.481988708076509
64,8.48198870807644,8.481988708076509
65,8.481988708076484,8.481988708076509
66,8.481988708076598,8.481988708076509
67,8.481988708076162,8.481988708076509
68,8.481988708076388,8.481988708076509
69,8.481988708076292,8.481988708076509
70,8.481988708076207,8.481988708076509
71,8.481988708076585,8.481988708076509
72,8.48198870807635,8.481988708076509
73,8.48198870807638,8.481988708076509
74,8.481988708076427,8.481988708076509
75,8.481988708076173,8.481988708076509
76,8.481988708076374,8.481988708076509
77,8.481988708076434,8.481988708076509
78,8.481988708076377,8.481988708076509
79,8.481988708076415,8.481988708076509
80,8.481988708076411,8.481988708076509
81,8.481988708076523,8.481988708076509
82,8.481988708076418,8.481988708076509
83,8.481988708076578,8.481988708076509
84,8.481988708076454,8.481988708076509
85,8.481988708076635,8.481988708076509
86,8.481988708076171,8.481988708076509
87,8.481988708076473,8.481988708076509
88,8.481988708076436,8.481988708076509
89,8.4819887080762,8.481988708076509
90,8.481988708076132,8.481988708076509
91,8.481988708076118,8.481988708076509
92,8.481988708076258,8.481988708076509
93,8.481988708076502,8.481988708076509
94,8.481988708076361,8.481988708076509
95,8.481988708076544,8.481988708076509
96,8.481988708076464,8.481988708076509
97,8.481988708076246,8.481988708076509
98,8.48198870807664,8.481988708076509
99,8.481988708076699,8.481988708076509
100,8.48198870807624,8.481988708076509
101,8.481988708076441,8.481988708076509
102,8.481988708076791,8.481988708076509
103,8.481988708076122,8.481988708076509
104,8.481988708075786,8.481988708076509
105,8.481988708076242,8.481988708076509
106,8.48198870807617,8.481988708076509
107,8.48198870807628,8.481988708076509
108,8.481988708076681,8.481988708076509
109,8.48198870807667,8.481988708076509
110,8.481988708076171,8.481988708076509
111,8.481988708076424,8.481988708076509
112,8.481988708076308,8.481988708076509
113,8.48198870807649,8.481988708076509
114,8.481988708076065,8.481988708076509
115,8.481988708076344,8.481988708076509
116,8.481988708076182,8.481988708076509
117,8.481988708076711,8.481988708076509
118,8.481988708075948,8.481988708076509
119,8.481988708076619,8.481988708076509
120,8.481988708076104,8.481988708076509
121,8.48198870807648,8.481988708076509
122,8.481988708075875,8.481988708076509
123,8.48198870807629,8.481988708076509
124,8.48198870807616,8.481988708076509
125,8.481988708075889,8.481988708076509
126,8.481988708076374,8.481988708076509
127,8.481988708076237,8.481988708076509
128,8.481988708076042,8.481988708076509
129,8.481988708076196,8.481988708076509
130,8.48198870807623,8.481988708076509
131,8.481988708076596,8.481988708076509
132,8.481988708076203,8.481988708076509
133,8.481988708076425,8.481988708076509
134,8.481988708076686,8.481988708076509
135,8.481988708076132,8.481988708076509
136,8.481988708076205,8.481988708076509
137,8.481988708076086,8.481988708076509
138,8.481988708075967,8.481988708076509
139,8.481988708075997,8.481988708076509
140,8.481988708075697,8.481988708076509
141,8.481988708076155,8.481988708076509
142,8.481988708076024,8.481988708076509
143,8.481988708075878,8.481988708076509
144,8.481988708076111,8.481988708076509
145,8.481988708076905,8.481988708076509
146,8.48198870807548,8.481988708076509
147,8.481988708077076,8.481988708076509
148,8.481988708076644,8.481988708076509
149,8.481988708076173,8.481988708076509
150,8.481988708076425,8.481988708076509
151,8.481988708076813,8.481988708076509
152,8.481988708076663,8.481988708076509
153,8.481988708076434,8.481988708076509
154,8.481988708076836,8.481988708076509
155,8.481988708075496,8.481988708076509
156,8.481988708075663,8.481988708076509
157,8.481988708075368,8.481988708076509
158,8.481988708076285,8.481988708076509
159,8.481988708077337,8.481988708076509
160,8.481988708075537,8.481988708076509
161,8.481988708075768,8.481988708076509
162,8.48198870807516,8.481988708076509
163,8.481988708076328,8.481988708076509
164,8.481988708075663,8.481988708076509
165,8.481988708077418,8.481988708076509
166,8.481988708076194,8.481988708076509
167,inf,8.481988708076509
168,inf,8.481988708076509
169,inf,8.481988708076509
170,,8.481988708076509
171,,8.481988708076509
172,,8.481988708076509
173,,8.481988708076509
174,,8.481988708076509
175,,8.481988708076509
176,,8.481988708076509
177,,8.481988708076509
178,,8.481988708076509
179,,8.481988708076509
180,,8.481988708076509
181,,8.481988708076509
182,,8.481988708076509
183,,8.481988708076509
184,,8.481988708076509
185,,8.481988708076509
186,,8.481988708076509
187,,8.481988708076509
