# Normalization constant A(k)
# Node type: b
# p0: 0.502675, alpha: 2.173913, gamma: 3.197298
# A_asymptotic: 19.712125
# Generated: 2026-03-13T16:16:31.688584
k,A_k,A_asymptotic
0,19.71212526525136,19.71212526525136
1,19.712125265251355,19.71212526525136
2,19.71212526525135,19.71212526525136
3,19.712125265251345,19.71212526525136
4,19.71212526525134,19.71212526525136
5,19.71212526525134,19.71212526525136
6,19.712125265251352,19.71212526525136
7,19.71212526525135,19.71212526525136
8,19.712125265251352,19.71212526525136
9,19.71212526525134,19.71212526525136
10,19.71212526525134,19.71212526525136
11,19.712125265251437,19.71212526525136
12,19.712125265251437,19.71212526525136
13,19.712125265251444,19.71212526525136
14,19.712125265251455,19.71212526525136
15,19.712125265251448,19.71212526525136
16,19.71212526525145,19.71212526525136
17,19.712125265251473,19.71212526525136
18,19.712125265251473,19.71212526525136
19,19.712125265251466,19.71212526525136
20,19.71212526525148,19.71212526525136
21,19.712125265251473,19.71212526525136
22,19.712125265251473,19.71212526525136
23,19.712125265251483,19.71212526525136
24,19.712125265251483,19.71212526525136
25,19.71212526525148,19.71212526525136
26,19.712125265251487,19.71212526525136
27,19.712125265251252,19.71212526525136
28,19.712125265251245,19.71212526525136
29,19.71212526525128,19.71212526525136
30,19.712125265251593,19.71212526525136
31,19.712125265251565,19.71212526525136
32,19.712125265251654,19.71212526525136
33,19.71212526525131,19.71212526525136
34,19.712125265251643,19.71212526525136
35,19.71212526525146,19.71212526525136
36,19.71212526525126,19.71212526525136
37,19.712125265251462,19.71212526525136
38,19.712125265251323,19.71212526525136
39,19.712125265251462,19.71212526525136
40,19.712125265251476,19.71212526525136
41,19.712125265251473,19.71212526525136
42,19.712125265251718,19.71212526525136
43,19.712125265251327,19.71212526525136
44,19.712125265251075,19.71212526525136
45,19.712125265251156,19.71212526525136
46,19.71212526525177,19.71212526525136
47,19.712125265251668,19.71212526525136
48,19.71212526525201,19.71212526525136
49,19.712125265250933,19.71212526525136
50,19.712125265251306,19.71212526525136
51,19.71212526525097,19.71212526525136
52,19.71212526525106,19.71212526525136
53,19.71212526525153,19.71212526525136
54,19.712125265251448,19.71212526525136
55,19.71212526525122,19.71212526525136
56,19.712125265251505,19.71212526525136
57,19.712125265251718,19.71212526525136
58,19.71212526525161,19.71212526525136
59,19.712125265251238,19.71212526525136
60,19.712125265251697,19.71212526525136
61,19.71212526525149,19.71212526525136
62,19.712125265250656,19.71212526525136
63,19.71212526525088,19.71212526525136
64,19.712125265251384,19.71212526525136
65,19.712125265250982,19.71212526525136
66,19.7121252652507,19.71212526525136
67,19.71212526525087,19.71212526525136
68,19.7121252652506,19.71212526525136
69,19.712125265251306,19.71212526525136
70,19.71212526525098,19.71212526525136
71,19.712125265251025,19.71212526525136
72,19.71212526525072,19.71212526525136
73,19.712125265251142,19.71212526525136
74,19.71212526525135,19.71212526525136
75,19.712125265250684,19.71212526525136
76,19.71212526525055,19.71212526525136
77,19.712125265250627,19.71212526525136
78,19.712125265251174,19.71212526525136
79,19.71212526525131,19.71212526525136
80,19.71212526524999,19.71212526525136
81,19.712125265249902,19.71212526525136
82,19.712125265250865,19.71212526525136
83,19.712125265251384,19.71212526525136
84,19.712125265250375,19.71212526525136
85,19.71212526525155,19.71212526525136
86,19.712125265251483,19.71212526525136
87,19.71212526524977,19.71212526525136
88,19.712125265251814,19.71212526525136
89,19.71212526525143,19.71212526525136
90,19.712125265251622,19.71212526525136
91,19.712125265251398,19.71212526525136
92,19.71212526525134,19.71212526525136
93,19.71212526525173,19.71212526525136
94,19.71212526524972,19.71212526525136
95,19.712125265249455,19.71212526525136
96,19.712125265251334,19.71212526525136
