# Sterling PMF: p(k) = A*(k+alpha)^(-gamma)
# Node type: a
# A: 8.481989, alpha: 1.851852, gamma: 2.871772
# Generated: 2026-03-13T16:16:31.774141
k,pmf,A,alpha,gamma
0,1.4454182595809795,8.481988708076509,1.8518518518518516,2.871772170576951
1,0.4182892941571125,8.481988708076509,1.8518518518518516,2.871772170576951
2,0.17643636548527478,8.481988708076509,1.8518518518518516,2.871772170576951
3,0.09093425841776628,8.481988708076509,1.8518518518518516,2.871772170576951
4,0.05308918751484739,8.481988708076509,1.8518518518518516,2.871772170576951
5,0.03374796875048273,8.481988708076509,1.8518518518518516,2.871772170576951
6,0.02282137088362642,8.481988708076509,1.8518518518518516,2.871772170576951
7,0.016174520374733752,8.481988708076509,1.8518518518518516,2.871772170576951
8,0.011894349973525052,8.481988708076509,1.8518518518518516,2.871772170576951
9,0.009010866038099951,8.481988708076509,1.8518518518518516,2.871772170576951
10,0.0069956540246914126,8.481988708076509,1.8518518518518516,2.871772170576951
11,0.005543714090544289,8.481988708076509,1.8518518518518516,2.871772170576951
12,0.004470408890878699,8.481988708076509,1.8518518518518516,2.871772170576951
13,0.003659407286994748,8.481988708076509,1.8518518518518516,2.871772170576951
14,0.003034878643778545,8.481988708076509,1.8518518518518516,2.871772170576951
15,0.00254592236288224,8.481988708076509,1.8518518518518516,2.871772170576951
16,0.002157488537707663,8.481988708076509,1.8518518518518516,2.871772170576951
17,0.0018448944013398653,8.481988708076509,1.8518518518518516,2.871772170576951
18,0.0015904089896825713,8.481988708076509,1.8518518518518516,2.871772170576951
19,0.0013810673258122799,8.481988708076509,1.8518518518518516,2.871772170576951
20,0.0012072372239757734,8.481988708076509,1.8518518518518516,2.871772170576951
21,0.001061658965891456,8.481988708076509,1.8518518518518516,2.871772170576951
22,0.0009387891240729366,8.481988708076509,1.8518518518518516,2.871772170576951
23,0.0008343441907994913,8.481988708076509,1.8518518518518516,2.871772170576951
24,0.0007449780107219163,8.481988708076509,1.8518518518518516,2.871772170576951
25,0.000668050399626629,8.481988708076509,1.8518518518518516,2.871772170576951
26,0.0006014589097414831,8.481988708076509,1.8518518518518516,2.871772170576951
27,0.0005435149729795785,8.481988708076509,1.8518518518518516,2.871772170576951
28,0.0004928516585787571,8.481988708076509,1.8518518518518516,2.871772170576951
29,0.000448354237430239,8.481988708076509,1.8518518518518516,2.871772170576951
30,0.0004091073922752232,8.481988708076509,1.8518518518518516,2.871772170576951
31,0.0003743547098108554,8.481988708076509,1.8518518518518516,2.871772170576951
32,0.0003434673270833066,8.481988708076509,1.8518518518518516,2.871772170576951
33,0.0003159194659456969,8.481988708076509,1.8518518518518516,2.871772170576951
34,0.00029126919660245077,8.481988708076509,1.8518518518518516,2.871772170576951
35,0.00026914320406353854,8.481988708076509,1.8518518518518516,2.871772170576951
36,0.0002492246429988329,8.481988708076509,1.8518518518518516,2.871772170576951
37,0.00023124339310429137,8.481988708076509,1.8518518518518516,2.871772170576951
38,0.00021496819338620316,8.481988708076509,1.8518518518518516,2.871772170576951
39,0.00020020025685293772,8.481988708076509,1.8518518518518516,2.871772170576951
40,0.00018676805894945849,8.481988708076509,1.8518518518518516,2.871772170576951
41,0.00017452306213712403,8.481988708076509,1.8518518518518516,2.871772170576951
42,0.00016333619134084804,8.481988708076509,1.8518518518518516,2.871772170576951
43,0.0001530949148950537,8.481988708076509,1.8518518518518516,2.871772170576951
44,0.00014370081626463433,8.481988708076509,1.8518518518518516,2.871772170576951
45,0.00013506756549658248,8.481988708076509,1.8518518518518516,2.871772170576951
46,0.00012711921776534203,8.481988708076509,1.8518518518518516,2.871772170576951
47,0.00011978878076622973,8.481988708076509,1.8518518518518516,2.871772170576951
48,0.00011301700402440327,8.481988708076509,1.8518518518518516,2.871772170576951
49,0.00010675135212686113,8.481988708076509,1.8518518518518516,2.871772170576951
50,0.00010094513098511684,8.481988708076509,1.8518518518518516,2.871772170576951
51,9.555674190226184e-05,8.481988708076509,1.8518518518518516,2.871772170576951
52,9.054904276063115e-05,8.481988708076509,1.8518518518518516,2.871772170576951
53,8.588879930413982e-05,8.481988708076509,1.8518518518518516,2.871772170576951
54,8.154621244737651e-05,8.481988708076509,1.8518518518518516,2.871772170576951
55,7.749450994540033e-05,8.481988708076509,1.8518518518518516,2.871772170576951
56,7.370959271612681e-05,8.481988708076509,1.8518518518518516,2.871772170576951
57,7.016972770930093e-05,8.481988708076509,1.8518518518518516,2.871772170576951
58,6.685528053179134e-05,8.481988708076509,1.8518518518518516,2.871772170576951
59,6.374848212328962e-05,8.481988708076509,1.8518518518518516,2.871772170576951
60,6.083322467318932e-05,8.481988708076509,1.8518518518518516,2.871772170576951
61,5.80948827133577e-05,8.481988708076509,1.8518518518518516,2.871772170576951
62,5.552015594067298e-05,8.481988708076509,1.8518518518518516,2.871772170576951
63,5.3096930840089566e-05,8.481988708076509,1.8518518518518516,2.871772170576951
64,5.0814158611780514e-05,8.481988708076509,1.8518518518518516,2.871772170576951
65,4.8661747269314556e-05,8.481988708076509,1.8518518518518516,2.871772170576951
66,4.663046608182036e-05,8.481988708076509,1.8518518518518516,2.871772170576951
67,4.471186079143794e-05,8.481988708076509,1.8518518518518516,2.871772170576951
68,4.2898178256041846e-05,8.481988708076509,1.8518518518518516,2.871772170576951
69,4.1182299352800204e-05,8.481988708076509,1.8518518518518516,2.871772170576951
70,3.955767913600505e-05,8.481988708076509,1.8518518518518516,2.871772170576951
71,3.801829337722876e-05,8.481988708076509,1.8518518518518516,2.871772170576951
72,3.655859073091833e-05,8.481988708076509,1.8518518518518516,2.871772170576951
73,3.517344986709676e-05,8.481988708076509,1.8518518518518516,2.871772170576951
74,3.3858140997449705e-05,8.481988708076509,1.8518518518518516,2.871772170576951
