# Linear-scale discrete degree distribution
# Node type: b, n=398
# N: 1005, m: 2
# h: 0.7, f_a: 0.6
# Theories: Diamond, Sterling
# Generated: 2026-03-13T16:16:29.218248
k,empirical_pmf,Diamond_pmf,Sterling_pmf
0,0.49748743718592964,0.5026748563503071,1.6461515646775595
1,0.21608040201005024,0.2034497370741859,0.49089069568884125
2,0.0829145728643216,0.10135150029662895,0.20448969804911707
3,0.0728643216080402,0.05738980474567776,0.10290610864066273
4,0.04271356783919598,0.035470359797807646,0.058489256863411644
5,0.010050251256281407,0.023368476227605545,0.0361931479231587
6,0.020100502512562814,0.016164305162031028,0.0238464100637879
7,0.010050251256281407,0.01161931011769063,0.016487686343143886
8,0.010050251256281407,0.008616338553368358,0.01184388687906838
9,,0.00655601653789948,0.00877625083668615
10,0.007537688442211055,0.005097438182489991,0.006672520430831144
11,0.002512562814070352,0.004037142548461744,0.005184081808038136
12,0.002512562814070352,0.0032486885361297734,0.0041027759471856055
13,0.002512562814070352,0.0026507437692688267,0.003299231286401624
14,,0.002189412329635761,0.002690243680413277
15,0.002512562814070352,0.0018280408480975628,0.002220694034609564
16,,0.0015411265859258077,0.0018531123439351025
17,0.002512562814070352,0.0013105621769401183,0.0015614397264744173
18,,0.0011232563777317547,0.0013271830814641566
19,0.002512562814070352,0.0009695893240253715,0.001136979083611813
20,0.002512562814070352,0.00084238736416283,0.0009810129575311085
21,0.002512562814070352,0.0007362291182134245,0.0008519694167839975
22,,0.0006469672435280032,0.0007443227965507843
23,,0.000571393424872441,0.0006538480292716116
24,0.002512562814070352,0.0005070001590070462,0.0005772782130792819
25,,0.0004518090235095693,0.0005120612188617652
26,,0.0004042452964533988,0.0004561842992987126
27,,0.0003630453379653482,0.00040804608960214137
28,,0.0003271874253686179,0.0003663620933217849
29,0.002512562814070352,0.00029583957796784296,0.0003300941303894311
30,,0.0002683198252646494,0.0002983971366964815
31,,0.00024406568303634703,0.0002705786673663135
32,,0.00022261050885760263,0.00024606779697398305
33,0.002512562814070352,0.0002035650439895515,0.00022439103789894353
34,,0.0001866028985020278,0.00020515354769302027
35,,0.0001714490584714498,0.00018802435630356154
36,,0.00015787072677029743,0.00017272467302978768
37,,0.00014566997866395466,0.0001590185707903233
38,,0.00013467783828408701,0.00014670551858976248
39,,0.00012474947466750138,0.00013561436054145953
40,,0.00011576028529617238,0.00012559843433419227
41,,0.00010760268723106777,0.00011653159268369951
42,,0.00010018347549517069,0.00010830494451049472
43,,9.342163857213827e-05,0.00010082417292734586
44,,8.724654410464462e-05,9.400731791698628e-05
45,,8.159642582844071e-05,8.77829352418542e-05
46,,7.641711673935665e-05,8.20885614174183e-05
47,,7.166098440869523e-05,7.686942880075682e-05
48,,6.72860329462107e-05,7.20773859636387e-05
49,,6.325514289285329e-05,6.766998725762635e-05
50,,5.953542571134849e-05,6.360972238192149e-05
51,,5.609767383972382e-05,5.9863362244843875e-05
52,,5.2915890716008984e-05,5.6401401780714314e-05
53,,4.9966887953854734e-05,5.3197583885746365e-05
54,,4.7229939088347095e-05,5.0228491454260975e-05
55,,4.468648112863147e-05,4.747319677320971e-05
56,,4.231985663420064e-05,4.491295937987513e-05
57,0.002512562814070352,4.0115090241821934e-05,4.2530964991623285e-05
